Mr. Butler, The home Secretary,
588
603,5049,0
603,5065,0
604,5098,0
603,5129,0
604,5170,0
608,5206,0
612,5243,0
615,5267,0
622,5279,1
600,5029,0
600,5025,0
603,5029,0
608,5054,0
616,5087,0
629,5112,0
649,5134,0
676,5136,0
704,5134,0
733,5113,0
762,5079,0
789,5032,0
809,4993,0
819,4945,0
820,4934,0
820,4934,0
818,4941,0
817,4981,0
815,5025,0
815,5081,0
818,5138,0
827,5186,0
843,5226,0
861,5256,0
885,5268,1
977,5120,0
979,5123,0
985,5139,0
989,5168,0
991,5195,0
990,5219,0
989,5243,0
985,5255,0
984,5260,0
982,5260,0
977,5247,0
971,5227,0
967,5207,0
970,5179,0
976,5156,0
994,5136,0
1018,5120,0
1049,5113,0
1083,5112,0
1116,5116,0
1146,5128,1
1141,5240,0
1141,5240,0
1140,5236,0
1140,5232,0
1141,5228,1
1461,4982,0
1461,4982,0
1462,4997,0
1462,5021,0
1464,5053,0
1464,5089,0
1464,5122,0
1463,5154,0
1459,5170,0
1460,5190,0
1461,5202,0
1459,5207,0
1455,5202,1
1358,5012,0
1355,5000,0
1363,4996,0
1384,4987,0
1420,4980,0
1466,4981,0
1514,4981,0
1561,4992,0
1598,5004,0
1623,5018,0
1631,5029,0
1626,5038,0
1604,5044,0
1569,5052,0
1533,5064,0
1504,5070,0
1492,5079,0
1496,5095,0
1515,5109,0
1546,5122,0
1578,5139,0
1604,5157,0
1621,5183,0
1621,5199,0
1607,5217,0
1582,5235,0
1539,5243,0
1489,5256,0
1441,5252,0
1406,5246,0
1387,5243,0
1382,5231,0
1394,5219,1
1666,5093,0
1667,5093,0
1667,5089,0
1667,5098,0
1667,5114,0
1672,5137,0
1678,5161,0
1687,5184,0
1702,5206,0
1718,5224,0
1736,5230,0
1752,5224,0
1768,5202,0
1785,5166,0
1841,5098,0
1850,5104,0
1862,5122,0
1870,5149,0
1881,5185,0
1891,5212,0
1920,5252,1
2040,4994,0
2041,4993,0
