tion, as the debate had I shown, could
906
337,3606,0
337,3605,0
337,3609,0
337,3618,0
340,3630,0
341,3660,0
342,3696,0
342,3733,0
341,3770,0
342,3807,0
346,3840,0
351,3877,0
356,3899,1
293,3784,0
294,3788,0
304,3786,0
320,3785,0
340,3781,0
363,3778,0
386,3766,0
405,3762,0
419,3752,0
426,3750,0
428,3754,0
429,3754,0
430,3763,0
433,3776,0
437,3788,0
439,3813,0
440,3834,0
441,3854,0
443,3870,0
445,3882,0
448,3892,1
430,3596,0
431,3592,0
433,3596,0
438,3597,0
445,3607,1
592,3768,0
592,3764,0
587,3759,0
581,3758,0
572,3756,0
562,3764,0
552,3770,0
538,3788,0
526,3811,0
520,3830,0
521,3851,0
525,3867,0
534,3877,0
545,3882,0
560,3876,0
573,3870,0
585,3860,0
594,3841,0
600,3822,0
600,3805,0
595,3792,0
586,3779,0
577,3774,0
565,3776,0
558,3779,0
556,3783,0
558,3788,0
564,3784,0
576,3790,0
588,3788,0
603,3781,0
620,3771,0
637,3761,0
651,3751,0
661,3740,0
662,3736,0
662,3740,0
662,3744,0
663,3756,0
660,3781,0
658,3805,0
658,3828,0
657,3848,0
657,3857,0
659,3865,0
661,3865,0
665,3862,0
668,3858,0
671,3846,0
676,3831,0
682,3815,0
690,3795,0
698,3785,0
704,3781,0
707,3778,0
712,3782,0
719,3787,0
727,3800,0
735,3812,0
743,3821,0
747,3834,1
851,3817,0
855,3822,0
857,3822,0
859,3826,0
859,3834,0
859,3854,0
854,3870,0
848,3889,0
840,3917,0
836,3937,0
834,3953,0
834,3969,0
836,3972,1
1227,3682,0
1224,3673,0
1219,3665,0
1213,3654,0
1207,3646,0
1198,3643,0
1185,3638,0
1167,3648,0
1144,3660,0
1120,3677,0
1099,3696,0
1088,3720,0
1081,3741,0
1081,3756,0
1086,3769,0
1096,3777,0
1105,3776,0
1115,3772,0
1126,3760,0
1138,3740,0
1153,3720,0
1165,3695,0
1177,3671,0
1184,3650,0
1187,3643,0
1185,3643,0
1185,3647,0
1184,3655,0
1185,3675,0
1189,3699,0
1196,3718,0
1204,3738,0
1213,3750,0
1223,3761,0
1233,3766,0
1245,3764,0
1258,3756,1
1411,3621,0
1414,3617,0
1414,3600,0
1415,3588,0
1411,3576,0
1400,3565,0
1383,3559,0
1360,3556,0
1334,3563,0
1310,3568,0
1292,3574,0
1281,3583,0
1281,3595,0
1286,3602,0
1300,3617,0
1317,3629,0
1338,3643,0
1361,3653,0
1384,3663,0
1401,3674,0
1411,3681,0
1415,3693,0
1411,3701,0
1402,3710,0
1390,3719,0
1373,3725,0
1354,3730,0
1331,3728,0
1311,3729,0
1296,3725,0
1286,3718,0
1281,3711,0
1281,3695,1
1684,3449,0
1685,3450,0
1685,3450,0
1689,3460,0
1689,3477,0
1692,3509,0
1693,3545,0
1692,3578,0
1691,3615,0
1689,3656,0
1687,3696,0
1686,3734,0
1686,3766,0
1684,3786,0
1681,3791,0
1680,3791,0
1675,3772,1
1591,3603,0
1592,3607,0
1597,3610,0
1611,3620,0
1633,3636,0
1656,3641,0
1684,3641,0
1708,3632,0
1730,3624,0
1749,3608,0
1764,3588,0
1773,3563,0
1778,3542,0
1780,3520,0
1777,3501,0
1771,3490,0
1766,3491,0
1763,3491,0
1761,3504,0
1759,3533,0
1756,3570,0
1754,3611,0
1756,3651,0
1763,3687,0
1773,3710,0
1781,3724,0
1788,3730,0
1789,3730,0
1792,3730,0
1797,3716,0
1802,3691,0
1811,3669,0
1820,3643,0
1831,3624,0
1839,3618,0
1841,3617,0
1849,3628,0
1857,3647,0
1864,3674,0
1875,3701,0
1890,3721,0
1903,3731,0
1920,3731,0
1940,3730,0
1961,3716,0
1985,3702,0
2008,3679,0
2026,3650,0
2035,3623,0
2036,3602,0
2030,3591,0
2020,3590,0
2005,3598,0
1993,3617,0
1984,3641,0
1982,3666,0
1993,3692,0
2012,3708,0
2037,3718,0
2067,3718,0
2099,3713,1
2492,3606,0
2492,3606,0
2485,3596,0
2478,3590,0
2467,3585,0
2456,3590,0
2438,3597,0
2420,3609,0
2401,3624,0
2390,3641,0
2389,3667,0
2391,3693,0
2393,3709,0
2404,3722,0
2419,3730,0
2436,3727,0
2453,3716,0
2472,3696,0
2488,3667,0
2502,3632,0
2513,3597,0
2515,3561,0
2511,3524,0
2511,3498,0
2504,3470,0
2499,3451,0
2495,3444,0
2491,3441,0
2488,3443,0
2485,3452,0
2487,3478,0
2487,3513,0
2489,3551,0
2493,3588,0
2502,3624,0
2514,3653,0
2525,3674,0
2541,3689,0
2560,3699,0
2577,3700,0
2597,3691,0
2612,3672,0
2629,3651,0
2642,3628,0
2651,3602,0
2650,3576,0
2649,3563,0
2637,3551,0
2627,3547,0
2613,3549,0
2603,3559,0
2598,3578,0
2598,3604,0
2600,3629,0
2612,3660,0
2631,3682,0
2654,3693,0
2680,3699,0
2708,3695,0
2732,3679,0
2750,3653,0
2763,3620,0
2774,3588,0
2779,3554,0
2779,3522,0
2778,3496,0
2773,3472,0
2767,3452,0
2762,3446,0
2758,3448,0
2753,3451,0
2751,3469,0
2748,3498,0
2751,3532,0
2754,3563,0
2760,3595,0
2767,3614,0
2777,3636,0
2787,3648,0
2795,3653,0
2800,3651,0
2806,3648,0
2815,3635,0
2830,3619,0
2849,3595,0
2867,3567,0
2886,3548,0
2904,3543,0
2912,3544,0
2919,3553,0
2923,3569,0
2924,3596,0
2919,3621,0
2910,3645,0
2892,3658,0
2873,3668,0
2855,3672,0
2840,3676,0
2822,3667,0
2815,3662,0
2811,3650,1
3114,3566,0
3115,3561,0
3111,3549,0
3108,3542,0
3098,3534,0
3085,3527,0
3066,3525,0
3044,3529,0
3023,3542,0
3002,3558,0
2987,3580,0
2979,3607,0
2977,3636,0
2980,3652,0
2987,3658,0
2997,3660,0
3008,3660,0
3018,3650,0
3031,3638,0
3045,3621,0
3060,3603,0
3071,3583,0
3076,3566,0
3078,3559,0
3078,3560,0
3076,3561,0
3078,3573,0
3081,3595,0
3088,3623,0
3099,3645,0
3114,3660,0
3125,3662,0
3143,3666,0
3160,3660,0
3175,3647,0
3189,3624,0
3206,3599,0
3217,3569,0
3222,3542,0
3224,3517,0
3216,3489,0
3211,3473,0
3204,3463,0
3202,3460,0
3196,3459,0
3194,3465,0
3191,3477,0
3193,3498,0
3195,3526,0
3201,3556,0
3209,3583,0
3216,3607,0
3223,3631,1
3156,3607,0
3156,3607,0
3161,3608,0
3170,3607,0
3186,3607,0
3200,3607,0
3216,3607,0
3235,3600,0
3256,3587,0
3276,3569,0
3293,3548,0
3308,3534,0
3313,3522,0
3312,3517,0
3305,3513,0
3291,3507,0
3283,3518,0
3276,3536,0
3271,3553,0
3281,3580,0
3295,3604,0
3313,3622,0
3337,3634,0
3366,3640,0
3396,3638,1
3684,3414,0
3684,3423,0
3682,3435,0
3686,3462,0
3689,3496,0
3699,3535,0
3706,3564,0
3711,3595,0
3718,3620,0
3724,3636,0
3725,3640,0
3728,3642,0
3727,3639,0
3735,3633,0
3744,3615,0
3758,3594,0
3774,3566,0
3791,3542,0
3805,3521,0
3820,3509,0
3834,3508,0
3843,3510,0
3852,3518,0
3862,3537,0
3871,3554,0
3886,3579,0
3895,3597,0
3908,3612,0
3922,3622,0
3935,3626,0
3950,3625,0
3970,3618,0
3991,3606,0
4010,3589,0
4024,3566,0
4036,3547,0
4041,3525,0
4041,3510,0
4033,3496,0
4026,3491,0
4012,3487,0
3995,3491,0
3976,3503,0
3957,3519,0
3943,3542,0
3935,3564,0
3936,3584,0
3937,3594,0
3948,3600,0
3958,3602,0
3969,3598,0
3978,3590,0
3988,3577,0
3998,3563,0
4007,3549,0
4014,3539,0
4016,3531,0
4016,3531,0
4015,3532,0
4016,3537,0
4013,3549,0
4015,3575,0
4017,3600,0
4020,3617,0
4034,3631,0
4050,3645,0
4068,3656,0
4084,3658,0
4104,3657,1
4198,3572,0
4197,3568,0
4192,3557,0
4186,3546,0
4177,3538,0
4164,3533,0
4150,3536,0
4131,3537,0
4111,3544,0
4090,3551,0
4079,3567,0
4072,3584,0
4072,3605,0
4075,3618,0
4080,3624,0
4089,3628,0
4104,3630,0
4118,3628,0
4133,3614,0
4148,3597,0
4165,3570,0
4177,3538,0
4192,3508,0
4200,3479,0
4205,3451,0
4203,3426,0
4200,3406,0
4196,3393,0
4190,3382,0
4189,3383,0
4186,3386,0
4181,3397,0
4180,3419,0
4181,3452,0
4181,3485,0
4188,3527,0
4195,3564,0
4208,3602,0
4227,3638,0
4246,3665,0
