This could, he suggested,
724
1814,1973,0
1803,2000,0
1797,2026,0
1791,2051,0
1785,2070,1
1741,1748,0
1768,1750,0
1800,1749,0
1836,1750,0
1870,1746,0
1906,1746,0
1937,1743,0
1965,1746,0
1983,1749,1
1917,2007,0
1934,1982,0
1957,1953,0
1983,1923,0
2007,1887,1
2048,1814,0
2059,1779,0
2072,1757,0
2081,1737,0
2089,1727,0
2088,1723,0
2084,1725,0
2078,1743,0
2067,1770,0
2058,1807,0
2041,1849,0
2025,1901,0
2007,1946,0
1991,1990,0
1977,2032,0
1972,2070,0
1964,2092,0
1959,2099,0
1960,2101,0
1961,2101,0
1963,2092,0
1966,2077,0
1973,2056,0
1981,2031,0
1990,2000,0
2000,1973,0
2012,1952,0
2031,1937,0
2043,1922,0
2057,1914,0
2066,1909,0
2077,1912,0
2089,1924,0
2092,1936,0
2096,1961,0
2094,1990,0
2087,2012,0
2084,2041,0
2077,2058,0
2076,2072,0
2079,2079,0
2077,2072,0
2089,2065,0
2101,2045,0
2115,2019,0
2130,1992,0
2149,1967,0
2169,1946,0
2186,1926,0
2195,1911,0
2201,1907,0
2202,1911,0
2197,1928,0
2186,1954,0
2173,1986,0
2158,2018,0
2149,2051,0
2149,2078,0
2148,2093,0
2157,2101,0
2169,2095,0
2192,2082,0
2219,2056,0
2246,2025,0
2273,1993,0
2300,1961,0
2322,1932,0
2342,1912,0
2360,1899,0
2371,1891,0
2378,1891,0
2390,1902,0
2396,1918,0
2398,1941,0
2396,1967,0
2389,1992,0
2386,2019,0
2373,2038,0
2364,2053,0
2355,2064,0
2346,2070,0
2334,2068,0
2333,2069,0
2328,2063,0
2323,2057,0
2318,2051,0
2315,2048,0
2314,2048,0
2314,2048,0
2318,2050,0
2328,2053,0
2345,2062,0
2366,2066,0
2386,2067,0
2405,2064,0
2425,2055,0
2444,2041,0
2462,2028,0
2473,2010,0
2485,1995,1
2285,1730,0
2278,1731,0
2277,1732,0
2275,1732,0
2277,1737,1
2939,1918,0
2935,1910,0
2926,1901,0
2919,1897,0
2908,1893,0
2894,1896,0
2870,1903,0
2847,1921,0
2825,1943,0
2813,1971,0
2805,1996,0
2803,2019,0
2811,2045,0
2818,2060,0
2828,2066,0
2852,2072,0
2873,2063,0
2898,2044,0
2924,2019,0
2958,1995,0
2987,1973,0
3011,1947,0
3039,1927,0
3062,1913,0
3081,1903,0
3092,1897,0
3100,1894,0
3101,1892,0
3101,1892,0
3097,1892,0
3085,1893,0
3069,1899,0
3051,1908,0
3034,1921,0
3015,1936,0
3001,1957,0
2988,1977,0
2981,2001,0
2977,2023,0
2980,2043,0
2987,2058,0
3001,2067,0
3020,2071,0
3035,2060,0
3057,2049,0
3073,2026,0
3091,2002,0
3100,1973,0
3108,1946,0
3107,1923,0
3102,1910,0
3094,1908,0
3087,1909,0
3088,1920,0
3093,1933,0
3105,1944,0
3117,1948,0
3137,1949,0
3154,1942,0
3169,1930,0
3185,1917,0
3202,1903,0
3211,1891,0
3217,1885,0
3221,1887,0
3216,1891,0
3209,1908,0
3199,1932,0
3189,1963,0
3177,1994,0
3170,2022,0
3168,2042,0
3171,2055,0
3175,2058,0
3184,2054,0
3197,2038,0
3215,2012,0
3235,1982,0
3255,1952,0
3270,1921,0
3288,1897,0
3296,1881,0
3303,1873,0
3303,1872,0
3303,1879,0
3303,1899,0
3299,1923,0
3295,1954,0
3293,1982,0
3294,2005,0
3304,2024,0
3318,2033,0
3336,2031,0
3357,2017,0
3384,1990,0
3411,1956,0
3441,1915,0
3468,1872,0
3496,1824,0
3520,1782,0
3537,1741,0
3547,1709,0
3553,1685,0
3556,1672,0
3554,1668,0
3546,1674,0
3525,1693,0
3507,1728,0
3481,1775,0
3455,1829,0
3425,1882,0
3410,1937,0
3399,1983,0
3397,2017,0
3399,2035,0
3408,2043,0
3424,2041,0
3442,2025,0
3465,2003,0
3490,1977,0
3513,1952,0
3536,1934,0
3556,1920,0
3577,1911,0
3595,1906,0
3615,1906,0
3626,1903,0
3637,1901,0
3643,1899,0
3645,1896,0
3639,1891,0
3637,1886,0
3626,1882,0
3615,1883,0
3593,1888,0
3570,1900,0
3548,1918,0
3533,1938,0
3522,1961,0
3518,1985,0
3517,2007,0
3525,2023,0
3541,2029,0
3559,2026,0
3579,2011,0
3597,1985,0
3620,1954,0
3641,1916,0
3660,1875,0
3676,1835,0
3690,1798,0
3696,1765,0
3702,1739,0
3711,1725,0
3711,1716,0
3708,1715,0
3708,1720,0
3703,1739,0
3698,1771,0
3680,1807,0
3670,1853,0
3653,1899,0
3635,1947,0
3628,1992,0
3626,2028,0
3631,2048,0
3643,2058,0
3662,2059,0
3684,2050,1
3893,2066,0
3877,2075,0
3860,2092,0
3836,2106,0
3805,2109,0
3786,2113,0
3770,2116,0
3764,2117,0
3762,2113,1
4146,2002,0
4152,2001,0
4169,1995,0
4192,1979,0
4217,1951,0
4239,1913,0
4261,1874,0
4286,1834,0
4308,1791,0
4324,1749,0
4337,1714,0
4352,1690,0
4364,1676,0
4367,1668,0
4371,1669,0
4368,1676,0
4358,1697,0
4348,1728,0
4333,1768,0
4315,1812,0
4298,1863,0
4284,1914,0
4271,1962,0
4254,2001,0
4244,2034,0
4234,2057,0
4226,2072,0
4224,2083,0
4222,2086,0
4222,2087,0
4220,2082,0
4222,2070,0
4228,2052,0
4232,2029,0
4238,2004,0
4248,1978,0
4266,1954,0
4277,1928,0
4295,1912,0
4305,1901,0
4311,1896,0
4320,1899,0
4324,1908,0
4325,1923,0
4326,1947,0
4320,1974,0
4321,2005,0
4319,2031,0
4322,2058,0
4328,2079,0
4336,2090,0
4351,2096,0
4372,2092,0
4393,2081,0
4418,2060,0
4444,2038,0
4468,2011,0
4492,1985,0
4512,1963,0
4524,1942,0
4523,1924,0
4526,1920,0
4518,1916,0
4503,1920,0
4483,1931,0
4467,1953,0
4448,1982,0
4430,2014,0
4422,2045,0
4420,2065,0
4427,2078,0
4439,2088,0
4457,2089,1
4682,2045,0
4681,2044,0
4688,2042,0
4696,2034,0
4713,2019,0
4731,2000,0
4746,1979,0
4766,1956,0
4796,1940,0
4814,1921,0
4826,1905,0
4840,1894,0
4855,1889,0
4869,1887,0
4878,1887,0
4887,1896,0
4888,1915,0
4883,1942,0
4882,1975,0
4870,2008,0
4857,2034,0
4845,2058,0
4831,2078,0
4813,2086,0
4798,2090,0
4787,2084,0
4781,2077,0
4778,2067,0
4779,2057,0
4782,2049,0
4789,2046,0
4793,2046,0
4802,2055,0
4814,2067,0
4833,2074,0
4850,2077,0
4869,2073,0
4882,2065,0
4905,2055,0
4924,2033,0
4946,2007,0
4963,1980,0
4975,1952,0
4991,1930,0
5007,1912,0
5007,1902,0
5014,1899,0
5013,1899,0
5016,1911,0
5007,1930,0
4995,1958,0
4989,1991,0
4974,2013,0
4976,2036,0
4972,2053,0
4976,2063,0
4985,2063,0
4994,2055,0
5010,2039,0
5030,2018,0
5055,1990,0
5075,1967,0
5092,1937,0
5113,1919,0
5124,1904,0
5131,1897,0
5132,1895,0
5131,1899,0
5127,1918,0
5120,1945,0
5106,1974,0
5101,2005,0
5093,2024,0
5092,2043,0
5092,2055,0
5098,2060,0
5119,2063,0
5129,2051,0
5151,2033,0
5175,2007,0
5199,1982,0
5226,1962,0
5249,1947,0
5279,1938,0
5298,1933,0
5320,1935,0
5336,1937,0
5352,1939,0
5358,1937,0
5360,1931,0
5342,1913,0
5332,1906,0
5317,1901,0
5298,1902,0
5277,1912,0
5252,1932,0
5237,1955,0
5226,1982,0
5219,2007,0
5218,2028,0
5226,2041,0
5238,2043,0
5253,2038,0
5272,2024,0
5294,2005,0
5318,1981,0
5335,1959,0
5357,1938,0
5370,1918,0
5383,1906,0
5388,1896,0
5392,1895,0
5396,1896,0
5390,1901,0
5378,1918,0
5371,1947,0
5354,1988,0
5327,2038,0
5311,2094,0
5293,2144,0
5274,2192,0
5254,2234,0
5240,2270,0
5224,2292,0
5218,2297,0
5214,2293,0
5208,2281,0
5208,2263,0
5208,2236,0
5219,2205,0
5233,2167,0
5255,2129,0
5282,2091,0
5311,2055,0
5342,2025,0
5380,1997,0
5414,1977,0
5451,1961,0
5482,1951,0
5510,1945,0
5537,1940,0
5554,1930,0
5566,1923,0
5577,1918,0
5579,1911,0
5573,1903,0
5571,1899,0
5559,1896,0
5549,1901,0
5537,1911,0
5517,1927,0
5500,1948,0
5486,1972,0
5479,1998,0
5477,2024,0
5483,2041,0
5491,2051,0
5506,2049,0
5516,2037,0
5527,2019,0
5545,1996,0
5558,1975,0
5567,1952,0
5578,1935,0
5588,1923,0
5586,1927,0
5573,1983,0
5561,2022,0
5543,2063,0
5477,2201,0
5450,2243,0
5386,2282,0
5392,2204,0
5407,2173,0
5424,2144,0
5480,2098,0
5510,2081,0
5541,2068,0
5576,2058,0
5609,2043,0
5642,2024,0
5678,2009,0
5705,1985,0
5735,1963,0
5762,1938,0
5782,1918,0
5792,1903,0
5798,1886,0
5794,1884,0
5784,1889,0
5766,1902,0
5750,1924,0
5731,1950,0
5721,1979,0
5716,2002,0
5712,2020,0
5716,2033,0
5726,2040,0
5739,2040,0
5757,2029,0
5776,2011,0
5803,1987,0
5834,1960,0
5853,1931,0
5879,1910,0
5897,1893,0
5917,1873,0
5919,1891,0
5914,1918,0
5908,1947,0
5894,1971,0
5880,1987,0
5866,2000,0
5859,2009,0
5846,2010,0
5837,2008,0
5838,2007,0
5834,2005,0
5847,2005,0
5861,2002,0
5881,1985,0
5910,1962,0
5938,1936,0
5965,1906,0
5993,1874,0
6022,1840,0
6049,1807,0
6078,1773,0
6102,1739,0
6115,1709,0
6133,1690,0
6138,1675,0
6141,1676,0
6137,1676,0
6137,1690,0
6131,1713,0
6115,1749,0
6092,1796,0
6073,1850,0
6053,1899,0
6042,1939,0
6030,1972,0
6029,2000,0
6021,2019,0
6023,2037,0
6020,2046,0
6023,2050,0
6021,2045,1
6003,1980,0
6002,1981,0
6013,1987,0
6025,1988,0
6048,1984,0
6076,1974,0
6103,1960,0
6132,1949,0
6160,1932,0
6185,1919,0
6200,1901,0
6216,1891,0
6218,1883,0
6215,1881,0
6201,1883,0
6179,1899,0
6157,1925,0
6138,1956,0
6121,1983,0
6112,2005,0
6115,2020,0
6125,2030,0
6136,2033,0
6155,2026,0
6182,2012,0
6211,1990,0
6245,1965,0
6272,1937,0
6300,1919,0
6324,1906,0
6343,1899,0
6364,1900,0
6376,1902,0
6394,1911,0
6405,1920,0
6416,1923,0
6419,1927,0
6423,1925,0
6420,1923,0
6425,1918,0
6420,1910,0
6416,1898,0
6406,1889,0
6390,1885,0
6374,1886,0
6350,1892,0
6330,1904,0
6310,1923,0
6293,1950,0
6280,1975,0
6277,1997,0
6280,2011,0
6287,2017,0
6305,2013,0
6326,2000,0
6351,1976,0
6379,1944,0
6408,1910,0
6435,1877,0
6457,1836,0
6477,1795,0
6492,1759,0
6509,1730,0
6515,1710,0
6518,1699,0
6523,1696,0
6519,1696,0
6521,1702,0
6507,1723,0
6485,1756,0
6467,1800,0
6442,1843,0
6423,1887,0
6411,1925,0
6406,1954,0
6406,1976,0
6415,1990,0
6432,1998,0
6450,1996,0
6478,1990,0
6504,1975,0
6523,1956,0
6521,1935,0
6519,1918,1
6632,2021,0
6638,2014,0
6648,2012,0
6657,2010,0
6662,2008,0
6665,2010,0
6665,2012,0
6663,2017,0
6656,2026,0
6643,2038,0
6630,2049,0
6609,2054,0
6580,2063,0
6553,2065,0
6527,2069,0
6498,2067,0
6476,2070,1
