end in, at least, a postponement
726
892,1762,0
894,1766,0
898,1775,0
907,1783,0
919,1789,0
938,1790,0
955,1784,0
973,1773,0
991,1755,0
1008,1731,0
1018,1700,0
1029,1679,0
1027,1660,0
1018,1655,0
994,1654,0
962,1672,0
927,1689,0
900,1718,0
877,1748,0
857,1778,0
851,1817,0
858,1846,0
872,1860,0
899,1872,0
931,1866,0
968,1862,0
1006,1847,0
1044,1829,0
1081,1801,0
1115,1768,0
1143,1727,0
1167,1682,0
1191,1649,0
1205,1623,0
1214,1614,0
1220,1614,0
1222,1626,0
1225,1657,0
1227,1698,0
1226,1734,0
1230,1766,0
1235,1782,0
1240,1785,0
1248,1780,0
1261,1767,0
1271,1733,0
1287,1698,0
1307,1676,0
1324,1657,0
1336,1650,0
1344,1654,0
1349,1669,0
1356,1696,0
1358,1720,0
1365,1747,0
1373,1766,0
1385,1776,0
1397,1774,0
1413,1766,0
1434,1758,0
1454,1741,0
1478,1727,0
1496,1710,0
1508,1693,0
1516,1683,0
1518,1682,0
1515,1684,0
1510,1698,0
1493,1710,0
1479,1731,0
1473,1749,0
1471,1753,0
1479,1755,0
1492,1748,0
1507,1727,0
1530,1704,0
1552,1668,0
1575,1627,0
1594,1582,0
1610,1534,0
1628,1500,0
1636,1489,0
1640,1491,0
1642,1513,0
1646,1554,0
1647,1602,0
1645,1648,0
1647,1695,0
1651,1736,0
1655,1765,0
1666,1790,0
1676,1803,0
1686,1809,1
1927,1652,0
1928,1661,0
1933,1677,0
1937,1697,0
1941,1723,0
1949,1755,0
1956,1783,0
1966,1800,0
1986,1812,0
2005,1811,0
2019,1798,0
2035,1779,0
2053,1754,0
2068,1722,0
2087,1694,0
2104,1674,0
2116,1662,0
2125,1660,0
2133,1668,0
2142,1692,0
2147,1722,0
2152,1753,0
2154,1775,0
2162,1790,0
2171,1793,0
2185,1788,0
2202,1772,0
2222,1747,0
2245,1720,0
2268,1703,0
2284,1696,0
2306,1703,0
2321,1718,0
2334,1743,0
2351,1775,0
2364,1800,0
2380,1819,0
2395,1828,0
2407,1829,0
2405,1819,0
2397,1804,1
1896,1555,0
1889,1554,0
1894,1561,0
1901,1566,0
1909,1575,1
2563,1811,0
2562,1812,0
2562,1812,0
2567,1819,0
2568,1844,0
2563,1880,0
2557,1917,0
2541,1950,0
2521,1983,1
2989,1689,0
2986,1681,0
2977,1673,0
2964,1670,0
2947,1677,0
2926,1696,0
2907,1726,0
2902,1762,0
2904,1791,0
2919,1809,0
2931,1813,0
2950,1804,0
2972,1785,0
2993,1760,0
3011,1732,0
3022,1700,0
3037,1681,0
3044,1671,0
3046,1669,0
3052,1674,0
3049,1684,0
3060,1703,0
3061,1720,0
3070,1742,0
3077,1759,0
3088,1771,0
3101,1773,0
3118,1771,0
3133,1759,0
3145,1737,0
3160,1710,0
