modest Charterhouse-street, London,
734
1155,3496,0
1154,3496,0
1153,3503,0
1150,3536,0
1151,3583,0
1151,3620,0
1150,3640,0
1150,3648,0
1150,3648,0
1151,3644,0
1158,3628,0
1165,3596,0
1175,3555,0
1189,3527,0
1196,3507,0
1204,3506,0
1214,3522,0
1225,3557,0
1233,3593,0
1240,3625,0
1240,3637,0
1240,3637,0
1240,3633,0
1243,3629,0
1249,3604,0
1259,3564,0
1276,3531,0
1293,3510,0
1310,3505,0
1326,3512,0
1339,3531,0
1349,3566,0
1353,3597,0
1356,3617,0
1355,3621,0
1356,3626,0
1360,3621,1
1531,3530,0
1527,3527,0
1522,3520,0
1510,3513,0
1494,3515,0
1474,3522,0
1456,3540,0
1435,3554,0
1423,3583,0
1419,3612,0
1427,3636,0
1440,3642,0
1456,3641,0
1472,3630,0
1486,3608,0
1495,3579,0
1500,3559,1
1653,3511,0
1580,3523,0
1565,3550,0
1559,3591,0
1559,3619,0
1570,3633,0
1583,3636,0
1599,3633,0
1612,3616,0
1626,3590,0
1635,3544,0
1655,3455,0
1665,3428,0
1674,3407,0
1679,3397,0
1679,3394,0
1681,3401,0
1677,3410,0
1662,3531,0
1664,3562,0
1674,3589,0
1682,3604,0
1689,3607,0
1694,3606,1
1757,3574,0
1757,3574,0
1763,3572,0
1772,3562,0
1781,3549,0
1791,3535,0
1798,3516,0
1800,3500,0
1799,3496,0
1795,3497,0
1780,3504,0
1762,3520,0
1751,3547,0
1747,3576,0
1751,3600,0
1763,3609,0
1783,3617,0
1810,3620,0
1836,3610,0
1862,3597,0
1887,3583,1
1983,3479,0
1981,3476,0
1979,3477,0
1970,3479,0
1958,3486,0
1945,3498,0
1935,3509,0
1932,3518,0
1937,3529,0
1947,3543,0
1962,3556,0
1982,3567,0
2002,3578,0
2018,3586,0
2026,3592,0
2029,3595,0
2024,3597,0
2011,3604,0
1997,3612,0
1981,3613,0
1971,3607,1
2154,3340,0
2148,3354,0
2144,3381,0
2142,3415,0
2145,3465,0
2149,3518,0
2149,3560,0
2153,3588,0
2153,3597,0
2153,3597,0
2147,3586,0
2140,3579,0
2124,3555,0
2108,3527,0
2101,3520,0
2094,3518,0
2094,3519,0
2094,3518,0
2099,3517,0
2113,3512,0
2129,3503,0
2154,3500,0
2181,3495,0
2207,3494,0
2228,3492,1
2697,3390,0
2697,3390,0
2696,3390,0
2697,3394,0
2685,3391,0
2663,3393,0
2639,3414,0
2612,3449,0
2587,3499,0
2574,3554,0
2579,3600,0
2592,3629,0
2610,3648,0
2630,3651,0
2655,3649,0
2678,3634,0
2697,3612,1
2774,3363,0
2774,3363,0
2772,3364,0
2771,3387,0
2766,3426,0
2763,3477,0
2758,3525,0
2756,3565,0
2760,3595,0
2760,3604,0
2760,3604,0
2769,3604,0
2779,3585,0
2791,3552,0
2809,3512,0
2831,3487,0
2853,3479,0
2871,3479,0
2889,3493,0
2897,3510,0
2901,3540,0
2902,3572,0
2905,3597,0
2904,3607,0
2903,3607,1
3016,3503,0
3018,3502,0
3024,3503,0
3032,3508,0
3040,3518,0
3045,3533,0
3055,3554,0
3063,3573,0
3062,3579,0
3060,3579,0
3062,3583,0
3051,3580,0
3036,3579,0
3014,3574,0
2987,3570,0
2972,3584,0
2955,3597,0
2954,3616,0
2963,3630,0
2980,3638,0
3002,3640,0
3026,3636,0
3051,3626,0
3072,3609,0
3091,3589,1
3134,3522,0
3137,3547,0
3137,3571,0
3139,3594,0
3139,3608,0
3135,3614,0
3134,3615,0
3132,3612,0
3128,3604,0
3123,3584,0
3124,3556,0
3129,3530,0
3138,3510,0
3151,3493,0
3169,3476,0
3191,3467,1
3314,3346,0
3312,3353,0
3306,3371,0
3306,3405,0
3308,3448,0
3304,3484,0
3303,3518,0
3298,3541,0
3293,3562,0
3294,3577,0
3293,3577,0
3294,3577,0
3296,3576,1
3276,3483,0
3276,3483,0
3278,3481,0
3285,3481,0
3291,3479,0
3303,3479,0
3317,3480,0
3336,3481,0
3346,3479,1
3373,3591,0
3377,3593,0
3386,3592,0
3402,3590,0
3418,3580,0
3436,3572,0
3455,3559,0
3472,3547,0
3481,3535,0
3489,3535,0
3489,3535,0
3489,3535,0
3474,3536,0
3456,3549,0
3441,3574,0
3427,3602,0
3418,3629,0
3428,3650,0
3445,3663,0
3462,3667,0
3490,3667,0
3512,3656,0
3532,3638,0
3547,3617,0
3561,3607,1
3617,3561,0
3626,3585,0
3629,3602,0
3628,3612,0
3627,3619,0
3630,3621,0
3628,3618,0
3626,3614,0
3626,3604,0
3619,3574,0
3624,3551,0
3626,3539,0
3632,3530,0
3644,3521,0
3654,3508,0
3674,3508,0
3694,3508,1
3788,3406,0
3787,3407,0
3785,3409,0
3783,3425,0
3781,3464,0
3781,3510,0
3781,3551,0
3776,3580,0
3776,3600,0
3776,3612,0
3777,3614,0
3778,3614,0
3784,3614,0
3790,3604,0
3802,3590,0
3817,3568,0
3831,3551,0
3848,3543,0
3865,3539,0
3876,3535,0
3885,3537,0
3893,3547,0
3895,3566,0
3896,3596,0
3894,3619,0
3894,3629,0
3899,3636,0
3904,3636,0
3914,3633,1
4048,3567,0
4044,3555,0
4041,3541,0
4033,3532,0
4026,3528,0
4018,3530,0
4002,3528,0
3991,3532,0
3981,3540,0
3969,3551,0
3963,3571,0
3964,3597,0
3964,3612,0
3976,3624,0
3991,3632,0
4004,3632,0
4017,3626,0
4036,3620,0
4046,3605,0
4059,3590,0
4063,3570,1
4146,3549,0
4145,3550,0
4144,3551,0
4143,3552,0
4141,3554,0
4137,3568,0
4133,3594,0
4130,3618,0
4132,3637,0
4133,3647,0
4141,3656,0
4148,3660,0
4154,3660,0
4167,3660,0
4177,3651,0
4188,3636,0
4200,3614,0
4210,3595,0
4218,3582,0
4227,3573,0
4233,3573,0
4234,3572,0
4232,3573,0
4234,3578,0
4230,3592,0
4229,3620,0
4234,3643,0
4239,3654,0
4248,3662,1
4357,3549,0
4360,3551,0
4352,3549,0
4337,3552,0
4320,3562,0
4308,3574,0
4306,3582,0
4309,3590,0
4314,3602,0
4334,3621,0
4349,3635,0
4367,3651,0
4378,3662,0
4383,3669,0
4380,3672,0
4367,3677,0
4344,3682,0
4321,3682,0
4302,3677,0
4295,3673,0
4295,3667,1
4432,3644,0
4433,3643,0
4440,3641,0
4446,3636,0
4451,3624,0
4457,3603,0
4459,3579,0
4459,3561,0
4456,3553,0
4448,3550,0
4432,3560,0
4411,3580,0
4404,3609,0
4402,3629,0
4406,3641,0
4416,3648,0
4437,3655,0
4461,3654,0
4493,3650,0
4519,3643,0
4537,3636,1
4599,3561,0
4603,3563,0
4610,3562,0
4620,3563,0
4628,3560,0
4639,3560,0
4655,3561,0
4666,3561,0
4674,3559,1
4857,3549,0
4857,3549,0
4855,3550,0
4841,3549,0
4825,3554,0
4806,3562,0
4789,3569,0
4783,3576,0
4781,3578,0
