backing-up. This time, however, it
412
926,4854,0
921,4854,0
919,4857,0
914,4878,0
904,4933,0
886,5001,0
864,5084,0
858,5124,0
857,5136,0
859,5136,0
863,5136,0
631,5035,0
649,5033,0
661,5046,0
657,5070,0
644,5101,0
624,5132,0
600,5157,0
576,5167,0
547,5173,1
1105,5068,0
1107,5072,0
1107,5072,0
1106,5072,0
1100,5069,0
1084,5060,0
1078,5057,0
1071,5068,0
1066,5105,0
1069,5144,0
1076,5156,0
1078,5160,0
1080,5152,0
1089,5144,0
1102,5125,0
1114,5108,0
1129,5104,0
1147,5112,0
1158,5123,0
1170,5132,0
1182,5136,0
1198,5134,0
1214,5122,0
1225,5110,0
1233,5102,0
1235,5106,0
1233,5102,0
1231,5122,0
1229,5154,0
1233,5170,0
1241,5178,0
1248,5178,0
1261,5181,0
1271,5169,0
1283,5132,0
1295,5087,0
1315,5035,0
1326,4974,0
1341,4929,0
1348,4905,0
1348,4905,0
1348,4917,0
1353,4968,0
1351,5028,0
1351,5085,0
1359,5129,0
1376,5151,0
1389,5155,0
1404,5146,0
1423,5125,0
1440,5099,0
1450,5074,0
1457,5057,0
1455,5050,0
1447,5051,0
1434,5064,1
1424,5116,0
1429,5132,0
1444,5143,0
1463,5149,0
1477,5148,0
1492,5151,0
1503,5150,0
1515,5145,0
1530,5136,0
1545,5131,0
1561,5129,0
1575,5124,0
1582,5123,0
1587,5127,0
1593,5134,0
1599,5145,1
1592,4905,0
1592,4905,0
1592,4905,0
1593,4905,0
1596,4909,1
1684,5132,0
1686,5151,0
1689,5151,0
1689,5151,0
1687,5147,0
1691,5147,0
1697,5142,0
1713,5140,0
1732,5138,0
1750,5139,0
1768,5133,0
1782,5123,0
1793,5113,0
1802,5104,0
1806,5103,0
1812,5106,0
1833,5136,0
1852,5169,0
1865,5212,0
1873,5247,0
1876,5267,0
1875,5274,0
1874,5274,0
1865,5277,0
1849,5267,0
1837,5260,0
1828,5250,0
1826,5242,0
1831,5228,0
1845,5214,0
1864,5199,0
1885,5188,0
1911,5175,1
2018,5092,0
2021,5095,0
2019,5083,0
2031,5097,0
2043,5103,0
2058,5108,0
2074,5105,0
2089,5094,0
2111,5081,1
2248,5058,0
2247,5059,0
2246,5059,0
2241,5069,0
2241,5085,0
2245,5125,0
2256,5156,0
2262,5170,0
2270,5165,0
2280,5158,0
2293,5142,0
2299,5108,0
2315,5088,1
2405,5279,0
2408,5287,0
2407,5283,0
2405,5279,0
2396,5262,0
2391,5226,0
2394,5195,0
2407,5171,0
2415,5165,0
2425,5162,0
2426,5162,0
2450,5163,0
2467,5172,0
2470,5187,0
2476,5198,0
2479,5218,0
2478,5231,0
2489,5240,0
2119,5340,0
2106,5356,1
2612,5246,0
2615,5250,0
2615,5250,0
2615,5250,0
2618,5253,0
2616,5249,0
2618,5253,0
2616,5249,0
2614,5250,0
2616,5253,0
2618,5253,0
2622,5251,0
2622,5243,1
3023,4850,0
3021,4858,0
3020,4881,0
3019,4932,0
3009,5018,0
3023,5129,0
3005,5205,0
3004,5231,0
3004,5236,0
3004,5231,0
3009,5204,0
3018,5200,1
2924,4898,0
2919,4904,0
2932,4920,0
2958,4935,0
2994,4939,0
3042,4936,0
3083,4924,0
3129,4922,0
3158,4905,0
3174,4898,0
3179,4891,0
3173,4880,0
3163,4872,0
3163,4871,0
3165,4875,0
3169,4912,0
3162,4959,0
3182,5064,0
3173,5098,0
3162,5120,0
3153,5150,0
3151,5164,0
3158,5170,0
3167,5166,0
3186,5163,0
3209,5152,0
3233,5151,0
3268,5180,0
3288,5187,0
3302,5191,0
3316,5202,0
3326,5207,0
3341,5226,0
3354,5238,0
3360,5235,0
3364,5219,1
3380,4877,0
3376,4874,0
3372,4876,0
3368,4887,0
3364,4907,0
3368,4927,0
3391,4961,1
3554,5081,0
3562,5085,0
3562,5085,0
3556,5084,0
3553,5086,0
3544,5098,0
3525,5113,0
3516,5162,0
3502,5204,0
3508,5277,0
3503,5301,0
3508,5303,0
3498,5295,0
3486,5278,0
3475,5269,0
3472,5263,0
3467,5261,0
3465,5257,0
3467,5256,0
3471,5254,1
3952,4874,0
3944,4911,0
3942,4982,0
3933,5052,0
3935,5120,0
3937,5156,0
3933,5172,0
3934,5175,0
3930,5170,0
3928,5156,0
3930,5141,0
3935,5129,0
3957,5126,0
3981,5122,0
4051,5108,0
4051,5084,1
4062,4842,0
4053,4852,0
4029,4872,0
4024,4884,0
4033,4898,0
4051,4916,0
4072,4940,1
4132,5143,0
4132,5143,0
4136,5150,0
4140,5147,0
4228,5173,0
4298,5180,0
4328,5151,0
4329,5137,0
4324,5125,0
4326,5163,0
4342,5219,0
4355,5215,0
4371,5199,0
4389,5183,1
4480,5151,0
4476,5168,0
4461,5207,0
4459,5275,0
4456,5321,1
4787,4840,0
4787,4846,0
4783,5131,0
4796,5111,0
4817,5090,0
4840,5078,0
4853,5078,0
4864,5079,0
4900,5097,0
4916,5096,0
4924,5083,0
4936,5074,0
4946,5067,0
4947,5060,0
4949,5059,0
4960,5162,0
4968,5146,0
4992,5107,0
5002,5114,0
5006,5116,0
5011,5117,0
5022,5124,0
5040,5155,0
5064,5136,0
5072,5156,0
5076,5178,0
5074,5185,0
5082,5188,0
5106,5180,0
5154,5156,0
5168,5154,0
5180,5149,0
5187,5144,0
5193,5145,0
5193,5176,0
5207,5191,0
5213,5196,0
5225,5197,0
5244,5190,0
5262,5181,0
5313,5159,0
5332,5154,0
5343,5159,0
5344,5158,0
5343,5180,0
5345,5195,0
5346,5195,0
5347,5199,0
5351,5200,0
5354,5203,0
5351,5210,0
5351,5210,0
5352,5209,0
5353,5209,0
5354,5208,0
5356,5207,0
5354,5207,0
5353,5204,0
5353,5204,0
5357,5206,0
5359,5198,0
5368,5190,0
5380,5175,0
5394,5158,1
5469,5146,0
5472,5154,0
5477,5160,0
5480,5162,0
5478,5158,0
5478,5143,0
5477,5138,0
5472,5138,0
5465,5144,0
5455,5163,0
5540,5206,0
5531,5161,0
5535,5157,1
5661,5231,0
5656,5236,0
5623,5373,0
5624,5366,1
5939,5163,0
5933,5185,0
5928,5218,0
5921,5247,0
5921,5263,1
5954,4980,0
5950,4953,0
5939,5017,1
6146,4917,0
6149,4915,0
6150,4930,0
6150,4972,0
6149,5042,0
6138,5122,0
6142,5187,0
6145,5224,0
6145,5240,0
6146,5245,0
6148,5243,0
6145,5229,0
6138,5197,0
6126,5163,0
6126,5153,0
6128,5156,0
6133,5168,0
6160,5175,0
6172,5173,0
6186,5170,0
6197,5165,1
