philosophy, politics, and economics.
758
772,4698,0
772,4706,0
773,4714,0
766,4725,0
768,4754,0
769,4778,0
769,4810,0
762,4850,0
756,4889,0
751,4917,0
750,4936,0
750,4945,0
750,4941,0
752,4924,0
752,4901,0
752,4869,0
755,4833,0
762,4794,0
774,4746,0
787,4715,0
804,4688,0
820,4665,0
839,4654,0
864,4651,0
883,4652,0
898,4669,0
911,4689,0
916,4713,0
915,4737,0
907,4757,0
894,4777,0
870,4784,0
847,4787,0
824,4782,0
808,4772,0
796,4755,0
793,4739,1
994,4560,0
994,4560,0
994,4559,0
994,4560,0
991,4572,0
989,4591,0
982,4611,0
976,4640,0
969,4671,0
962,4699,0
956,4719,0
954,4735,0
953,4735,0
955,4734,0
960,4722,0
969,4703,0
982,4683,0
997,4664,0
1014,4648,0
1029,4644,0
1040,4640,0
1049,4644,0
1055,4661,0
1059,4676,0
1060,4697,0
1055,4716,0
1046,4736,0
1038,4753,0
1031,4753,1
1131,4644,0
1133,4644,0
1136,4644,0
1136,4656,0
1132,4669,0
1125,4684,0
1119,4705,0
1119,4720,0
1119,4732,1
1151,4560,0
1147,4552,0
1144,4548,0
1143,4552,0
1140,4556,1
1241,4526,0
1242,4525,0
1238,4526,0
1230,4546,0
1216,4566,0
1206,4599,0
1200,4635,0
1199,4667,0
1199,4695,0
1210,4722,0
1223,4739,0
1240,4741,0
1261,4745,1
1383,4658,0
1377,4655,0
1365,4643,0
1354,4640,0
1336,4633,0
1319,4634,0
1303,4639,0
1293,4651,0
1283,4664,0
1282,4688,0
1285,4704,0
1302,4727,0
1318,4734,0
1334,4741,0
1346,4745,0
1352,4740,0
1356,4731,0
1357,4724,0
1357,4708,0
1356,4692,0
1356,4680,1
1525,4606,0
1521,4602,0
1515,4603,0
1501,4601,0
1480,4606,0
1458,4608,0
1443,4613,0
1434,4618,0
1433,4626,0
1438,4630,0
1449,4637,0
1465,4652,0
1482,4662,0
1501,4677,0
1515,4683,0
1523,4690,0
1524,4699,0
1519,4712,0
1504,4717,0
1483,4723,0
1461,4724,0
1442,4722,0
1426,4715,0
1421,4707,0
1423,4707,1
1692,4639,0
1689,4628,0
1684,4616,0
1672,4605,0
1656,4599,0
1639,4606,0
1621,4612,0
1604,4622,0
1592,4635,0
1591,4659,0
1592,4676,0
1603,4694,0
1622,4705,0
1640,4714,0
1655,4716,0
1664,4711,0
1669,4702,0
1670,4686,0
1668,4670,0
1664,4659,0
1662,4647,1
1763,4616,0
1761,4616,0
1762,4628,0
1759,4641,0
1759,4661,0
1756,4686,0
1756,4714,0
1750,4739,0
1746,4760,0
1740,4769,0
1738,4774,0
1734,4770,0
1732,4754,0
1730,4734,0
1736,4701,0
1746,4671,0
1759,4642,0
1774,4606,0
1792,4584,0
1812,4567,0
1829,4561,0
1845,4562,0
1862,4575,0
1874,4594,0
1882,4613,0
1884,4637,0
1880,4661,0
1870,4680,0
1859,4694,0
1842,4697,0
1825,4695,0
1809,4694,0
1793,4681,0
1783,4669,0
1777,4654,0
1779,4638,0
1792,4628,1
1943,4495,0
1945,4495,0
1945,4495,0
1947,4503,0
1948,4519,0
1948,4543,0
1948,4571,0
1947,4601,0
1948,4629,0
1948,4640,0
1952,4652,0
1955,4652,0
1964,4642,0
1978,4631,0
1992,4608,0
2005,4589,0
2017,4578,0
2023,4577,0
2025,4580,0
2026,4592,0
2025,4613,0
2024,4642,0
2024,4662,0
2028,4682,0
2034,4688,1
2058,4544,0
2060,4548,0
2070,4558,0
2084,4579,0
2096,4597,0
2108,4615,0
2123,4628,0
2142,4636,0
2162,4631,1
2245,4536,0
2245,4536,0
2243,4541,0
2234,4555,0
2217,4572,0
2193,4594,0
2171,4628,0
2145,4656,0
2124,4685,0
2110,4717,0
2100,4736,0
2099,4748,0
2105,4751,1
2340,4609,0
2342,4608,0
2343,4608,0
2342,4608,0
2337,4613,0
2326,4630,0
2314,4653,0
2301,4673,0
2299,4695,1
2577,4543,0
2577,4543,0
2575,4548,0
2572,4562,0
2570,4584,0
2562,4607,0
2557,4638,0
2550,4671,0
2544,4698,0
2540,4716,0
2538,4725,0
2536,4721,0
2538,4712,0
2540,4685,0
2546,4659,0
2556,4626,0
2569,4593,0
2583,4558,0
2600,4536,0
2616,4512,0
2635,4506,0
2653,4504,0
2671,4506,0
2690,4524,0
2702,4541,0
2710,4560,0
2715,4583,0
2711,4597,0
2706,4612,0
2690,4613,0
2670,4613,0
2647,4608,0
2626,4599,0
2610,4591,0
2601,4586,0
2596,4575,0
2600,4570,1
2840,4531,0
2839,4527,0
2835,4519,0
2826,4510,0
2818,4514,0
2805,4514,0
2788,4509,0
2777,4517,0
2770,4524,0
2767,4538,0
2773,4553,0
2785,4570,0
2803,4584,0
2818,4587,0
2833,4589,0
2842,4582,0
2847,4575,0
2849,4562,0
2844,4542,0
2837,4524,0
2830,4509,0
2828,4501,0
2825,4493,0
2824,4481,0
2832,4478,1
2925,4413,0
2922,4410,0
2921,4418,0
2914,4435,0
2905,4452,0
2900,4476,0
2897,4499,0
2903,4522,0
2911,4540,0
2922,4553,0
2934,4557,0
2948,4555,0
2959,4541,0
2971,4524,0
2982,4506,0
2989,4490,0
2994,4474,0
2998,4468,0
2998,4464,0
2996,4464,0
2996,4473,0
2994,4487,0
2994,4509,0
2992,4528,0
2995,4543,1
2991,4427,0
2987,4420,0
2984,4417,0
2984,4418,0
2983,4418,1
3088,4374,0
3091,4377,0
3089,4377,0
3088,4386,0
3087,4405,0
3087,4427,0
3088,4454,0
3086,4481,0
3083,4508,0
3081,4531,0
3079,4546,0
3077,4550,0
3076,4547,1
3055,4459,0
3055,4455,0
3060,4461,0
3070,4466,0
3083,4473,0
3100,4483,0
3119,4492,0
3134,4493,1
3182,4456,0
3177,4450,0
3175,4451,0
3173,4452,0
3169,4459,0
3167,4473,0
3166,4491,0
3169,4512,0
3173,4529,0
3176,4535,0
3182,4537,0
3189,4529,1
3172,4413,0
3168,4406,0
3166,4402,0
3168,4406,1
3318,4437,0
3313,4431,0
3304,4427,0
3291,4420,0
3276,4419,0
3264,4424,0
3255,4438,0
3244,4453,0
3240,4472,0
3243,4489,0
3253,4506,0
3264,4519,0
3282,4528,0
3303,4536,0
3325,4533,0
3348,4526,0
3371,4514,1
3481,4417,0
3478,4414,0
3469,4410,0
3455,4408,0
3435,4406,0
3414,4409,0
3396,4418,0
3384,4425,0
3382,4439,0
3389,4454,0
3405,4468,0
3429,4487,0
3454,4500,0
3478,4510,0
3497,4518,0
3504,4524,0
3503,4529,0
3491,4530,0
3465,4531,0
3436,4533,0
3407,4531,0
3385,4529,0
3375,4530,0
3373,4526,0
3382,4526,1
3619,4499,0
3617,4495,0
3618,4495,0
3617,4495,0
3617,4495,0
3617,4495,0
3618,4495,0
3618,4495,0
3617,4495,0
3617,4495,0
3617,4496,0
3619,4500,0
3617,4496,0
3616,4497,0
3617,4496,0
3617,4496,0
