providing 3,000 men, who must take about
852
647,3928,0
643,3923,0
637,3914,0
629,3893,0
620,3868,0
611,3835,0
605,3805,0
605,3769,0
608,3742,0
616,3718,0
627,3700,0
641,3686,0
659,3679,0
677,3686,0
691,3696,0
699,3708,0
703,3729,0
699,3752,0
689,3771,0
675,3790,0
662,3797,1
805,3798,0
805,3798,0
805,3802,0
804,3798,0
801,3785,0
796,3766,0
790,3741,0
785,3720,0
781,3708,0
777,3691,0
774,3687,0
774,3679,0
775,3675,0
780,3672,0
791,3669,0
807,3662,0
826,3660,0
846,3657,0
863,3658,0
877,3662,0
888,3664,1
962,3754,0
955,3754,0
945,3758,0
932,3757,0
918,3753,0
907,3744,0
898,3736,0
892,3728,0
890,3712,0
892,3703,0
900,3689,0
914,3677,0
929,3674,0
943,3674,0
958,3679,0
970,3687,0
979,3703,0
982,3723,0
977,3739,0
972,3759,0
969,3763,1
1019,3680,0
1019,3684,0
1019,3696,0
1017,3703,0
1018,3728,0
1019,3744,0
1024,3764,0
1032,3772,0
1044,3781,0
1060,3781,0
1078,3769,0
1095,3756,0
1110,3736,0
1119,3713,0
1124,3689,0
1125,3680,0
1121,3669,0
1115,3665,0
1109,3665,0
1105,3664,0
1103,3668,1
1184,3663,0
1184,3663,0
1184,3667,0
1182,3671,0
1182,3683,0
1179,3699,0
1178,3723,0
1176,3740,0
1177,3755,0
1178,3763,0
1179,3764,0
1179,3759,0
1179,3751,1
1185,3614,0
1182,3607,0
1181,3607,0
1181,3612,1
1298,3694,0
1299,3686,0
1299,3677,0
1296,3670,0
1290,3666,0
1284,3667,0
1274,3675,0
1261,3684,0
1252,3696,0
1243,3709,0
1240,3729,0
1240,3741,0
1245,3753,0
1266,3756,0
1282,3751,0
1296,3734,0
1307,3721,0
1313,3697,0
1315,3672,0
1315,3648,0
1316,3632,0
1316,3617,0
1314,3604,0
1312,3596,0
1313,3601,0
1312,3600,0
1313,3612,0
1314,3629,0
1315,3653,0
1314,3677,1
1388,3667,0
1390,3675,0
1390,3687,0
1388,3703,0
1385,3715,1
1377,3616,0
1375,3608,0
1377,3608,0
1375,3604,0
1380,3608,1
1440,3738,0
1440,3735,0
1440,3734,0
1440,3730,0
1436,3718,0
1435,3706,0
1438,3694,0
1440,3682,0
1445,3677,0
1455,3672,0
1467,3667,0
1481,3674,0
1492,3681,0
1501,3687,0
1510,3699,0
1512,3706,0
1509,3719,0
1504,3735,0
1498,3749,0
1493,3761,0
1491,3765,1
1616,3704,0
1612,3696,0
1610,3693,0
1604,3682,0
1599,3670,0
1590,3660,0
1579,3653,0
1567,3658,0
1550,3661,0
1537,3667,0
1534,3675,0
1538,3687,0
1546,3702,0
1562,3711,0
1582,3713,0
1604,3723,0
1622,3728,0
1633,3730,0
1641,3737,0
1644,3744,0
1644,3761,0
1638,3773,0
1635,3790,0
1632,3811,0
1628,3832,0
1626,3865,0
1625,3889,0
1628,3913,0
1633,3932,0
1638,3952,0
1641,3967,0
1642,3979,0
1638,3980,0
1631,3981,0
1616,3978,0
1593,3970,0
1573,3961,0
1562,3954,0
1559,3946,0
1562,3937,0
1571,3928,1
1981,3534,0
1980,3530,0
1983,3534,0
1981,3530,0
1985,3529,0
1987,3524,0
1997,3526,0
2007,3518,0
2024,3518,0
2040,3518,0
2058,3520,0
2077,3523,0
2090,3528,0
2097,3538,0
2101,3549,0
2097,3559,0
2087,3571,0
2073,3583,0
2054,3592,0
2038,3602,0
2024,3609,0
2017,3611,0
2017,3612,0
2017,3611,0
2026,3617,0
2038,3618,0
2059,3629,0
2077,3636,0
2094,3648,0
2101,3662,0
2102,3674,0
2097,3692,0
2087,3713,0
2068,3725,0
2046,3740,0
2019,3747,0
1997,3753,0
1977,3746,0
1965,3732,0
1959,3717,0
1966,3703,1
2162,3732,0
2164,3731,0
2166,3735,0
2164,3732,0
2164,3735,0
2163,3744,0
2163,3756,0
2159,3771,0
2157,3775,1
2258,3706,0
2244,3693,0
2237,3687,0
2235,3612,0
2242,3597,0
2253,3588,0
2325,3644,0
2329,3672,0
2326,3687,0
2321,3705,0
2320,3718,1
2439,3696,0
2432,3698,0
2418,3691,0
2408,3695,0
2396,3691,0
2386,3687,0
2375,3673,0
2371,3666,0
2408,3592,0
2441,3600,0
2457,3611,0
2470,3624,0
2479,3641,0
2482,3662,0
2476,3677,0
2469,3696,0
2458,3711,0
2444,3720,0
2427,3717,1
2579,3682,0
2563,3680,0
2550,3682,0
2534,3679,0
2516,3670,0
2504,3665,0
2495,3614,0
2506,3600,0
2521,3585,0
2543,3580,0
2567,3578,0
2589,3582,0
2607,3591,0
2621,3607,0
2625,3622,0
2624,3641,0
2615,3658,0
2604,3672,0
2591,3682,0
2581,3690,0
2572,3689,0
2571,3685,1
2794,3707,0
2794,3708,0
2790,3701,0
2784,3690,0
2778,3674,0
2776,3658,0
2772,3642,0
2772,3624,0
2773,3610,0
2779,3603,0
2780,3593,0
2782,3592,0
2789,3594,0
2796,3595,0
2802,3597,0
2813,3608,0
2822,3614,0
2831,3617,0
2840,3617,0
2853,3619,0
2864,3610,0
2878,3607,0
2890,3600,0
2900,3595,0
2905,3592,0
2905,3592,0
2905,3597,0
2906,3606,0
2907,3619,0
2906,3633,0
2902,3643,0
2905,3660,0
2910,3676,0
2912,3684,0
2918,3690,0
2927,3694,0
2938,3693,1
2978,3671,0
2986,3667,0
2994,3658,0
2998,3643,0
3002,3631,0
3001,3613,0
3004,3602,0
3004,3593,0
3001,3586,0
3001,3586,0
2995,3585,0
2987,3584,0
2980,3592,0
2972,3602,0
2969,3617,0
2966,3632,0
2972,3648,0
2977,3658,0
2987,3666,0
3006,3674,0
3024,3673,1
3122,3687,0
3122,3687,0
3119,3684,0
3117,3684,0
3110,3675,0
3102,3666,0
3098,3655,0
3091,3640,0
3091,3626,0
3096,3614,0
3107,3602,0
3121,3590,0
3138,3585,0
3156,3588,0
3168,3595,0
3177,3607,0
3186,3621,0
3190,3637,0
3191,3650,0
3194,3667,0
3188,3676,0
3189,3689,0
3188,3694,0
3187,3695,0
3191,3697,1
3262,3673,0
3262,3677,0
3259,3684,0
3255,3691,0
3252,3702,0
3248,3713,0
3244,3726,0
3243,3735,0
3247,3747,1
3424,3576,0
3426,3579,0
3427,3578,0
3426,3579,0
3428,3588,0
3424,3600,0
3430,3621,0
3431,3640,0
3433,3653,0
3438,3664,0
3445,3673,0
3452,3674,0
3460,3672,0
3471,3670,0
3478,3660,0
3484,3652,0
3484,3642,0
3484,3642,0
3487,3644,0
3484,3641,0
3492,3646,0
3502,3653,0
3514,3660,0
3521,3660,0
3530,3659,0
3542,3660,0
3548,3651,0
3552,3638,0
3552,3619,0
3548,3602,0
3544,3585,0
3537,3580,0
3532,3574,0
3532,3574,0
