not, perhaps, quite the impression
650
1234,4458,0
1231,4458,0
1231,4462,0
1231,4462,0
1235,4485,0
1235,4514,0
1236,4538,0
1237,4558,0
1240,4577,0
1242,4585,0
1245,4593,0
1245,4593,0
1245,4589,0
1247,4582,0
1254,4557,0
1264,4529,0
1275,4496,0
1290,4475,0
1307,4466,0
1324,4462,0
1337,4465,0
1351,4488,0
1362,4519,0
1370,4555,0
1377,4590,0
1379,4614,0
1382,4630,0
1385,4634,0
1392,4630,1
1512,4514,0
1509,4511,0
1507,4516,0
1495,4517,0
1482,4533,0
1469,4547,0
1457,4568,0
1454,4597,0
1456,4620,0
1467,4640,0
1483,4650,0
1501,4653,0
1518,4647,0
1533,4634,0
1544,4616,0
1546,4592,0
1547,4567,0
1542,4540,0
1537,4517,0
1525,4502,0
1514,4495,1
1648,4362,0
1646,4362,0
1646,4362,0
1645,4370,0
1644,4398,0
1642,4432,0
1643,4463,0
1643,4500,0
1643,4533,0
1643,4556,0
1644,4572,0
1641,4581,0
1636,4573,1
1605,4525,0
1606,4524,0
1614,4528,0
1630,4534,0
1647,4536,0
1665,4537,0
1685,4543,0
1705,4544,1
1762,4628,0
1756,4661,0
1750,4687,0
1744,4712,0
1737,4741,1
2034,4468,0
2036,4471,0
2036,4471,0
2038,4483,0
2042,4515,0
2046,4555,0
2046,4588,0
2049,4637,0
2051,4677,0
2048,4706,0
2046,4731,0
2044,4752,0
2042,4753,0
2044,4756,0
2038,4741,0
2033,4710,0
2030,4673,0
2029,4632,0
2031,4587,0
2038,4549,0
2047,4514,0
2060,4490,0
2077,4483,0
2093,4478,0
2111,4488,0
2128,4504,0
2142,4529,0
2152,4560,0
2153,4588,0
2142,4607,0
2125,4623,0
2108,4635,0
2092,4635,1
2212,4569,0
2217,4576,0
2229,4582,0
2241,4582,0
2255,4574,0
2268,4567,0
2279,4555,0
2285,4546,0
2284,4533,0
2276,4519,0
2265,4506,0
2250,4501,0
2232,4502,0
2212,4507,0
2199,4526,0
2190,4550,0
2188,4572,0
2195,4598,0
2209,4616,0
2227,4632,0
2246,4635,0
2268,4637,0
2288,4631,0
2301,4620,0
2318,4599,0
2323,4580,0
2333,4553,0
2336,4535,0
2339,4518,0
2339,4509,0
2339,4509,0
2338,4509,0
2338,4522,0
2338,4547,0
2339,4567,0
2341,4588,0
2343,4600,0
2346,4603,0
2347,4599,0
2347,4594,0
2355,4575,0
2362,4557,0
2376,4532,0
2392,4510,0
2405,4494,1
2516,4361,0
2515,4366,0
2519,4381,0
2520,4410,0
2520,4449,0
2517,4495,0
2516,4547,0
2516,4580,0
2514,4606,0
2518,4609,0
2519,4613,0
2530,4597,0
2538,4582,0
2555,4555,0
2563,4540,0
2577,4526,0
2582,4529,0
2596,4533,0
2600,4553,0
2604,4572,0
2605,4593,1
2711,4555,0
2709,4555,0
2706,4553,0
2699,4543,0
2686,4530,0
2674,4526,0
2659,4528,0
2647,4540,0
2637,4557,0
2635,4582,0
2639,4603,0
2654,4623,0
2668,4630,0
2685,4637,0
2699,4628,0
2717,4621,0
2726,4605,0
2731,4582,0
2735,4563,0
2736,4550,0
2737,4546,0
2737,4546,0
2736,4550,0
2738,4579,0
2739,4604,0
2741,4625,0
2748,4643,0
2753,4654,0
2758,4653,1
2804,4532,0
2807,4543,0
2808,4557,0
2809,4587,0
2812,4619,0
2814,4661,0
2821,4740,0
2821,4765,0
2821,4791,0
2818,4801,0
2818,4801,0
2814,4785,0
2811,4761,0
2810,4727,0
2810,4689,0
2811,4641,0
2818,4596,0
2831,4556,0
2844,4521,0
2861,4501,0
2878,4493,0
2895,4495,0
2911,4506,0
2927,4529,0
2937,4556,0
2940,4589,0
2934,4613,0
2927,4638,0
2914,4647,0
2897,4654,0
2885,4654,0
2866,4637,1
3049,4515,0
3046,4512,0
3041,4514,0
3028,4512,0
3009,4507,0
2994,4505,0
2982,4506,0
2975,4505,0
2975,4508,0
2979,4512,0
2992,4528,0
3008,4542,0
3028,4564,0
3047,4587,0
3061,4606,0
3070,4628,0
3071,4646,0
3067,4661,0
3057,4674,0
3045,4679,0
3033,4684,1
3160,4635,0
3162,4635,0
3164,4639,0
3169,4649,0
3167,4646,0
3169,4649,0
3167,4646,0
3168,4650,0
3167,4646,0
3167,4646,0
3153,4683,0
3142,4727,0
