sisters in Bulgaria, Poland, and
763
936,1935,1
873,1901,0
858,1907,0
847,1913,0
842,1929,0
840,1940,0
846,1962,0
859,1983,0
879,2002,0
907,2029,0
936,2051,0
960,2073,0
981,2098,0
991,2123,0
994,2151,0
989,2178,0
979,2203,0
963,2217,0
948,2232,0
929,2231,0
908,2230,0
885,2220,0
864,2202,0
846,2179,0
836,2154,0
832,2133,1
1008,1915,0
1011,1923,0
1018,1940,0
1025,1960,0
1035,1988,0
1042,2017,0
1048,2041,0
1054,2069,0
1058,2097,0
1061,2121,0
1065,2137,0
1068,2149,0
1071,2153,1
1214,1940,1
1138,1900,1
1124,1928,0
1130,1944,0
1142,1964,0
1161,1987,0
1180,2006,0
1199,2025,0
1217,2048,0
1230,2071,0
1235,2095,0
1235,2115,0
1231,2130,0
1223,2136,0
1214,2140,0
1201,2141,0
1182,2134,0
1160,2119,1
1283,1788,1
1311,1889,0
1320,1924,0
1325,1956,0
1333,1992,0
1339,2023,0
1346,2058,0
1351,2082,0
1353,2094,1
1280,1957,1
1304,1950,0
1324,1948,0
1349,1944,0
1374,1941,1
1450,2016,0
1452,2016,0
1461,2018,0
1470,2012,0
1481,2001,1
1526,1946,0
1528,1932,0
1528,1920,0
1524,1909,1
1460,1896,0
1445,1907,0
1435,1929,0
1431,1954,0
1428,1976,0
1434,2002,0
1445,2029,0
1463,2054,0
1480,2067,0
1505,2082,0
1530,2084,0
1561,2085,1
1652,1951,0
1653,1967,0
1657,1983,0
1661,1999,0
1664,2010,0
1666,2018,0
1666,2022,0
1663,2019,0
1663,2019,0
1659,2012,0
1657,2005,0
1648,1986,0
1644,1971,0
1638,1952,0
1633,1932,0
1634,1915,0
1637,1897,0
1645,1882,0
1659,1870,0
1677,1859,0
1695,1852,1
2226,1809,0
2232,1809,0
2235,1812,0
2242,1826,0
2247,1847,0
2254,1877,0
2260,1911,0
2270,1949,0
2274,1978,0
2278,2000,0
2279,2009,0
2286,2014,0
2282,2007,1
2227,1768,0
2222,1748,0
2219,1730,0
2218,1720,0
2222,1718,1
2345,1806,0
2345,1806,0
2345,1805,0
2345,1806,0
2347,1809,1
2361,1843,0
2365,1870,0
2374,1899,0
2381,1923,0
2387,1939,0
2391,1946,0
2391,1946,0
2393,1944,0
2391,1940,0
2388,1927,0
2384,1906,0
2381,1879,0
2381,1853,0
2391,1831,0
2400,1807,0
2416,1790,0
2430,1773,0
2445,1761,0
2463,1756,0
2472,1752,0
2482,1755,0
2494,1766,0
2501,1780,0
2509,1800,0
2521,1826,0
2528,1851,0
2536,1877,0
2540,1900,0
2547,1920,0
2557,1937,0
2567,1945,0
2576,1948,1
2975,1603,0
2975,1604,0
2974,1605,0
2975,1610,0
2976,1621,0
2982,1641,0
2984,1662,0
2991,1693,0
2996,1725,0
3000,1759,0
3005,1790,0
3011,1819,0
3016,1844,0
3018,1860,0
3021,1869,0
3024,1872,0
3018,1866,1
2871,1651,0
2865,1639,0
2864,1628,0
2872,1618,0
2882,1605,0
2903,1592,0
2930,1577,0
2969,1565,0
2999,1551,0
3029,1543,0
3054,1542,0
3066,1545,0
3071,1551,0
3066,1560,0
3057,1573,0
3041,1589,0
3023,1606,0
2997,1620,0
2977,1633,0
2970,1643,0
2966,1647,0
2965,1650,0
2972,1652,0
2989,1658,0
3011,1661,0
3039,1664,0
3069,1671,0
3094,1677,0
3116,1689,0
3129,1704,0
3139,1725,0
3138,1745,0
3136,1768,0
3132,1787,0
3121,1806,0
3103,1822,0
3078,1838,0
3051,1853,0
3025,1865,0
3000,1869,0
2980,1868,0
2961,1864,0
2944,1854,0
2929,1841,0
2922,1824,1
3187,1631,0
3192,1632,0
3191,1633,0
3192,1637,0
3194,1648,0
3195,1661,0
3200,1681,0
3201,1702,0
3212,1727,0
3216,1749,0
3220,1763,0
3226,1774,0
3238,1779,0
3248,1779,0
3254,1772,0
3259,1759,0
3267,1740,0
3278,1718,0
3281,1691,0
3291,1669,0
3294,1651,0
3296,1640,0
3299,1638,0
3302,1640,0
3301,1641,0
3300,1649,0
3308,1667,0
3313,1687,0
3318,1709,0
3329,1727,0
3337,1738,0
3355,1747,0
3375,1752,0
3397,1749,0
3417,1742,0
3436,1727,0
3454,1708,0
3469,1684,0
3481,1657,0
3490,1628,0
3490,1597,0
3489,1567,0
3485,1541,0
3475,1517,0
3464,1497,0
3452,1486,0
3437,1480,0
3431,1483,0
3416,1492,0
3405,1510,0
3398,1539,0
3393,1570,0
3395,1606,0
3402,1640,0
3415,1672,0
3431,1700,0
3447,1725,1
3672,1658,1
3609,1574,0
3591,1572,0
3575,1577,0
3556,1587,0
3537,1603,0
3522,1621,0
3514,1642,0
3512,1660,0
3520,1677,0
3535,1691,0
3545,1697,0
3566,1701,0
3578,1696,0
3597,1689,0
3614,1678,0
3627,1663,0
3631,1646,0
3641,1631,0
3641,1616,0
3641,1605,0
3643,1602,0
3643,1602,0
3645,1605,0
3647,1612,0
3651,1629,0
3655,1653,0
3667,1683,0
3673,1710,0
3679,1738,0
3684,1770,0
3687,1804,0
3674,1836,0
3668,1868,0
3657,1894,0
3645,1911,0
3635,1918,0
3626,1924,0
3608,1923,0
3588,1916,0
3568,1908,1
3728,1572,0
3739,1560,0
3762,1549,0
3785,1540,0
3810,1536,0
3827,1537,0
3841,1545,0
3851,1561,0
3858,1582,0
3860,1604,0
3858,1626,0
3848,1644,0
3839,1662,0
3822,1677,0
3810,1688,0
3793,1693,0
3776,1694,0
3763,1691,0
3753,1684,0
3744,1676,0
3740,1667,0
3740,1659,0
3744,1652,0
3751,1647,0
3759,1642,0
3773,1640,0
3785,1643,0
3797,1648,0
3810,1656,0
3822,1667,0
3838,1680,0
3851,1689,0
3860,1698,0
3871,1703,0
3883,1705,0
3893,1704,0
3898,1695,1
3930,1515,1
3943,1555,0
3944,1573,0
3947,1594,0
3952,1616,0
3952,1635,0
3954,1650,0
3959,1658,0
3954,1657,0
3954,1657,0
3955,1656,0
3950,1648,0
3940,1633,0
3935,1615,0
3932,1596,0
3929,1575,0
3934,1556,1
4051,1502,0
4051,1503,0
