will deny&quot;, he has said sadly, &quot;that
813
617,4371,0
624,4356,0
639,4338,0
646,4326,0
650,4326,0
653,4347,0
656,4387,0
653,4439,0
652,4495,0
651,4531,0
653,4548,0
656,4544,0
662,4541,0
671,4517,0
684,4482,0
697,4451,0
713,4416,0
729,4406,0
738,4407,0
745,4419,0
753,4452,0
760,4489,0
769,4506,0
778,4509,0
786,4510,0
792,4507,0
798,4492,0
803,4476,0
806,4447,0
808,4415,0
812,4392,0
819,4377,0
825,4373,0
836,4374,0
851,4382,0
866,4396,0
878,4412,0
889,4432,0
896,4452,0
901,4473,0
900,4480,0
900,4492,0
900,4493,0
906,4473,0
916,4437,1
887,4156,0
880,4152,0
880,4147,0
878,4156,0
873,4172,0
869,4199,0
871,4235,0
879,4271,0
890,4308,1
924,4473,0
927,4486,0
931,4485,0
931,4482,0
933,4478,0
934,4458,0
936,4426,0
939,4374,0
945,4319,0
945,4258,0
950,4207,0
953,4155,0
955,4127,0
955,4103,0
955,4090,0
955,4087,0
956,4102,0
960,4147,0
965,4207,0
972,4271,0
982,4324,0
989,4372,0
996,4420,0
1003,4456,0
1011,4476,0
1019,4476,0
1027,4472,0
1038,4449,0
1044,4404,0
1058,4352,0
1066,4293,0
1066,4221,0
1068,4173,0
1068,4128,0
1067,4104,0
1066,4097,0
1067,4100,0
1065,4125,0
1066,4184,0
1072,4248,0
1079,4313,0
1090,4360,0
1105,4404,0
1123,4449,0
1141,4484,1
1401,4413,0
1393,4453,0
1392,4493,0
1399,4529,0
1410,4536,0
1421,4539,0
1426,4526,0
1435,4510,0
1445,4473,0
1454,4432,0
1460,4383,0
1464,4335,0
1486,4285,0
1494,4332,0
1503,4384,0
1516,4435,0
1529,4473,0
1548,4499,0
1568,4513,0
1586,4512,0
1607,4497,0
1627,4478,0
1645,4447,0
1657,4413,0
1662,4389,0
1660,4360,0
1653,4341,0
1645,4331,0
1636,4331,0
1628,4333,0
1626,4352,0
1628,4384,0
1634,4417,0
1645,4435,0
1657,4442,0
1671,4444,0
1700,4436,0
1713,4418,0
1726,4396,0
1737,4374,0
1743,4352,0
1747,4348,0
1749,4355,0
1754,4371,0
1757,4403,0
1763,4442,0
1767,4458,0
1772,4461,0
1776,4460,0
1781,4459,0
1788,4446,0
1795,4429,0
1802,4408,0
1808,4394,0
1813,4394,0
1817,4396,0
1827,4415,0
1836,4435,0
1844,4453,0
1855,4459,0
1863,4454,0
1873,4448,0
1886,4437,0
1894,4415,0
1903,4397,0
1906,4380,0
1909,4371,0
1911,4371,0
1913,4374,0
1915,4383,0
1923,4401,0
1928,4417,0
1934,4424,0
1942,4430,0
1949,4429,0
1954,4432,0
1958,4431,0
1964,4434,0
1968,4437,0
1968,4437,0
1969,4437,0
1971,4437,0
1972,4437,0
1971,4436,0
1971,4436,0
1972,4437,0
1975,4439,0
1974,4440,0
1973,4436,0
1973,4436,0
1974,4436,0
1973,4436,0
1973,4436,0
1973,4436,0
1975,4435,0
1976,4427,0
1980,4418,0
1984,4409,0
1985,4396,0
1987,4388,0
1990,4375,0
1990,4367,0
1991,4367,0
1990,4367,0
1991,4367,0
1991,4367,0
1993,4370,0
1995,4374,0
2003,4393,0
2010,4416,0
2015,4443,0
2022,4474,0
2029,4502,0
2032,4525,0
2035,4558,0
2036,4590,0
2036,4623,0
2036,4651,0
2034,4676,0
2028,4702,0
2014,4713,0
2003,4728,0
1989,4727,0
1982,4724,0
1978,4708,0
1978,4684,0
1993,4644,0
2018,4590,0
2048,4526,0
2081,4469,0
2118,4411,1
2175,3995,0
2175,3995,0
2177,3998,0
2177,3998,0
2176,4015,0
2169,4042,0
2161,4070,0
2157,4087,0
2156,4100,0
2157,4107,0
2158,4108,0
2164,4106,0
2174,4095,1
2227,3984,0
2225,3984,0
2225,3988,0
2224,3997,0
2216,4020,0
2207,4048,0
2201,4070,0
2197,4089,0
2194,4097,0
2198,4105,0
2202,4108,0
2208,4106,1
2332,4453,0
2331,4449,0
2330,4445,0
2330,4449,0
2329,4450,0
2328,4454,0
2323,4476,0
2315,4508,0
2310,4538,0
2308,4556,0
2312,4559,0
2323,4548,0
2342,4521,1
2448,4396,0
2448,4396,0
2458,4398,0
2468,4394,0
2473,4379,0
2479,4357,0
2483,4317,0
2493,4280,0
2498,4236,0
2502,4188,0
2504,4141,0
2507,4093,0
2510,4054,0
2513,4019,0
2515,4001,0
2515,3997,0
2516,4000,0
2522,4015,0
2525,4044,0
2531,4088,0
2529,4127,0
2535,4185,0
2536,4236,0
2533,4275,0
2531,4314,0
2532,4356,0
2530,4382,0
2531,4398,0
2533,4402,0
2533,4401,0
2535,4397,0
2543,4386,0
2554,4369,0
