rival, Oxford, has had
688
918,2363,0
909,2374,0
906,2393,0
904,2417,0
903,2441,0
904,2474,0
905,2506,0
905,2534,0
906,2566,0
904,2586,0
905,2615,0
904,2627,0
905,2630,0
906,2631,0
906,2627,0
904,2622,0
901,2602,0
898,2578,0
896,2546,0
895,2517,0
896,2485,0
895,2458,0
895,2433,0
895,2413,0
894,2393,0
896,2389,0
895,2381,0
895,2381,0
895,2381,0
904,2381,0
923,2379,0
953,2377,0
994,2379,0
1037,2376,0
1081,2373,0
1124,2368,0
1162,2359,0
1194,2354,0
1220,2357,0
1237,2359,0
1243,2355,0
1247,2358,0
1245,2358,0
1245,2363,0
1242,2359,0
1240,2367,0
1237,2379,0
1237,2399,0
1237,2427,0
1241,2467,0
1243,2499,0
1246,2523,0
1249,2539,0
1249,2538,0
1250,2543,0
1250,2543,0
1249,2543,1
1204,2157,0
1201,2145,0
1202,2141,0
1201,2141,0
1199,2137,0
1201,2141,0
1201,2141,0
1202,2141,0
1208,2145,1
1307,2357,0
1303,2354,0
1302,2350,0
1304,2353,0
1302,2350,0
1307,2365,0
1310,2381,0
1313,2400,0
1320,2427,0
1327,2456,0
1334,2482,0
1342,2510,0
1351,2533,0
1360,2552,0
1370,2572,0
1377,2586,0
1383,2598,0
1385,2598,0
1385,2598,0
1385,2598,0
1383,2593,0
1382,2590,0
1385,2573,0
1392,2552,0
1400,2519,0
1416,2488,0
1435,2449,0
1456,2409,0
1478,2373,0
1496,2345,0
1509,2330,0
1514,2321,0
1515,2321,0
1514,2321,0
1511,2318,0
1515,2329,0
1517,2337,1
1645,2357,0
1622,2367,0
1594,2377,0
1566,2396,0
1538,2415,0
1513,2439,0
1492,2463,0
1481,2494,0
1476,2515,0
1481,2543,0
1491,2562,0
1513,2582,0
1538,2590,0
1566,2589,0
1599,2586,0
1629,2575,0
1657,2560,0
1677,2538,0
1694,2517,0
1702,2487,0
1709,2460,0
1710,2434,0
1705,2407,0
1701,2388,0
1694,2369,0
1690,2357,0
1691,2357,0
1689,2353,0
1690,2357,0
1695,2372,0
1702,2395,0
1712,2426,0
1720,2453,0
1733,2487,0
1742,2513,0
1751,2531,0
1760,2549,0
1763,2557,0
1768,2564,0
1766,2560,0
1768,2563,0
1766,2560,0
1766,2560,0
1764,2556,0
1765,2552,1
1809,2147,0
1808,2147,0
1812,2159,0
1814,2174,0
1816,2199,0
1815,2229,0
1816,2268,0
1813,2306,0
1814,2357,0
1813,2404,0
1818,2457,0
1821,2502,0
1824,2534,0
1830,2558,0
1836,2573,0
1841,2580,0
1841,2579,0
1842,2579,0
1841,2575,0
1843,2574,0
1848,2569,1
1982,2526,0
1985,2528,0
1991,2536,0
1999,2549,0
2002,2565,0
2002,2586,0
2000,2613,0
1988,2639,0
1972,2662,0
1955,2680,0
1942,2694,0
1936,2700,0
1935,2700,1
2467,2094,0
2443,2081,0
2416,2075,0
2386,2077,0
2351,2087,0
2309,2099,0
2277,2124,0
2240,2151,0
2203,2181,0
2175,2219,0
2146,2256,0
2133,2304,0
2118,2342,0
2119,2385,0
2128,2426,0
2148,2465,0
2172,2493,0
2212,2522,0
2256,2537,0
2306,2547,0
2367,2551,0
2426,2542,0
2481,2523,0
2535,2501,0
2589,2475,0
2629,2439,0
2662,2402,0
2682,2358,0
2692,2316,0
2688,2273,0
2678,2235,0
2652,2194,0
2628,2163,0
2591,2131,0
2554,2108,0
2511,2091,0
2472,2080,0
2435,2072,0
2408,2067,0
2391,2063,0
2391,2064,1
2739,2345,0
2738,2345,0
2741,2348,0
2750,2357,0
2763,2371,0
2774,2383,0
2794,2403,0
2815,2427,0
2835,2452,0
2855,2478,0
2876,2502,0
2897,2526,0
2919,2549,0
2928,2557,0
2931,2560,0
2942,2567,0
2941,2562,1
2938,2338,0
2930,2340,0
2921,2348,0
2905,2361,0
2880,2376,0
2854,2402,0
2825,2429,0
2790,2456,0
2758,2485,0
2728,2511,0
2709,2534,0
2699,2546,0
