cloak operation, 1961 variety,
592
926,3433,1
895,3428,0
885,3435,0
875,3438,0
867,3446,0
859,3465,0
850,3493,0
844,3525,0
840,3556,0
839,3580,0
848,3601,0
859,3609,0
875,3611,0
893,3604,0
913,3588,0
926,3573,0
941,3554,1
991,3368,0
991,3363,0
991,3367,0
993,3375,0
996,3396,0
998,3428,0
998,3460,0
992,3499,0
993,3535,0
999,3560,0
1006,3563,0
1017,3572,0
1029,3568,1
1124,3440,0
1122,3440,0
1118,3440,0
1113,3440,0
1109,3448,0
1103,3460,0
1095,3484,0
1089,3513,0
1088,3544,0
1089,3565,0
1099,3576,0
1113,3580,0
1130,3580,0
1146,3572,0
1159,3556,0
1168,3539,0
1171,3515,0
1167,3491,0
1159,3472,0
1151,3460,0
1144,3456,1
1290,3438,0
1287,3438,0
1279,3434,0
1267,3435,0
1254,3444,0
1240,3461,0
1224,3485,0
1213,3518,0
1205,3542,0
1206,3562,0
1208,3570,0
1219,3578,0
1230,3573,0
1245,3568,0
1256,3552,0
1266,3532,0
1275,3510,0
1280,3487,0
1282,3467,0
1285,3458,0
1286,3458,0
1287,3462,0
1287,3466,0
1289,3478,0
1294,3501,0
1297,3521,0
1301,3545,0
1305,3557,0
1308,3565,1
1387,3342,0
1388,3345,0
1391,3362,0
1390,3390,0
1392,3430,0
1397,3469,0
1399,3497,0
1401,3521,0
1403,3537,0
1404,3545,0
1406,3549,0
1408,3549,0
1409,3540,0
1418,3536,0
1426,3515,0
1441,3497,0
1459,3479,0
1480,3468,0
1496,3458,0
1506,3457,0
1508,3457,1
1457,3491,0
1451,3500,0
1452,3516,0
1459,3531,0
1473,3546,0
1492,3563,0
1512,3577,0
1532,3579,1
1918,3521,1
1906,3434,0
1898,3424,0
1887,3417,0
1875,3416,0
1860,3416,0
1845,3424,0
1831,3439,0
1824,3465,0
1822,3499,0
1826,3527,0
1836,3545,0
1850,3550,0
1871,3549,0
1890,3540,0
1908,3527,0
1920,3508,0
1927,3491,0
1930,3473,0
1928,3452,0
1925,3437,0
1920,3422,1
1990,3452,0
1993,3477,0
1999,3512,0
2002,3549,0
2005,3581,0
2007,3610,0
2004,3631,0
2002,3653,0
1997,3654,0
2000,3657,0
1999,3649,0
1996,3629,0
1991,3597,0
1992,3564,0
1993,3527,0
1997,3496,0
2004,3466,0
2014,3446,0
2023,3431,0
2030,3424,0
2038,3426,0
2048,3436,0
2055,3455,0
2056,3476,0
2050,3493,0
2036,3510,0
2022,3527,0
2009,3535,0
1997,3534,1
2095,3472,0
2108,3472,0
2120,3465,0
2134,3460,0
2145,3452,0
2156,3440,0
2165,3429,0
2170,3414,0
2172,3401,0
2169,3390,0
2165,3387,0
2161,3388,0
2155,3394,0
2146,3402,0
2139,3424,0
2135,3455,0
2133,3489,0
2136,3509,0
2144,3520,0
2158,3528,0
2171,3520,1
2253,3445,0
2255,3457,0
2255,3469,0
2257,3486,0
2253,3491,0
2256,3499,0
2255,3495,0
2255,3495,0
2253,3487,0
