agreements for ,,facilities&quot; in
979
1066,2321,0
1065,2316,0
1065,2321,0
1065,2321,0
1063,2317,0
1061,2312,0
1059,2313,0
1056,2309,0
1050,2309,0
1040,2304,0
1028,2308,0
1011,2312,0
990,2311,0
970,2318,0
952,2329,0
934,2335,0
919,2347,0
907,2358,0
898,2366,0
895,2381,0
894,2393,0
897,2401,0
904,2417,0
915,2427,0
931,2432,0
948,2437,0
969,2442,0
989,2439,0
1011,2436,0
1028,2432,0
1040,2425,0
1048,2417,0
1054,2408,1
944,2309,0
945,2309,0
951,2309,0
958,2301,0
967,2298,0
979,2294,0
994,2291,0
1010,2288,0
1025,2284,0
1040,2285,0
1053,2285,0
1061,2285,0
1066,2289,0
1067,2293,0
1066,2301,0
1061,2309,0
1055,2321,0
1047,2333,0
1041,2340,0
1037,2357,0
1034,2364,0
1036,2381,0
1037,2388,0
1039,2392,0
1044,2405,0
1051,2412,0
1056,2412,0
1066,2421,0
1076,2421,0
1090,2421,0
1105,2416,0
1122,2412,0
1138,2408,1
1277,2288,0
1277,2284,0
1276,2275,0
1274,2272,0
1266,2265,0
1257,2261,0
1247,2262,0
1234,2263,0
1222,2268,0
1205,2270,0
1189,2278,0
1172,2287,0
1155,2299,0
1145,2320,0
1136,2328,0
1136,2345,0
1140,2356,0
1149,2364,0
1163,2371,0
1182,2374,0
1198,2366,0
1216,2364,0
1233,2359,0
1245,2355,0
1252,2350,0
1257,2350,0
1254,2342,0
1253,2342,0
1254,2345,0
1252,2345,0
1252,2350,0
1250,2350,0
1252,2362,0
1254,2374,0
1254,2386,0
1258,2406,0
1261,2425,0
1267,2449,0
1274,2473,0
1278,2496,0
1283,2520,0
1288,2548,0
1289,2572,0
1290,2592,0
1288,2612,0
1281,2625,0
1276,2637,0
1264,2637,0
1253,2643,0
1238,2644,0
1223,2641,0
1211,2637,0
1199,2625,0
1190,2610,0
1185,2591,0
1186,2566,0
1192,2542,1
1314,2292,0
1314,2288,0
1315,2283,0
1314,2280,0
1315,2284,0
1314,2284,0
1314,2284,0
1312,2285,0
1312,2292,0
1313,2300,0
1317,2312,0
1322,2327,0
1327,2339,0
1331,2350,0
1336,2362,0
1340,2369,0
1341,2373,0
1341,2377,0
1341,2381,0
1341,2381,0
1341,2377,1
1311,2273,0
1308,2273,0
1307,2268,0
1308,2268,0
1314,2264,0
1324,2259,0
1341,2256,0
1359,2250,0
1379,2247,1
1515,2293,0
1518,2296,0
1516,2292,0
1518,2292,0
1517,2285,0
1520,2283,0
1521,2279,0
1522,2271,0
1523,2267,0
1522,2258,0
1518,2251,0
1515,2248,0
1508,2241,0
1499,2239,0
1488,2236,0
1476,2235,0
1465,2241,0
1453,2248,0
1440,2250,0
1432,2259,0
1423,2265,0
1421,2277,0
1418,2290,0
1415,2299,0
1414,2311,0
1415,2323,0
1418,2335,0
1425,2345,0
1433,2352,0
1447,2362,0
1462,2367,0
1479,2369,0
1500,2369,0
1520,2365,0
1539,2357,0
1561,2352,0
1576,2341,1
1666,2277,0
1667,2276,0
1671,2276,0
1677,2274,0
1679,2269,0
1681,2264,0
1683,2260,0
