Uphill, against current thinking in the party,
937
915,2479,0
914,2487,0
914,2491,0
912,2499,0
911,2514,0
909,2526,0
911,2547,0
914,2567,0
919,2587,0
924,2600,0
931,2612,0
938,2620,0
946,2618,0
957,2614,0
966,2598,0
977,2582,0
988,2559,0
998,2536,0
1006,2511,0
1012,2488,0
1016,2468,0
1020,2456,0
1020,2444,0
1020,2440,0
1020,2440,0
1020,2444,0
1023,2456,0
1027,2476,0
1032,2500,0
1038,2524,0
1044,2548,0
1051,2572,0
1056,2592,1
1103,2533,0
1105,2536,0
1110,2548,0
1113,2557,0
1117,2568,0
1122,2584,0
1128,2604,0
1131,2620,0
1134,2636,0
1134,2644,0
1136,2652,0
1137,2656,0
1138,2656,0
1136,2648,0
1136,2632,0
1136,2612,0
1136,2589,0
1140,2564,0
1146,2544,0
1155,2531,0
1163,2515,0
1173,2507,0
1181,2499,0
1191,2506,0
1199,2514,0
1205,2526,0
1206,2537,0
1204,2550,0
1197,2562,0
1187,2574,0
1174,2582,0
1158,2591,0
1141,2592,1
1243,2435,0
1245,2443,0
1248,2458,0
1249,2474,0
1250,2495,0
1253,2519,0
1256,2538,0
1259,2562,0
1258,2570,0
1261,2574,0
1261,2578,0
1262,2570,0
1268,2562,0
1278,2552,0
1287,2536,0
1298,2519,0
1309,2514,0
1316,2505,0
1321,2500,0
1327,2504,0
1331,2507,0
1336,2514,0
1343,2526,0
1347,2538,0
1351,2549,1
1409,2469,0
1409,2473,0
1411,2485,0
1411,2497,0
1412,2514,0
1414,2529,0
1418,2549,0
1420,2561,0
1422,2569,1
1395,2410,0
1395,2410,0
1395,2406,0
1396,2407,0
1401,2414,1
1476,2410,0
1476,2410,0
1477,2417,0
1477,2426,0
1479,2438,0
1481,2449,0
1485,2469,0
1486,2482,0
1491,2501,0
1495,2520,0
1498,2540,0
1499,2552,0
1504,2567,1
1547,2376,0
1548,2384,0
1549,2396,0
1553,2419,0
1556,2439,0
1561,2467,0
1566,2494,0
1571,2521,0
1576,2553,1
1712,2521,0
1713,2526,0
1713,2533,0
1712,2542,0
1710,2555,1
1838,2484,0
1833,2481,0
1829,2482,0
1821,2490,0
1809,2497,0
1800,2512,0
1795,2531,0
1791,2540,0
1793,2552,0
1800,2563,0
1802,2562,0
1811,2563,0
1818,2557,0
1825,2546,0
1828,2525,0
1838,2514,0
1843,2499,0
1843,2487,0
1844,2482,0
1845,2481,0
1843,2482,0
1841,2482,0
1840,2492,0
1843,2507,0
1847,2523,0
1853,2538,0
1857,2545,0
1862,2551,0
1872,2557,1
1955,2477,0
1952,2473,0
1951,2474,0
1942,2468,0
1930,2465,0
1925,2475,0
1913,2479,0
1904,2487,0
1901,2500,0
1898,2510,0
1901,2521,0
1906,2528,0
1915,2534,0
1922,2531,0
1928,2525,0
1937,2518,0
1944,2502,0
1953,2490,0
1956,2476,0
1963,2473,0
1964,2468,0
1966,2468,0
1971,2475,0
1978,2485,0
1988,2502,0
1997,2520,0
2005,2543,0
2012,2565,0
2016,2590,0
2013,2608,0
2006,2624,0
1997,2636,0
1983,2645,0
1966,2647,0
1946,2642,0
1927,2631,0
1913,2619,1
2085,2436,0
2084,2432,0
2087,2435,0
2083,2432,0
2076,2431,0
2070,2438,0
2062,2446,0
2051,2455,0
2044,2471,0
2035,2483,0
2034,2497,0
2041,2511,0
2048,2516,0
2058,2517,0
2064,2511,0
2072,2502,0
2082,2494,0
2090,2482,0
2094,2466,0
2095,2453,0
2098,2447,0
2097,2444,0
2094,2441,0
2095,2444,0
2093,2445,0
2101,2464,0
2105,2480,0
2110,2495,0
2116,2510,1
2169,2433,0
2169,2437,0
2171,2445,0
2173,2457,0
2180,2475,0
2181,2488,0
2186,2504,0
2189,2516,0
2189,2520,1
2132,2375,0
2132,2375,0
2130,2371,0
2133,2374,0
2137,2377,1
2233,2432,0
2230,2434,0
2231,2446,0
2235,2463,0
2235,2475,0
2236,2489,0
2240,2504,0
2239,2514,0
2244,2521,0
2244,2521,0
2242,2516,0
2247,2514,0
2251,2499,0
2258,2482,0
2268,2468,0
2278,2453,0
2286,2440,0
2297,2435,0
2303,2432,0
2306,2429,0
2312,2435,0
2316,2443,0
2324,2461,0
2326,2474,0
2333,2492,1
2416,2460,0
2408,2465,0
2405,2475,0
2407,2487,0
2409,2497,0
2417,2506,0
2431,2516,0
2444,2517,0
2458,2518,0
2473,2514,0
2488,2509,0
2496,2500,0
2502,2492,0
2497,2476,0
2490,2463,0
2479,2451,0
2461,2437,0
2441,2426,0
2422,2415,0
2412,2411,0
2403,2402,0
2403,2398,0
2409,2395,0
2422,2391,0
2441,2389,1
2555,2326,0
2550,2323,0
2553,2331,0
2559,2347,0
2562,2364,0
2565,2386,0
2575,2412,0
2579,2434,0
2584,2455,0
2592,2478,0
2598,2493,0
2599,2502,0
2607,2511,1
2546,2441,0
2548,2439,0
2555,2436,0
2567,2432,0
2587,2429,0
2608,2425,0
2637,2425,0
2660,2422,0
2680,2423,1
2914,2441,0
2911,2439,0
2914,2441,0
2910,2439,0
2908,2441,0
2902,2446,0
2890,2450,0
2878,2460,0
2865,2470,0
2854,2483,0
2852,2501,0
2853,2515,0
2859,2525,0
2869,2533,0
2883,2538,0
2903,2541,0
2924,2540,1
2984,2425,0
2984,2431,0
2987,2443,0
2994,2459,0
2997,2471,0
3006,2485,0
3016,2498,0
3028,2508,0
3036,2511,0
3040,2509,0
3047,2507,0
3056,2500,0
3064,2488,0
3073,2476,0
3075,2463,0
3079,2454,0
3081,2447,0
3079,2443,0
3078,2444,0
3081,2447,0
3080,2453,0
3087,2469,0
3093,2485,0
3100,2500,0
3107,2514,1
3138,2445,0
3140,2449,0
3148,2458,0
3152,2469,0
3160,2484,0
3165,2496,0
3170,2508,0
3175,2519,0
3178,2526,0
3180,2531,0
3182,2534,0
3179,2531,0
3177,2528,0
3170,2518,0
3164,2507,0
3159,2496,0
3155,2483,0
3153,2473,0
3151,2461,0
3162,2455,0
3168,2445,1
3228,2432,0
3227,2434,0
3234,2444,0
3235,2453,0
3246,2470,0
3250,2482,0
3260,2501,0
3264,2514,0
3265,2523,0
3269,2531,0
3271,2534,0
3271,2534,0
3269,2530,0
3265,2519,0
3262,2505,0
3255,2489,0
3254,2473,0
3253,2458,0
3255,2445,0
3261,2434,0
3274,2427,1
3345,2485,0
3346,2485,0
3350,2482,0
3363,2480,0
3370,2473,0
3380,2463,0
3386,2451,0
3390,2441,0
3390,2431,0
3386,2423,0
3380,2418,0
3370,2416,0
3358,2417,0
3349,2421,0
3337,2427,0
3325,2439,0
3317,2452,0
3315,2465,0
3317,2479,0
3327,2492,0
3344,2504,0
3363,2513,0
3383,2516,0
3404,2518,0
3417,2511,1
3426,2416,0
3425,2417,0
3432,2427,0
3438,2438,0
3442,2451,0
3449,2466,0
3454,2478,0
3460,2490,0
3464,2497,0
3464,2497,0
3465,2496,0
3468,2492,0
3472,2482,0
3477,2466,0
3487,2451,0
3494,2437,0
3503,2427,0
3510,2419,0
3516,2413,0
3522,2413,0
3532,2420,0
3537,2427,0
3542,2439,0
3548,2455,0
3559,2473,1
3604,2338,0
3607,2340,0
3609,2344,0
3617,2355,0
3622,2367,0
3629,2383,0
3636,2405,0
3642,2429,0
3640,2449,0
3643,2470,0
3648,2488,0
3657,2503,0
3662,2509,1
3602,2443,0
3607,2444,0
3612,2444,0
3624,2442,0
3646,2443,0
3672,2443,0
3699,2443,0
3721,2441,0
3744,2439,1
3908,2299,0
3907,2299,0
3906,2301,0
3912,2313,0
3920,2330,0
3921,2348,0
3925,2369,0
3932,2392,0
3940,2415,0
3945,2434,0
3951,2452,0
3959,2468,0
3962,2478,1
3864,2408,0
3861,2405,0
3865,2406,0
3879,2408,0
3892,2405,0
3916,2407,0
3941,2407,0
3959,2403,0
3977,2399,1
3988,2312,0
3986,2316,0
3990,2330,0
3992,2347,0
3996,2369,0
4005,2395,0
4014,2417,0
4020,2436,0
4027,2452,0
4029,2463,0
4034,2469,0
4039,2470,0
4044,2469,0
4051,2461,0
4059,2444,0
4068,2426,0
4078,2412,0
4090,2403,0
4093,2392,0
4105,2390,0
4110,2389,0
4117,2393,0
4124,2403,0
4137,2420,0
4141,2434,0
4150,2450,0
4158,2466,0
4165,2475,0
4172,2480,1
