10, Belgrave Square, S.W.1.
925
742,1249,0
738,1249,0
740,1249,0
742,1249,0
748,1247,0
757,1237,0
769,1225,0
782,1208,0
798,1187,0
811,1158,0
826,1124,0
846,1092,0
868,1060,0
890,1028,0
909,995,0
936,972,0
953,948,0
970,930,0
986,924,0
991,920,0
995,928,0
998,950,0
1001,982,0
1000,1021,0
994,1068,0
983,1124,0
974,1184,0
966,1239,0
955,1286,0
950,1330,0
946,1366,0
941,1381,0
947,1398,1
1124,1380,0
1112,1372,0
1098,1361,0
1087,1348,0
1076,1333,0
1066,1313,0
1053,1281,0
1052,1252,0
1050,1217,0
1055,1177,0
1066,1133,0
1082,1093,0
1102,1058,0
1127,1028,0
1151,1003,0
1179,987,0
1207,979,0
1229,980,0
1257,999,0
1273,1024,0
1288,1061,0
1296,1105,0
1303,1153,0
1303,1201,0
1318,1239,0
1310,1286,0
1297,1317,0
1262,1347,0
1245,1362,0
1225,1368,0
1205,1370,0
1191,1372,0
1177,1365,1
1384,1351,0
1382,1356,0
1385,1371,0
1380,1380,0
1379,1393,0
1372,1406,0
1362,1421,0
1352,1444,0
1340,1467,1
1862,1025,0
1865,1025,0
1861,1023,0
1865,1025,0
1867,1028,0
1870,1035,0
1870,1047,0
1874,1064,0
1879,1086,0
1882,1110,0
1882,1136,0
1882,1167,0
1879,1199,0
1872,1231,0
1861,1263,0
1848,1292,0
1830,1318,0
1808,1341,0
1787,1364,0
1759,1380,0
1734,1394,0
1707,1399,0
1689,1403,0
1673,1401,0
1660,1394,1
1791,1150,0
1792,1150,0
1791,1146,0
1796,1137,0
1802,1123,0
1809,1107,0
1821,1088,0
1833,1067,0
1855,1048,0
1872,1029,0
1891,1015,0
1908,1005,0
1928,1002,0
1942,1000,0
1958,1005,0
1974,1017,0
1980,1034,0
1984,1059,0
1980,1086,0
1964,1112,0
1952,1140,0
1932,1162,0
1915,1177,0
1900,1183,0
1889,1187,0
1886,1190,0
1885,1191,0
1882,1187,0
1892,1189,0
1897,1186,0
1910,1186,0
1922,1187,0
1932,1187,0
1944,1194,0
1952,1203,0
1955,1216,0
1954,1232,0
1949,1252,0
1944,1276,0
1932,1300,0
1915,1323,0
1903,1346,0
1884,1364,0
1870,1383,0
1850,1395,0
1831,1403,0
1814,1409,0
1805,1414,0
1801,1416,0
1800,1416,0
1800,1416,0
1807,1417,0
1816,1416,0
1831,1417,0
1845,1414,0
1865,1410,0
1885,1401,0
1911,1394,0
1937,1381,0
1968,1368,0
2000,1354,0
2026,1334,0
2046,1311,0
2065,1290,0
2079,1272,0
2094,1259,0
2094,1248,0
2095,1241,0
2089,1235,0
2080,1233,0
2067,1235,0
2056,1245,0
2041,1259,0
2025,1277,0
2007,1298,0
1995,1322,0
1983,1347,0
1978,1370,0
1978,1390,0
1984,1406,0
1995,1418,0
2011,1426,0
2029,1427,0
2055,1423,0
2082,1412,0
2117,1399,0
2145,1375,0
2174,1348,0
2205,1319,0
2230,1283,0
2258,1247,0
2280,1210,0
2303,1176,0
2320,1143,0
2330,1111,0
2337,1087,0
2346,1068,0
2342,1052,0
2340,1043,0
2330,1036,0
2326,1034,0
2316,1035,0
2305,1042,0
2289,1056,0
2279,1078,0
2259,1104,0
2244,1134,0
2224,1164,0
2212,1196,0
2202,1225,0
2192,1253,0
2185,1277,0
2187,1303,0
2187,1324,0
2194,1346,0
2199,1363,0
2210,1380,0
2220,1393,0
2238,1404,0
2251,1407,0
2268,1407,0
2291,1403,0
2313,1392,0
2336,1379,0
2359,1362,0
2380,1345,0
2400,1327,0
2415,1310,0
2431,1298,0
2443,1290,0
2444,1282,0
2446,1280,0
2443,1276,0
2437,1273,0
2431,1273,0
2420,1274,0
2410,1279,0
2396,1289,0
2379,1304,0
2366,1324,0
2352,1344,0
2338,1365,0
2332,1390,0
2328,1411,0
2329,1427,0
2336,1437,0
2345,1440,0
2358,1438,0
2376,1430,0
2393,1418,0
2410,1400,0
2428,1380,0
2439,1356,0
2452,1335,0
2459,1314,0
2462,1298,0
2463,1285,0
2466,1280,0
2467,1279,0
2467,1279,0
2462,1278,0
2464,1283,0
2462,1286,0
2461,1294,0
2466,1312,0
2467,1330,0
2469,1352,0
2470,1375,0
2469,1400,0
2473,1433,0
2470,1465,0
2463,1500,0
2456,1538,0
2440,1569,0
2425,1596,0
2408,1616,0
2394,1629,0
2376,1629,0
2366,1622,0
2358,1607,0
2361,1589,0
2369,1565,0
2380,1539,0
2397,1512,0
2417,1481,0
2436,1449,0
2458,1420,0
2476,1393,0
2496,1370,0
2508,1348,0
2522,1331,0
2536,1322,0
2540,1316,0
2545,1315,0
2548,1319,0
2550,1329,0
2550,1348,0
2544,1375,0
2540,1404,0
2531,1427,0
2526,1445,0
2524,1452,0
2524,1452,0
2526,1451,0
2529,1436,0
2537,1409,0
2549,1375,0
2572,1347,0
2594,1324,0
2616,1308,0
2644,1298,0
2668,1291,0
2690,1288,0
2710,1288,0
2727,1290,0
2740,1293,0
2755,1299,0
2760,1300,0
2763,1301,0
2767,1303,0
