Falinge, Bent Meadows, Rochdale.
802
682,5946,0
680,5950,0
680,5955,0
678,5962,0
678,5979,0
680,6007,0
687,6039,0
691,6080,0
694,6128,0
694,6176,0
691,6215,0
689,6247,0
686,6271,0
684,6292,0
682,6299,0
682,6303,0
685,6295,1
630,5971,0
637,5963,0
649,5956,0
663,5950,0
682,5943,0
714,5933,0
754,5919,0
796,5905,0
842,5891,0
882,5885,0
912,5874,0
921,5865,0
918,5870,1
684,6135,0
677,6146,0
680,6151,0
686,6147,0
702,6136,0
727,6121,0
760,6099,0
796,6081,0
831,6067,0
859,6056,0
876,6049,0
884,6041,0
883,6041,1
936,6150,0
939,6147,0
941,6143,0
940,6135,0
938,6126,0
938,6114,0
934,6098,0
926,6090,0
913,6090,0
897,6105,0
885,6125,0
874,6144,0
868,6169,0
866,6184,0
871,6193,0
878,6197,0
892,6189,0
910,6177,0
934,6159,0
958,6131,0
976,6116,0
982,6112,0
985,6124,0
986,6148,0
986,6172,0
989,6191,0
991,6212,0
991,6219,0
993,6227,0
994,6227,0
1001,6224,0
1006,6212,0
1013,6180,1
1069,5849,0
1066,5856,0
1065,5868,0
1062,5892,0
1063,5920,0
1064,5955,0
1070,6001,0
1075,6044,0
1080,6088,0
1085,6128,0
1091,6160,0
1099,6192,0
1102,6204,0
1106,6212,0
1109,6216,0
1113,6216,0
1116,6208,1
1240,6109,0
1241,6114,0
1251,6122,0
1255,6138,0
1259,6149,0
1262,6177,0
1268,6206,0
1268,6230,0
1267,6257,0
1264,6281,0
1264,6289,0
1264,6290,0
1261,6269,1
1221,5890,0
1218,5886,0
1220,5882,0
1221,5886,0
1221,5886,0
1221,5890,0
1223,5899,0
1223,5910,0
1229,5918,1
1329,6099,0
1329,6099,0
1328,6099,0
1330,6102,0
1331,6119,0
1333,6126,0
1336,6143,0
1339,6159,0
1339,6171,0
1340,6170,0
1340,6174,0
1341,6179,0
1340,6179,0
1339,6171,0
1339,6158,0
1345,6134,0
1356,6118,0
1370,6093,0
1390,6080,0
1411,6058,0
1433,6054,0
1454,6061,0
1473,6080,0
1486,6107,0
1494,6142,0
1500,6177,0
1505,6209,0
1508,6225,0
1512,6237,0
1512,6241,0
1514,6241,0
1519,6240,0
1530,6227,1
1660,6092,0
1663,6092,0
1663,6092,0
1657,6088,0
1645,6081,0
1630,6083,0
1619,6084,0
1609,6085,0
1604,6085,0
1604,6089,0
1604,6089,0
1607,6097,0
1614,6100,0
1622,6107,0
1633,6111,0
1643,6114,0
1650,6116,0
1653,6120,0
1656,6124,0
1662,6128,0
1670,6131,0
1681,6138,0
1692,6149,0
1703,6172,0
1706,6191,0
1710,6227,0
1712,6264,0
1708,6296,0
1696,6333,0
1676,6372,0
1650,6411,0
1616,6445,0
1578,6476,0
1545,6495,0
1521,6488,0
1504,6478,0
1498,6458,1
1747,6111,0
1756,6109,0
1765,6100,0
1772,6096,0
1773,6087,0
1775,6080,0
1779,6071,0
1783,6063,0
1781,6054,0
1775,6047,0
1768,6048,0
1759,6045,0
1749,6054,0
1742,6071,0
1742,6087,0
1752,6106,0
1766,6121,0
1788,6134,0
1815,6139,0
1849,6139,0
1884,6130,1
1996,6090,0
1992,6098,0
1991,6119,0
1988,6139,0
1986,6165,0
1986,6180,0
1986,6189,0
1987,6201,0
1988,6204,1
2229,5927,0
2230,5931,0
2232,5938,0
2233,5959,0
2234,5991,0
2237,6022,0
2238,6051,0
2241,6079,0
2242,6099,0
2243,6116,0
2241,6120,0
2234,6113,0
2222,6095,0
2203,6062,0
2188,6025,0
2175,5986,0
2165,5947,0
2162,5911,0
2167,5882,0
2180,5851,0
2199,5830,0
2222,5822,0
2246,5817,0
2270,5828,0
2289,5841,0
2296,5859,0
2293,5885,0
2283,5911,0
2267,5943,0
2244,5964,0
2231,5979,0
2227,5980,0
2229,5979,0
2252,5975,0
2284,5969,0
2324,5968,0
2366,5976,0
2402,5988,0
2429,6006,0
2449,6034,0
2453,6058,0
2446,6080,0
2429,6104,0
2400,6128,0
2364,6139,0
2327,6148,0
2289,6147,0
2259,6149,0
2233,6145,0
2215,6145,0
2207,6138,0
2210,6130,0
2226,6114,1
2504,6083,0
2508,6083,0
2511,6081,0
2512,6077,0
2516,6084,0
2521,6075,0
2526,6058,0
2532,6043,0
2533,6026,0
2532,6015,0
2525,6008,0
2516,5998,0
2507,5996,0
2496,6003,0
2485,6022,0
2482,6047,0
2489,6071,0
2506,6090,0
2526,6111,0
2550,6121,0
2575,6131,0
2601,6129,0
2624,6119,0
2641,6098,0
2654,6078,0
2658,6060,0
2659,6051,0
2662,6051,0
2661,6047,0
2665,6058,0
2666,6075,0
2668,6099,0
2676,6114,0
2687,6131,0
2691,6134,0
2693,6133,0
2695,6133,0
2696,6121,0
2697,6095,0
2704,6077,0
2716,6061,0
2731,6049,0
2749,6039,0
2769,6038,0
2830,6182,0
2835,6186,0
2837,6181,1
2873,5877,0
2871,5873,0
2871,5873,0
2871,5877,0
2875,5894,0
2881,5921,0
2888,5952,0
2896,5983,0
2909,6021,0
