J E Piccaver, Chairman, Basic
618
1042,2040,0
1037,2041,0
1037,2044,0
1037,2044,0
1038,2045,0
1042,2041,0
1054,2036,0
1066,2033,0
1080,2029,0
1091,2029,0
1100,2032,0
1104,2033,0
1107,2036,0
1109,2044,0
1109,2057,0
1109,2077,0
1109,2104,0
1106,2137,0
1104,2173,0
1097,2200,0
1090,2229,0
1078,2244,0
1063,2265,0
1044,2276,0
1030,2292,0
1018,2296,0
1003,2292,0
989,2279,0
979,2258,1
1483,2034,0
1484,2033,0
1481,2030,0
1482,2034,0
1480,2034,0
1478,2043,0
1474,2065,0
1464,2091,0
1455,2129,0
1442,2169,0
1434,2206,0
1421,2224,0
1414,2241,0
1410,2263,0
1406,2275,0
1406,2280,0
1407,2280,0
1414,2282,0
1425,2280,0
1440,2274,0
1463,2266,0
1493,2256,0
1527,2249,0
1559,2242,0
1591,2239,1
1483,2041,0
1487,2041,0
1500,2038,0
1517,2034,0
1541,2037,0
1561,2036,0
1579,2036,0
1593,2036,0
1603,2037,0
1611,2043,0
1606,2044,0
1594,2052,0
1573,2062,1
1440,2132,0
1435,2129,0
1433,2129,0
1437,2133,0
1444,2131,0
1462,2132,0
1486,2128,0
1515,2125,0
1543,2123,0
1569,2125,0
1588,2124,0
1609,2126,1
2188,2000,1
2182,1990,0
2181,1991,0
2176,1993,0
2171,2011,0
2158,2036,0
2143,2072,0
2130,2121,0
2112,2166,0
2101,2207,0
2099,2231,0
2096,2232,0
2103,2233,1
2139,2029,0
2144,2017,0
2156,2000,0
2179,1991,0
2202,1987,0
2225,1992,0
2245,2002,0
2256,2014,0
2260,2026,0
2254,2039,0
2239,2053,0
2216,2067,0
2193,2080,0
2174,2087,0
2165,2092,0
2163,2094,0
2169,2095,1
2330,2062,0
2330,2061,0
2328,2063,0
2328,2067,0
2324,2085,0
2317,2113,0
2299,2142,0
2288,2182,0
2276,2212,0
2277,2231,0
2277,2231,0
2285,2227,0
2291,2213,1
2372,2019,1
2479,2094,0
2477,2091,0
2473,2084,0
2468,2079,0
2459,2075,0
2444,2076,0
2423,2085,0
2404,2103,0
2383,2123,0
2369,2147,0
2356,2164,0
2357,2183,0
2364,2197,0
2374,2205,0
2394,2206,0
2425,2205,0
2457,2193,1
2622,2092,0
2621,2092,0
2613,2088,0
2606,2089,0
2593,2089,0
2584,2095,0
2567,2104,0
2552,2121,0
2539,2140,0
2524,2155,0
2516,2171,0
2509,2181,0
2510,2190,0
2515,2197,0
2531,2205,0
2550,2205,0
2579,2205,1
2697,2102,0
2702,2093,0
2716,2087,0
2733,2082,0
2748,2080,0
2760,2084,0
2766,2090,0
2773,2106,0
2771,2123,0
2770,2145,0
2768,2163,0
2768,2178,0
2768,2188,0
2767,2190,0
2767,2189,0
2767,2189,0
2762,2183,0
2754,2174,0
2743,2162,0
2733,2155,0
2715,2149,0
2698,2152,0
2679,2163,0
2660,2174,0
2651,2185,0
2651,2195,0
2658,2205,0
2669,2212,0
2687,2213,1
2872,2075,0
2872,2070,0
2869,2067,0
2868,2067,0
2868,2073,0
2864,2089,0
2858,2116,0
2850,2145,0
2847,2178,0
2844,2203,0
2844,2218,0
2850,2224,0
2850,2224,0
2849,2219,0
2860,2210,0
2873,2183,0
2896,2151,0
2919,2123,0
2941,2108,0
2946,2099,0
2948,2096,0
2958,2097,0
2963,2099,0
2967,2106,0
2960,2118,1
2960,2178,0
2970,2174,0
2990,2167,0
3011,2157,0
3030,2145,0
3054,2139,0
3060,2127,0
3070,2123,0
3073,2120,0
3068,2113,0
3062,2108,0
3054,2111,0
3033,2115,0
3008,2128,0
2984,2145,0
2974,2166,0
2967,2183,0
2972,2201,0
2982,2219,0
2998,2231,0
3025,2239,0
3056,2237,0
3088,2228,0
3115,2213,1
3148,2145,0
3149,2144,0
3145,2142,0
3143,2150,0
3130,2163,0
3123,2188,0
3112,2205,0
3108,2220,0
3112,2234,0
3112,2239,0
3110,2236,0
3111,2234,0
3110,2224,0
3118,2205,0
3127,2173,0
3139,2142,0
3149,2114,0
3162,2101,0
3165,2098,0
3175,2099,0
3190,2106,0
3209,2116,0
3221,2125,0
3233,2137,1
3281,2261,0
3281,2260,0
3281,2261,0
3280,2262,0
3276,2266,0
3276,2283,0
3271,2305,0
3262,2327,0
3259,2352,1
3760,2012,0
3756,2011,0
3747,2010,0
3732,2016,0
3710,2029,0
3686,2054,0
3661,2089,0
3641,2129,0
3619,2169,0
3609,2207,0
3608,2234,0
3609,2245,0
3627,2256,0
3643,2253,0
3676,2246,0
3703,2225,0
3737,2201,1
3849,2017,0
3841,2036,0
3831,2070,0
3819,2109,0
3802,2153,0
3793,2193,0
3785,2209,0
3782,2214,0
3781,2215,0
3781,2215,0
3784,2210,0
3788,2193,0
3807,2168,0
3829,2135,0
3856,2106,0
3882,2089,0
3893,2086,0
3904,2092,0
3911,2104,0
3912,2123,0
3904,2149,0
3899,2183,0
3887,2213,0
3884,2238,0
3889,2251,1
4015,2105,0
4015,2099,0
4019,2093,0
4028,2087,0
4037,2079,0
4048,2078,0
4053,2084,0
4059,2105,0
4053,2128,0
4050,2155,0
4047,2172,0
4047,2181,0
4042,2180,0
4043,2179,0
4043,2179,0
4041,2176,0
4033,2165,0
4026,2155,0
4016,2148,0
3999,2144,0
3983,2147,0
3975,2158,0
3963,2169,0
3959,2181,0
3953,2190,0
3957,2197,0
3964,2202,0
3977,2204,0
4000,2200,1
4161,2085,0
4158,2089,0
4152,2099,0
4142,2116,0
4132,2140,0
4121,2163,0
4118,2189,0
4112,2212,0
4107,2227,0
4107,2234,0
4107,2234,0
4107,2227,1
4174,2065,0
4168,2058,0
4169,2057,0
4165,2055,0
4168,2058,1
4208,2094,0
4202,2104,0
4195,2122,0
4182,2143,0
4174,2170,0
4164,2193,0
4156,2205,0
4158,2208,0
4154,2207,0
4155,2206,0
4156,2205,0
4162,2196,0
4169,2177,0
4186,2157,0
4205,2136,0
4216,2118,0
4229,2112,0
4236,2109,0
4246,2108,0
4263,2110,0
4276,2113,1
4353,2084,0
4352,2086,0
4348,2093,0
4342,2112,0
