R. G Worcester. 66, Sloane Street,
707
482,6034,0
480,6034,0
480,6034,0
479,6042,0
480,6058,0
480,6090,0
479,6122,0
480,6162,0
480,6206,0
478,6259,0
473,6314,0
467,6362,0
460,6406,0
455,6433,0
453,6441,0
451,6437,0
444,6416,0
437,6383,0
427,6341,0
415,6300,0
407,6251,0
402,6210,0
401,6162,0
405,6122,0
416,6079,0
434,6045,0
459,6016,0
489,5994,0
518,5985,0
546,5984,0
567,5993,0
586,6011,0
596,6040,0
599,6068,0
587,6100,0
569,6134,0
542,6160,0
514,6186,0
489,6195,0
469,6206,0
459,6208,0
460,6205,0
465,6205,0
482,6210,0
498,6220,0
518,6246,0
538,6276,0
558,6310,0
576,6343,0
593,6381,0
605,6410,0
617,6431,0
624,6444,0
630,6452,0
636,6453,0
643,6449,0
649,6429,1
737,6331,0
737,6335,0
738,6343,0
737,6346,0
735,6355,0
738,6359,0
744,6359,0
757,6348,1
1304,6120,0
1300,6112,0
1295,6100,0
1285,6092,0
1273,6085,0
1254,6078,0
1230,6071,0
1204,6071,0
1176,6075,0
1146,6083,0
1117,6100,0
1088,6120,0
1061,6153,0
1035,6188,0
1018,6236,0
1007,6280,0
1003,6331,0
1008,6376,0
1022,6412,0
1042,6448,0
1069,6476,0
1097,6492,0
1134,6504,0
1166,6504,0
1198,6499,0
1225,6490,0
1251,6474,0
1270,6454,0
1286,6428,0
1297,6408,0
1302,6384,0
1301,6360,0
1297,6341,0
1288,6324,0
1273,6309,0
1255,6306,0
1232,6302,0
1209,6307,0
1192,6312,0
1179,6315,0
1179,6319,1
1766,6068,0
1759,6061,0
1754,6061,0
1746,6063,0
1737,6076,0
1725,6093,0
1713,6127,0
1703,6164,0
1691,6213,0
1686,6266,0
1681,6319,0
1681,6363,0
1686,6403,0
1698,6418,0
1713,6428,0
1728,6418,0
1747,6401,0
1764,6371,0
1778,6341,0
1782,6312,0
1783,6296,0
1778,6284,0
1774,6289,0
1768,6293,0
1765,6318,0
