island, prays, and in a second miracle
474
878,2962,0
878,2958,0
878,2953,0
878,2953,0
878,2953,0
878,2958,0
878,2961,0
880,2974,0
883,2989,0
886,3010,0
887,3018,0
891,3030,0
891,3035,0
890,3034,0
887,3018,0
879,2993,0
866,2964,0
860,2892,0
868,2893,0
881,2897,0
898,2910,1
1001,2955,0
1005,2952,0
1004,2951,0
999,2952,0
988,2948,0
977,2947,0
967,2950,0
960,2954,0
956,2958,0
955,2966,0
958,2975,0
959,3050,0
945,3049,0
932,3040,1
1018,2880,0
1025,2888,0
1030,2896,0
1037,2912,0
1044,2929,0
1052,2945,0
1061,2965,0
1072,2981,0
1085,2993,0
1101,3000,0
1118,3008,0
1131,3008,0
1143,3004,1
1196,2950,0
1194,2946,0
1189,2946,0
1175,2943,0
1155,2944,0
1137,2948,0
1125,2956,0
1119,2968,0
1119,2980,0
1124,2989,0
1133,2996,0
1146,3000,0
1163,2999,0
1201,2966,0
1205,2974,0
1211,2986,0
1220,3001,0
1230,3013,0
1239,3021,1
1260,2967,0
1264,2959,0
1269,2954,0
1276,2958,0
1283,2957,0
1292,2965,0
1300,2972,0
1329,2977,0
1337,2973,0
1348,2968,0
1360,2971,0
1374,2982,0
1382,2989,0
1388,2992,0
1397,2999,0
1483,2960,0
1481,2960,0
1471,2953,0
1459,2955,0
1445,2957,0
1439,2966,0
1436,2975,0
1505,2953,0
1505,2932,0
1502,2909,0
1494,2885,0
1484,2867,0
1473,2852,0
1467,2849,0
1467,2852,0
1545,3040,1
1638,3043,0
1640,3047,0
1636,3047,0
1633,3060,0
1621,3071,0
1606,3082,0
1590,3093,0
1575,3103,0
1568,3112,1
1914,2917,0
1915,2917,0
1914,2917,0
1915,2925,0
1911,2934,0
1910,2956,0
1909,2981,0
1912,3009,0
1919,3040,0
1922,3060,0
1922,3073,0
1918,3074,0
1913,3071,0
1899,3050,0
1889,3028,0
1884,3009,0
1881,2985,0
1977,2930,0
1993,2943,0
2000,2953,0
2000,2961,0
1993,2972,0
1978,2985,0
1960,2995,0
1944,2999,1
2024,2919,0
2033,2925,0
2034,2924,0
2040,2935,0
2054,2955,0
2060,2961,0
2065,2964,0
2069,2967,0
2069,2963,0
2069,2950,0
2069,2937,0
2094,2912,0
2097,2910,1
2185,2914,0
2185,2914,0
2176,2910,0
2161,2907,0
2145,2910,0
2133,2918,0
2127,2924,0
2130,2936,0
2137,2946,0
2198,2940,0
2200,2938,0
2202,2938,0
2203,2941,0
2203,2942,0
2207,2953,0
2214,2963,1
2246,2916,0
2247,2914,0
2252,2917,0
2265,2929,0
2280,2945,0
2311,2966,0
2329,2971,1
2356,2923,0
2355,2915,0
2354,2915,0
2345,2924,0
2337,2945,0
2328,2971,0
2311,2992,0
2300,3014,0
2288,3028,0
2315,3029,0
2339,3019,1
2461,2904,0
2457,2901,0
2447,2897,0
2436,2898,0
2419,2894,0
2405,2896,0
2398,2900,0
2402,2911,0
2426,2939,0
2437,2946,0
2449,2958,0
2458,2967,0
2468,2980,0
2470,2989,0
2466,2999,0
2451,3002,0
2394,3012,1
2566,3003,0
2566,3007,0
2560,3011,0
2557,3026,0
2545,3040,0
2533,3055,0
2521,3066,0
2511,3062,0
2506,3056,1
2887,2901,0
2877,2898,0
2860,2895,0
2842,2897,0
2822,2901,0
2807,2910,0
2803,2926,0
2806,2943,0
2816,2960,0
2828,2972,0
2837,2976,0
2847,2975,0
2859,2967,0
2866,2953,0
2873,2938,0
2878,2926,0
2879,2916,0
2912,2962,0
2916,2968,0
2918,2972,0
2924,2973,0
2926,2966,0
2928,2951,1
2954,2924,0
2954,2929,0
2960,2939,0
2974,2954,0
2984,2962,0
2996,2968,0
3004,2967,0
3008,2960,0
3069,2990,0
3078,2984,1
3172,2965,0
3171,2956,0
3168,2948,0
3162,2943,0
3148,2938,0
3134,2938,0
3117,2941,0
3105,2950,0
3101,2963,0
3098,2970,0
3102,2977,0
3112,2984,0
3160,2874,0
3156,2857,0
3153,2849,0
3153,2848,0
3156,2852,0
3156,2862,0
3161,2883,0
3171,2911,0
3198,2980,1
3491,2927,0
3491,2924,0
3491,2923,0
3491,2923,0
3493,2926,0
3491,2933,0
3494,2947,0
3498,2959,0
3503,2970,1
3467,2885,0
3462,2873,0
3456,2864,0
3459,2861,0
3457,2857,0
3458,2856,0
3467,2859,0
3477,2865,1
3539,2918,0
3545,2923,0
3549,2930,0
3554,2942,0
3559,2953,0
3570,2965,0
3575,2967,0
3585,2967,0
3597,2963,0
3612,2959,0
3627,2957,0
3636,2953,0
3723,3010,0
3735,3005,1
3998,2906,0
3985,2902,0
3976,2905,0
3957,2907,0
3943,2917,0
3933,2927,0
3934,2943,0
3939,2955,0
3948,2963,0
3962,2965,0
3974,2960,0
3988,2951,0
3996,2941,0
4005,2938,0
4010,2933,0
4016,2933,0
4016,2933,0
4019,2936,0
4082,3008,1
4297,2951,0
4307,2944,0
4314,2936,0
4316,2927,0
4316,2922,0
4309,2917,0
4304,2916,0
4299,2928,0
4304,2941,0
4307,2955,0
4315,2972,0
4318,2986,0
4325,3003,0
4327,3012,0
4260,3021,0
4266,3021,0
4277,3021,0
4295,3024,0
4316,3025,0
4340,3028,0
4361,3022,0
4408,2937,0
4403,2936,0
4395,2940,0
4387,2949,0
4384,2965,0
4391,2982,0
4400,3001,0
