the same, now even clearer, but
611
950,2721,1
948,2729,0
947,2741,0
947,2761,0
948,2794,0
948,2829,0
950,2870,0
951,2910,0
953,2942,0
954,2966,0
955,2982,0
958,2994,0
961,2999,1
904,2907,0
903,2907,0
904,2907,0
909,2907,0
921,2904,0
935,2893,0
951,2890,0
968,2874,0
986,2863,1
1030,2757,0
1030,2760,0
1031,2776,0
1033,2796,0
1036,2820,0
1037,2849,0
1039,2881,0
1040,2904,0
1042,2929,0
1045,2948,0
1047,2956,0
1049,2961,0
1050,2960,0
1050,2960,0
1050,2956,0
1051,2948,0
1052,2929,0
1058,2905,0
1066,2884,0
1075,2872,0
1081,2869,0
1087,2873,0
1091,2877,0
1096,2889,0
1100,2900,0
1105,2912,0
1111,2921,0
1121,2932,0
1130,2933,0
1142,2932,0
1158,2928,0
1174,2919,0
1189,2907,0
1202,2893,0
1211,2878,0
1216,2865,0
1217,2857,0
1212,2849,0
1208,2849,0
1199,2850,0
1191,2862,0
1183,2878,0
1181,2899,0
1180,2907,0
1187,2922,0
1198,2926,0
1220,2934,0
1252,2931,0
1294,2924,1
1721,2787,0
1715,2780,0
1710,2777,0
1702,2779,0
1689,2779,0
1680,2784,0
1676,2790,0
1677,2806,0
1681,2825,0
1691,2847,0
1700,2866,0
1709,2884,0
1712,2893,0
1711,2900,0
1703,2907,0
1689,2914,0
1669,2919,0
1649,2919,0
1631,2918,0
1615,2909,0
1611,2901,1
1812,2796,0
1806,2794,0
1797,2792,0
1784,2801,0
1766,2813,0
1753,2833,0
1748,2851,0
1748,2868,0
1755,2878,0
1767,2883,0
1781,2880,0
1793,2868,0
1807,2856,0
1816,2841,0
1821,2823,0
1822,2806,0
1822,2798,0
1820,2794,0
1820,2799,0
1818,2803,0
1817,2824,0
1815,2842,0
1816,2858,0
1820,2873,0
1823,2881,0
1827,2888,0
1833,2894,0
1839,2897,0
1843,2888,1
1883,2805,0
1885,2821,0
1886,2833,0
1887,2846,0
1886,2854,0
1886,2862,0
1890,2870,0
1889,2870,0
1888,2866,0
1891,2870,0
1892,2861,0
1898,2847,0
1906,2828,0
1914,2808,0
1923,2797,0
1925,2788,0
1927,2791,0
1931,2798,0
1931,2806,0
1935,2823,0
1935,2835,0
1936,2847,0
1940,2863,0
1940,2871,0
1942,2878,0
1944,2878,0
1944,2878,0
1946,2873,0
1950,2859,0
1959,2844,0
1968,2828,0
1978,2816,0
1983,2807,0
1986,2805,0
1990,2808,0
1994,2815,0
1999,2830,0
1998,2840,0
2000,2851,0
2003,2863,0
2007,2874,1
2073,2851,0
2072,2847,0
2079,2844,0
2087,2837,0
2092,2827,0
2101,2818,0
2110,2807,0
2120,2803,0
2122,2794,0
2125,2792,0
2124,2789,0
2118,2782,0
2108,2777,0
2093,2770,0
2085,2782,0
2069,2789,0
2060,2804,0
2058,2818,0
2059,2830,0
2067,2840,0
2073,2842,0
2084,2847,0
2106,2855,0
2127,2856,0
2146,2857,1
2346,2831,0
2345,2831,0
2346,2844,0
2343,2868,0
2337,2893,0
2330,2910,0
2331,2931,0
2331,2943,0
2333,2948,1
2596,2715,0
2598,2719,0
2600,2727,0
2608,2750,0
2610,2768,0
2613,2789,0
2614,2802,0
2616,2815,0
2613,2817,0
2614,2816,0
2616,2815,0
2616,2811,0
2622,2802,0
2627,2777,0
2638,2751,0
2649,2726,0
2659,2710,0
2669,2709,0
2678,2717,0
2686,2731,0
2692,2750,0
2695,2767,0
2699,2789,0
2695,2806,0
2695,2824,1
2776,2717,0
2771,2724,0
2764,2738,0
2756,2753,0
2755,2772,0
2755,2787,0
2760,2798,0
2768,2802,0
2780,2804,0
2789,2798,0
2796,2789,0
2803,2779,0
2807,2767,0
2805,2754,0
2801,2742,0
2797,2736,0
2791,2730,1
2850,2738,0
2850,2743,0
2856,2753,0
2860,2761,0
2859,2766,0
2864,2773,0
2866,2776,0
2870,2778,0
2870,2778,0
2873,2777,0
2874,2765,0
2881,2752,0
2888,2742,0
2893,2743,0
2895,2746,0
2899,2753,0
2906,2767,0
2913,2777,0
2924,2789,0
2932,2794,0
2942,2796,0
2946,2794,0
2950,2790,0
2955,2786,0
2955,2772,0
2958,2750,0
2961,2728,0
2965,2715,0
2965,2709,1
3219,2755,0
3223,2757,0
3228,2758,0
3234,2753,0
3236,2745,0
3243,2740,0
3252,2733,0
3257,2723,0
3262,2714,0
3265,2711,0
3259,2705,0
3254,2705,0
3244,2708,0
3234,2717,0
3226,2729,0
3223,2747,0
3222,2758,0
3229,2772,0
3233,2780,0
3246,2789,0
3261,2793,0
3275,2791,0
3291,2784,0
3305,2777,0
3314,2764,1
3346,2699,0
3353,2714,0
3356,2728,0
3358,2741,0
3366,2756,0
3370,2768,0
3378,2777,0
3382,2779,0
3383,2778,0
3384,2777,0
3382,2774,0
3389,2768,0
3394,2748,0
3406,2726,0
3418,2704,0
3424,2686,0
3431,2680,0
3432,2680,0
3431,2680,0
3433,2684,1
3481,2733,0
3482,2731,0
3493,2726,0
3506,2720,0
3522,2716,0
3537,2712,0
3544,2705,0
3546,2697,0
3551,2697,0
3545,2692,0
3542,2690,0
3528,2687,0
3512,2692,0
3491,2701,0
3477,2714,0
3468,2729,0
3467,2745,0
3474,2760,0
3486,2771,0
3499,2775,0
3520,2778,0
3536,2774,0
3555,2767,0
3571,2758,0
3587,2747,0
3602,2733,0
3613,2717,0
3619,2700,0
3624,2689,0
3626,2687,0
3624,2688,0
3631,2698,0
3632,2709,0
3635,2723,0
3634,2735,0
3634,2746,0
3632,2754,0
3637,2760,0
3637,2760,0
3638,2759,0
3641,2757,0
3647,2745,0
3657,2724,0
3676,2703,0
3693,2686,0
3706,2679,0
3711,2680,0
3718,2689,0
3724,2700,0
3724,2712,0
3725,2727,0
3720,2744,0
3717,2765,1
4039,2667,0
4036,2664,0
4030,2664,0
4021,2669,0
4007,2680,0
3996,2698,0
3987,2714,0
3985,2729,0
3990,2741,0
3998,2750,0
4010,2755,0
4025,2757,0
4048,2755,0
4073,2750,0
4094,2744,0
4109,2732,0
4118,2716,1
4137,2552,0
4136,2560,0
4138,2577,0
4139,2602,0
4135,2626,0
4134,2652,0
4130,2676,0
4132,2700,0
4134,2716,0
4143,2730,0
4152,2738,0
4159,2741,0
4172,2738,0
4190,2735,0
4209,2724,0
4229,2713,0
4246,2698,0
4263,2683,0
4273,2670,0
4280,2662,0
4279,2656,0
4273,2651,0
4268,2651,0
4251,2653,0
4237,2664,0
4226,2678,0
4220,2692,0
4218,2701,0
4225,2712,0
4235,2718,0
4247,2721,0
4274,2727,0
4300,2726,1
4403,2645,0
4394,2644,0
4382,2646,0
4369,2649,0
4358,2657,0
4350,2668,0
4345,2682,0
4348,2699,0
4348,2706,0
4352,2711,0
4365,2715,0
4377,2714,0
4386,2707,0
4398,2700,0
4406,2688,0
4411,2675,0
4415,2662,0
4418,2652,0
4416,2647,0
4416,2647,0
4415,2650,0
4415,2655,0
4412,2667,0
4410,2683,0
4411,2702,0
4410,2715,0
4414,2730,0
4416,2741,0
4422,2751,1
4490,2636,0
4490,2641,0
4498,2657,0
4500,2675,0
4507,2693,0
4503,2704,0
4505,2717,0
4503,2726,0
4501,2728,0
4501,2728,0
4502,2727,0
4498,2718,0
4495,2702,0
4498,2685,0
4506,2668,0
4517,2652,0
4526,2639,0
4539,2636,0
4553,2636,0
4562,2637,0
4574,2642,1
4597,2671,0
4606,2672,0
4618,2669,0
4633,2668,0
4647,2663,0
4664,2660,0
4672,2656,0
4678,2653,0
4677,2648,0
4676,2642,0
4669,2637,0
4657,2634,0
4642,2634,0
4629,2639,0
4615,2647,0
4602,2656,0
4597,2671,0
4591,2686,0
4594,2703,0
4599,2716,0
4613,2730,0
4625,2736,0
4642,2739,0
4665,2741,0
4678,2736,0
4695,2728,0
4708,2716,0
4721,2703,0
4731,2689,0
4744,2677,0
4753,2671,0
4755,2668,0
4757,2673,0
4757,2680,0
4761,2694,0
4758,2707,0
4759,2719,0
4758,2729,0
4753,2734,0
4756,2737,0
4753,2735,0
4754,2733,0
4755,2724,0
4758,2707,0
4765,2690,0
4772,2671,0
4780,2653,0
4788,2640,0
4796,2634,0
4799,2630,0
4807,2634,0
4809,2637,0
4811,2649,1
4951,2748,0
4949,2753,0
4941,2765,0
