The rest, one feels, were driven to
796
913,1531,0
912,1534,0
916,1543,0
914,1547,0
914,1567,0
911,1587,0
911,1615,0
907,1638,0
906,1671,0
904,1703,0
902,1731,0
900,1755,0
898,1775,0
897,1786,0
895,1795,0
895,1802,0
892,1802,1
1037,1524,0
1041,1524,0
1038,1524,0
1030,1524,0
1013,1527,0
989,1530,0
962,1532,0
933,1537,0
901,1541,0
864,1540,0
827,1538,0
795,1540,0
766,1534,0
747,1533,0
737,1530,0
736,1531,0
747,1533,1
1015,1508,0
1023,1508,0
1026,1508,0
1024,1508,0
1025,1520,0
1025,1536,0
1028,1560,0
1030,1584,0
1030,1612,0
1030,1640,0
1032,1672,0
1032,1700,0
1032,1720,0
1036,1749,0
1036,1764,0
1035,1772,0
1037,1776,0
1038,1780,0
1038,1776,0
1037,1764,0
1036,1744,0
1036,1720,0
1040,1701,0
1044,1677,0
1052,1652,0
1064,1641,0
1076,1628,0
1089,1625,0
1100,1625,0
1112,1633,0
1122,1644,0
1134,1668,0
1142,1692,0
1151,1715,0
1158,1735,0
1166,1750,0
1177,1766,0
1189,1773,0
1200,1773,0
1216,1771,0
1234,1770,0
1248,1756,0
1264,1742,0
1277,1724,0
1285,1703,0
1293,1686,0
1293,1665,0
1295,1657,0
1290,1650,0
1282,1647,0
1274,1652,0
1263,1662,0
1251,1675,0
1240,1689,0
1235,1705,0
1235,1725,0
1235,1737,0
1243,1752,0
1254,1763,0
1274,1778,0
1293,1779,0
1316,1784,0
1336,1780,0
1357,1781,0
1369,1775,0
1377,1769,0
1384,1768,0
1389,1771,0
1387,1768,0
1387,1767,0
1388,1771,0
1389,1775,0
1386,1776,1
1631,1654,0
1629,1650,0
1625,1648,0
1616,1643,0
1611,1644,0
1609,1650,0
1611,1666,0
1612,1686,0
1616,1710,0
1620,1734,0
1625,1758,0
1626,1771,0
1626,1775,0
1623,1771,0
1623,1771,0
1620,1760,0
1616,1744,0
1609,1721,0
1607,1705,0
1599,1686,0
1600,1682,0
1600,1678,0
1606,1679,0
1616,1685,0
1629,1693,0
1647,1703,0
1669,1713,0
1692,1720,0
1715,1724,0
1737,1724,0
1753,1713,0
1769,1701,0
1784,1686,0
1796,1672,0
1801,1655,0
1804,1645,0
1797,1631,0
1790,1625,0
1783,1624,0
1772,1629,0
1757,1637,0
1746,1651,0
1740,1671,0
1734,1691,0
1736,1712,0
1740,1732,0
1749,1749,0
1759,1762,0
1773,1770,0
1792,1779,0
1810,1783,0
1826,1785,0
1838,1779,0
1853,1773,0
1868,1765,0
1888,1759,0
1905,1751,1
1921,1655,0
1911,1657,0
1902,1662,0
1897,1669,0
1892,1676,0
1894,1684,0
1895,1689,0
1903,1693,0
1914,1696,0
1931,1701,0
1952,1708,0
1971,1714,0
1990,1722,0
2005,1732,0
2017,1743,0
2021,1751,0
2021,1759,0
2018,1771,0
2009,1781,0
1994,1789,0
1976,1795,0
1955,1797,0
1932,1795,0
1906,1786,0
1886,1779,0
1865,1766,0
1855,1759,0
1852,1751,0
1854,1741,1
2034,1518,0
2036,1532,0
2041,1557,0
2038,1583,0
2042,1615,0
2045,1646,0
2050,1677,0
2055,1706,0
2060,1732,0
2065,1751,0
2065,1761,0
2067,1769,0
2065,1771,1
2113,1706,0
2114,1705,0
2113,1707,0
2100,1705,0
2078,1701,0
2054,1698,0
2033,1696,0
2017,1697,0
2001,1697,0
1991,1698,0
1981,1695,0
1982,1699,0
1978,1697,1
2138,1756,0
2144,1758,0
2149,1764,0
2151,1778,0
2147,1794,0
2145,1815,0
2142,1840,0
2139,1866,0
2136,1891,1
2511,1668,0
2507,1661,0
2497,1654,0
2489,1650,0
2475,1648,0
2458,1646,0
2444,1649,0
2431,1655,0
2419,1661,0
2412,1672,0
2406,1682,0
2407,1697,0
2419,1719,0
2430,1736,0
2451,1754,0
2474,1767,0
2497,1773,0
2512,1770,0
2527,1762,0
2536,1749,0
2536,1732,0
2536,1716,0
2529,1701,0
2519,1689,0
2509,1681,0
2500,1679,0
2493,1680,0
2489,1683,0
2489,1689,1
2546,1657,0
2552,1662,0
2562,1674,0
2566,1688,0
2574,1707,0
2578,1725,0
2584,1742,0
2586,1751,0
2587,1756,0
2584,1753,0
2585,1752,0
2586,1746,0
2581,1728,0
2583,1710,0
2586,1691,0
2589,1671,0
2597,1657,0
2606,1646,0
2619,1645,0
2627,1648,0
2641,1662,0
2653,1684,0
2663,1708,0
2678,1734,0
2692,1754,0
2706,1768,0
2717,1775,0
2727,1775,0
2741,1771,0
2755,1763,0
2765,1753,0
2772,1739,0
2779,1726,0
2779,1708,0
2776,1694,0
2766,1680,0
2756,1673,0
2741,1667,0
2733,1669,0
2720,1672,0
2719,1684,0
2713,1696,0
2712,1710,0
2719,1726,0
2731,1742,0
2750,1756,0
2769,1766,0
2794,1774,0
2817,1779,0
