approach&quot; (Rialto, &quot;A&quot;),
561
1023,2324,0
1020,2324,0
1019,2316,0
1019,2304,0
1024,2288,0
1031,2264,0
1036,2232,0
1036,2212,0
1026,2200,0
1008,2195,0
984,2207,0
954,2225,0
928,2259,0
907,2298,0
933,2368,0
953,2350,0
971,2318,0
988,2287,0
1001,2267,0
1008,2263,0
1009,2268,0
1008,2276,0
1006,2304,0
1003,2335,0
1008,2355,0
1018,2368,0
1029,2368,0
1044,2361,0
1067,2341,0
1095,2305,0
1127,2268,0
1157,2236,0
1175,2215,0
1179,2210,0
1182,2222,0
1176,2251,0
1158,2291,0
1137,2347,0
1112,2417,0
1087,2492,0
1062,2557,0
1045,2601,0
1038,2620,0
1039,2625,0
1045,2620,0
1055,2596,0
1073,2552,0
1097,2501,0
1123,2448,0
1148,2388,0
1175,2339,0
1203,2297,0
1228,2268,0
1253,2250,0
1273,2244,0
1283,2243,0
1290,2258,0
1292,2286,0
1289,2318,0
1290,2343,0
1295,2354,0
1304,2357,0
1317,2352,0
1331,2334,0
1352,2308,0
1371,2273,0
1390,2254,0
1397,2244,0
1397,2245,0
1394,2257,0
1386,2291,0
1370,2333,0
1357,2388,0
1339,2439,0
1319,2488,0
1304,2538,0
1290,2575,0
1280,2601,0
1276,2609,0
1276,2608,0
1281,2600,0
1292,2567,0
1309,2518,0
1333,2467,0
1358,2412,0
1390,2363,0
1421,2310,0
1453,2276,0
1475,2247,0
1490,2241,0
1496,2244,0
1500,2258,0
1494,2280,0
1486,2315,0
1485,2343,0
1488,2351,0
1498,2357,0
1508,2347,0
1525,2327,0
1547,2294,0
1570,2256,0
1586,2219,0
1594,2200,0
1594,2196,0
1593,2197,0
1586,2198,0
1583,2208,0
1582,2208,0
1588,2215,0
1598,2216,0
1617,2219,0
1636,2219,0
1650,2219,0
1657,2229,0
1657,2246,0
1652,2273,0
1643,2304,0
1634,2331,0
1634,2355,0
1643,2369,0
1655,2371,0
1677,2369,0
1704,2353,0
1737,2327,0
1772,2295,0
1806,2263,0
1834,2231,0
1860,2213,0
1872,2204,0
1871,2200,0
1871,2205,0
1862,2217,0
1846,2248,0
1828,2289,0
1814,2328,0
1809,2346,0
1813,2353,0
1819,2351,0
1830,2339,0
1845,2317,0
1857,2282,0
1866,2249,0
1863,2225,0
1853,2215,0
1840,2216,0
1822,2218,0
1811,2227,0
1810,2231,0
1818,2236,0
1833,2236,0
1862,2234,0
1897,2224,0
1940,2215,0
1981,2207,0
2017,2199,0
2050,2201,0
2073,2207,0
2084,2207,0
2091,2208,0
2094,2211,0
2090,2209,0
2083,2207,0
2070,2210,0
2047,2211,0
2025,2226,0
2000,2246,0
1976,2270,0
1961,2302,0
1954,2327,0
1959,2342,0
1970,2346,0
1985,2340,0
2006,2327,0
2026,2300,0
2051,2276,0
2071,2249,0
2084,2224,0
2093,2220,0
2093,2220,0
2094,2229,0
2087,2246,0
2081,2275,0
2078,2303,0
2079,2320,0
2086,2326,0
2094,2326,0
2106,2316,0
2123,2294,0
2152,2267,0
2184,2232,0
2215,2202,0
2245,2190,0
2268,2189,0
2289,2201,0
2297,2205,0
2305,2210,0
2309,2212,0
2312,2215,0
2309,2212,0
2306,2209,0
2295,2202,0
2284,2199,0
2268,2204,0
2248,2215,0
2227,2231,0
2212,2262,0
2199,2292,0
2194,2321,0
2199,2342,0
2217,2355,0
2239,2353,0
2270,2345,0
2303,2317,0
2343,2280,0
2386,2229,0
2432,2181,0
2468,2133,0
2488,2088,0
2502,2053,0
2507,2024,0
2503,2007,0
2499,2005,0
2492,2014,0
2474,2044,0
2448,2093,0
2420,2150,0
2402,2211,0
2385,2255,0
2384,2284,0
2392,2301,0
2399,2307,0
2412,2309,0
2424,2297,0
2442,2275,0
2466,2254,0
2491,2242,0
2509,2239,0
2526,2248,0
2529,2260,0
2528,2285,0
2523,2307,0
2533,2325,0
2547,2330,0
2567,2326,0
2590,2316,1
2835,1927,0
2838,1930,0
2839,1941,0
2830,1961,0
2816,1990,0
2799,2017,0
2790,2042,0
2784,2058,0
2781,2061,1
2910,1925,0
2905,1930,0
2900,1948,0
2891,1979,0
2878,2010,1
3382,1940,0
3379,1937,0
3379,1938,0
3377,1940,0
3366,1954,0
3344,1982,0
3305,2017,0
3270,2064,0
3241,2121,0
3214,2179,0
3208,2238,0
3209,2284,0
3220,2323,0
3237,2357,0
3248,2380,0
3263,2399,0
3270,2403,1
3604,2002,0
3603,2005,0
3602,2013,0
3596,2035,0
3583,2065,0
3571,2108,0
3555,2154,0
3527,2200,0
3496,2244,0
3470,2280,0
3445,2300,0
3428,2308,0
