interest devotees, but, despite
527
733,1438,0
734,1447,0
733,1447,0
728,1458,0
719,1488,0
715,1529,0
718,1568,0
728,1602,0
741,1618,0
755,1625,0
775,1614,0
803,1599,0
821,1586,1
821,1467,0
831,1486,0
839,1516,0
845,1553,0
849,1586,0
849,1598,0
850,1602,0
841,1585,0
839,1564,0
837,1535,0
842,1512,0
851,1493,0
860,1475,0
868,1468,0
877,1469,0
882,1470,0
892,1492,0
890,1536,0
890,1588,0
897,1609,0
906,1610,1
1013,1254,0
1026,1288,0
1037,1336,0
1047,1392,0
1052,1449,0
1059,1509,0
1061,1549,0
1066,1585,0
1071,1601,1
1093,1441,0
1092,1441,0
1080,1440,0
1055,1441,0
1025,1436,1
1200,1544,0
1211,1555,0
1215,1550,0
1219,1550,0
1228,1533,0
1237,1508,0
1245,1482,0
1245,1466,0
1240,1455,0
1233,1455,0
1209,1458,0
1188,1476,0
1170,1493,0
1162,1518,0
1162,1542,0
1175,1566,0
1199,1580,0
1235,1588,0
1270,1580,0
1307,1571,0
1331,1562,1
1382,1512,1
1394,1558,0
1397,1574,0
1398,1573,0
1394,1566,0
1397,1549,0
1393,1509,0
1388,1473,0
1381,1446,0
1380,1438,0
1380,1438,0
1382,1438,0
1394,1447,0
1408,1456,0
1426,1468,0
1452,1486,0
1474,1491,0
1502,1496,0
1534,1494,0
1553,1479,0
1568,1464,0
1573,1454,0
1574,1450,0
1566,1444,0
1548,1446,0
1532,1456,0
1521,1473,0
1519,1495,0
1526,1517,0
1537,1535,0
1558,1549,0
1585,1556,0
1616,1553,1
1777,1421,0
1774,1422,0
1754,1428,0
1730,1432,0
1708,1434,0
1696,1440,0
1691,1447,0
1696,1458,0
1713,1476,0
1735,1492,0
1767,1511,0
1788,1524,0
1799,1532,0
1800,1534,0
1789,1550,0
1756,1571,0
1723,1578,1
1835,1257,0
1840,1263,0
1849,1286,0
1853,1318,0
1863,1364,0
1872,1415,0
1882,1469,0
1894,1519,0
1897,1549,0
1903,1564,0
1908,1567,0
1906,1558,0
1913,1545,1
1896,1447,0
1906,1450,0
1924,1447,0
1942,1445,1
757,1334,0
760,1342,0
779,1347,0
779,1344,0
716,1321,1
2447,1455,0
2444,1452,0
2444,1452,0
2444,1452,0
2432,1447,0
2410,1446,0
2386,1450,0
2369,1461,0
2352,1481,0
2355,1513,0
2373,1546,0
2398,1572,0
2418,1585,0
2440,1586,0
2463,1565,0
2480,1524,0
2489,1481,0
2490,1432,0
2483,1385,0
2474,1346,0
2470,1319,0
2468,1304,0
2468,1304,0
2470,1307,0
2473,1329,0
2477,1374,0
2490,1432,0
2507,1489,0
2530,1536,0
2548,1558,0
2572,1566,0
2594,1566,0
2621,1566,1
2656,1515,0
2665,1517,0
2680,1517,0
2687,1509,0
2702,1491,0
2713,1471,0
2712,1452,0
2703,1439,0
2686,1433,0
2661,1440,0
2641,1459,0
2630,1483,0
2627,1511,0
2639,1541,0
2656,1563,0
2688,1575,0
2726,1574,1
2861,1462,0
2864,1470,0
2860,1483,0
2861,1502,0
2864,1524,0
2877,1553,0
2896,1581,0
2917,1600,0
2936,1608,0
2957,1601,0
2975,1570,0
2982,1527,0
2982,1493,0
2974,1468,0
2966,1459,0
2964,1461,0
2978,1476,1
3127,1460,0
3127,1461,0
3119,1467,0
3102,1479,0
3085,1488,0
3074,1506,0
3072,1529,0
3080,1554,0
3100,1580,0
3126,1600,0
3151,1606,0
3175,1592,0
3194,1565,0
3197,1536,0
3189,1506,0
3173,1485,0
3156,1475,1
3294,1225,0
3298,1236,0
3302,1263,0
3302,1300,0
3306,1352,0
3306,1410,0
3302,1465,0
3300,1515,0
3302,1558,0
3304,1592,0
3311,1611,0
3318,1616,0
3335,1611,1
3356,1460,0
3355,1462,0
3329,1466,0
3303,1464,0
3275,1457,1
3474,1551,0
3484,1559,0
3493,1560,0
3501,1553,0
3511,1534,0
3520,1511,0
3518,1489,0
3519,1471,0
3511,1459,0
3500,1457,0
3481,1466,0
3464,1481,0
3448,1500,0
3442,1520,0
3447,1544,0
3461,1566,0
3481,1587,0
3511,1599,0
3540,1604,0
3574,1610,0
3604,1616,1
3675,1534,0
3677,1540,0
3677,1541,0
3677,1539,0
3682,1539,0
3686,1532,0
3697,1518,0
3706,1500,0
3715,1483,0
3711,1473,0
3713,1470,0
3696,1468,0
3668,1469,0
3642,1477,0
3626,1490,0
3614,1505,0
3617,1527,0
3626,1551,0
3649,1575,0
3672,1593,0
3701,1604,0
3728,1604,0
3755,1599,0
3781,1593,0
3802,1587,1
3914,1447,0
3918,1447,0
3910,1445,0
3896,1450,0
3862,1447,0
3841,1445,0
3825,1448,0
3821,1458,0
3826,1476,0
3843,1497,0
3866,1522,0
3891,1544,0
3909,1559,0
3914,1568,0
3913,1570,0
3884,1582,0
3846,1587,1
4123,1549,0
4121,1553,0
4106,1574,0
4085,1611,0
4067,1648,1
4367,1251,0
4375,1254,0
4371,1253,0
4375,1254,0
4370,1269,0
4355,1301,0
4352,1346,0
4350,1397,0
4358,1454,0
4381,1515,0
4401,1559,0
4426,1582,0
4450,1588,0
4473,1575,0
4489,1546,0
4494,1513,0
4489,1483,0
4474,1465,0
4455,1457,0
4430,1457,0
4412,1459,1
4601,1435,0
4599,1436,0
4603,1440,0
4595,1450,0
4586,1464,0
4582,1484,0
4590,1508,0
4607,1530,0
4627,1547,0
4654,1556,0
4672,1550,0
4693,1529,0
4703,1503,0
4706,1483,0
4702,1472,0
4701,1473,0
4707,1479,0
4716,1503,0
4728,1528,0
4746,1550,0
4769,1568,1
4830,1199,0
4833,1202,0
4838,1201,0
4838,1201,0
4833,1216,0
4834,1258,0
4837,1320,0
4842,1394,0
4850,1463,0
4857,1512,0
4865,1539,0
4872,1553,0
4890,1564,1
4911,1454,0
4903,1454,0
4885,1456,0
4862,1449,0
4833,1435,1
5067,1568,0
5075,1604,0
5062,1660,0
5056,1701,0
5045,1728,1
5490,1480,0
5486,1480,0
5479,1477,0
5459,1471,0
5435,1470,0
5413,1474,0
5401,1486,0
5394,1507,0
5397,1536,0
5414,1565,0
5434,1591,0
5458,1609,0
5478,1614,0
5497,1593,0
5511,1548,0
5518,1485,0
5516,1417,0
5505,1353,0
5498,1301,0
5490,1268,0
5488,1260,0
5488,1259,0
5487,1262,0
5495,1298,0
5503,1363,0
5512,1433,0
5525,1491,0
5542,1532,0
5563,1556,1
5702,1538,0
5701,1541,0
5702,1541,0
5706,1541,0
5711,1536,0
5722,1529,0
5738,1520,0
5750,1505,0
5754,1491,0
5754,1476,0
5744,1467,0
5729,1462,0
5711,1464,0
5692,1474,0
5682,1491,0
5680,1516,0
5688,1544,0
5706,1570,0
5729,1589,0
5760,1596,0
5790,1596,1
5911,1464,0
5911,1464,0
5903,1462,0
5890,1464,0
5872,1469,0
5854,1472,0
5844,1478,0
5846,1486,0
5852,1496,0
5868,1510,0
5897,1527,0
5922,1541,0
5947,1554,0
5960,1570,0
5958,1589,0
5944,1611,0
5928,1623,0
5902,1623,0
5874,1607,0
5860,1585,0
5863,1570,1
6044,1539,0
6043,1570,0
6039,1616,0
6030,1658,0
6025,1686,0
6017,1696,0
6010,1696,0
6010,1683,0
6006,1654,0
6003,1622,0
6005,1585,0
6019,1551,0
6032,1522,0
6044,1505,0
6051,1496,0
6064,1494,0
6072,1496,0
6078,1504,0
6082,1520,0
6079,1546,0
6069,1580,0
6056,1599,0
6042,1604,0
6034,1600,0
6051,1597,1
6235,1503,0
6235,1506,0
6229,1510,0
6221,1525,0
6210,1551,0
6201,1582,0
6206,1609,0
6206,1625,0
6217,1633,1
6186,1383,0
6188,1380,0
6187,1381,0
6186,1385,0
6185,1389,1
6286,1249,0
6293,1257,0
6297,1275,0
6303,1302,0
6303,1341,0
6304,1393,0
6307,1450,0
6314,1505,0
6317,1551,0
6321,1582,0
6324,1589,0
6325,1587,0
6324,1575,0
6321,1554,0
6322,1534,0
6329,1522,0
6331,1519,0
6335,1517,0
6346,1522,0
6360,1530,0
6382,1542,0
6408,1553,0
6440,1558,0
6473,1554,0
6502,1544,0
6520,1537,0
6527,1524,0
6530,1512,0
6524,1503,0
6512,1498,0
6500,1501,0
6490,1506,0
6485,1513,0
6485,1527,0
6495,1551,0
6517,1580,0
6553,1613,0
6596,1640,0
6645,1660,0
6700,1669,0
6765,1676,1
