most closely in spirit is, I think,
563
1371,4169,0
1363,4170,0
1360,4179,0
1359,4187,0
1359,4207,0
1356,4227,0
1352,4255,0
1348,4280,0
1346,4296,0
1346,4308,0
1346,4311,0
1346,4308,0
1347,4304,0
1353,4292,0
1364,4263,0
1381,4233,0
1402,4203,0
1424,4186,0
1440,4172,0
1451,4163,0
1457,4159,0
1460,4162,0
1464,4179,0
1464,4198,0
1462,4230,0
1458,4259,0
1454,4283,0
1452,4295,0
1452,4295,0
1452,4296,0
1458,4287,0
1470,4270,0
1488,4244,0
1512,4222,0
1536,4198,0
1558,4180,0
1579,4169,0
1592,4164,0
1598,4163,0
1597,4163,0
1598,4179,0
1594,4204,0
1586,4229,0
1581,4254,0
1580,4270,1
1751,4157,0
1746,4157,0
1735,4150,0
1723,4152,0
1708,4159,0
1690,4174,0
1677,4200,0
1669,4226,0
1667,4239,0
1671,4246,0
1683,4248,0
1704,4241,0
1728,4221,0
1751,4201,0
1767,4186,0
1772,4173,0
1770,4161,0
1762,4150,0
1751,4140,0
1739,4143,0
1726,4152,1
1886,4118,0
1882,4116,0
1874,4121,0
1862,4128,0
1852,4134,0
1845,4143,0
1846,4151,0
1852,4162,0
1863,4172,0
1872,4179,0
1881,4186,0
1884,4193,0
1882,4201,0
1881,4218,0
1871,4232,0
1860,4251,0
1846,4266,1
1959,4054,0
1959,4066,0
1956,4087,0
1954,4116,0
1954,4153,0
1952,4182,0
1953,4211,0
1952,4228,0
1952,4244,0
1952,4248,0
1952,4244,0
1951,4244,0
1938,4230,1
1915,4191,0
1915,4191,0
1918,4190,0
1937,4186,0
1966,4179,0
1997,4173,0
2026,4167,0
2051,4164,1
2404,4112,0
2403,4112,0
2401,4114,0
2400,4114,0
2395,4116,0
2383,4123,0
2364,4134,0
2344,4157,0
2330,4186,0
2324,4213,0
2333,4232,0
2347,4239,0
2371,4241,0
2400,4236,0
2424,4215,0
2447,4199,0
2467,4184,1
2492,4171,0
2504,4183,0
2519,4187,0
2533,4181,0
2550,4172,1
2664,4092,0
2663,4098,0
2652,4097,0
2640,4098,0
2614,4109,0
2598,4118,0
2593,4147,0
2588,4170,0
2591,4193,0
2602,4203,0
2620,4208,0
2638,4198,0
2656,4182,0
2675,4170,0
2685,4154,0
2688,4139,0
2686,4127,0
2680,4116,0
2670,4108,0
2656,4104,1
2802,4069,0
2802,4073,0
2796,4077,0
2786,4085,0
2775,4094,0
2766,4102,0
2765,4107,0
2770,4114,0
2775,4120,0
2786,4133,0
2796,4145,0
2801,4157,0
2799,4167,0
2792,4178,0
2784,4198,0
2767,4210,0
2753,4220,0
2735,4224,0
2726,4227,0
2719,4222,0
2725,4224,1
2881,4143,0
2881,4143,0
2881,4143,0
2885,4145,0
2890,4143,0
2898,4140,0
2910,4135,0
2922,4129,0
2930,4121,0
2933,4115,0
2935,4110,0
2930,4102,0
2924,4097,0
2914,4097,0
2903,4106,0
2891,4121,0
2885,4150,0
2883,4174,0
2885,4185,0
2895,4194,0
2908,4198,1
3048,3973,0
3043,3981,0
3038,3991,0
3032,4013,0
3025,4044,0
3020,4082,0
3023,4116,0
3028,4136,0
3035,4146,0
3049,4162,0
3057,4167,0
3066,4171,0
3073,4163,1
3249,4070,0
3238,4086,0
3220,4109,0
3202,4142,0
3177,4172,0
3159,4200,0
3148,4224,0
3139,4233,0
3135,4239,1
3132,4092,0
3134,4104,0
3141,4118,0
3153,4135,0
3165,4143,1
3633,4062,0
3635,4070,0
3626,4077,0
3621,4099,0
3609,4120,0
3604,4152,0
3597,4180,0
3593,4197,0
3593,4211,0
3597,4222,0
3600,4226,0
3602,4225,0
3602,4219,1
3701,4093,0
3697,4102,0
3690,4111,0
3686,4128,0
3679,4143,0
3674,4159,0
3672,4175,0
3672,4185,0
3672,4184,0
3673,4184,0
3674,4174,0
3686,4161,0
3702,4136,0
3720,4106,0
3744,4084,0
3766,4069,0
3785,4061,0
3798,4058,0
3806,4061,0
3810,4068,0
3812,4086,0
3807,4114,0
3802,4146,0
3800,4177,0
3798,4188,1
4225,4009,0
4215,4012,0
4196,4017,0
4176,4029,0
4160,4046,0
4146,4063,0
4144,4079,0
4145,4089,0
4147,4097,0
4157,4105,0
4167,4112,0
4183,4121,0
4192,4133,0
4195,4141,0
4191,4150,0
4188,4162,0
4179,4174,0
4166,4179,0
4154,4184,0
4146,4184,0
4142,4177,1
4287,4031,0
4285,4033,0
4278,4039,0
4275,4057,0
4265,4080,0
4258,4111,0
4256,4144,0
