&quot;Love,&quot; writes Mr. Bayley,
828
813,3575,0
808,3570,0
807,3561,0
806,3549,0
808,3546,0
812,3534,0
815,3530,0
816,3527,0
817,3526,0
817,3531,0
818,3530,0
816,3547,0
813,3574,0
805,3614,0
798,3649,0
793,3689,0
791,3717,1
872,3506,0
873,3502,0
874,3503,0
874,3498,0
873,3502,0
872,3510,0
869,3526,0
863,3554,0
856,3585,0
852,3621,0
849,3658,0
851,3681,0
854,3701,1
960,3814,0
958,3814,0
962,3815,0
970,3811,0
986,3803,0
1006,3788,0
1031,3756,0
1059,3724,0
1085,3681,0
1109,3641,0
1131,3600,0
1145,3560,0
1152,3536,0
1152,3527,0
1150,3528,0
1145,3536,0
1136,3560,0
1127,3604,0
1115,3656,0
1105,3716,0
1094,3781,0
1083,3845,0
1073,3905,0
1064,3952,0
1053,3988,0
1042,4012,0
1030,4024,0
1020,4020,0
1011,4007,0
1006,3984,0
1006,3956,0
1010,3928,0
1017,3900,0
1028,3876,0
1040,3868,0
1052,3865,0
1064,3872,0
1075,3889,0
1086,3913,0
1097,3936,0
1108,3960,0
1119,3972,0
1131,3976,0
1145,3976,0
1160,3964,0
1177,3943,0
1196,3911,0
1220,3877,0
1248,3833,0
1277,3795,0
1305,3766,0
1331,3744,0
1353,3730,0
1370,3725,0
1380,3720,0
1384,3720,0
1384,3724,0
1383,3723,0
1383,3728,0
1383,3728,0
1382,3728,0
1382,3732,0
1375,3732,0
1365,3745,0
1351,3766,0
1335,3795,0
1319,3837,0
1306,3878,0
1300,3918,0
1301,3942,0
1311,3954,0
1328,3952,0
1348,3942,0
1369,3921,0
1388,3888,0
1405,3854,0
1414,3817,0
1416,3785,0
1413,3757,0
1409,3742,0
1405,3734,0
1405,3734,0
1407,3733,0
1416,3732,0
1433,3731,0
1455,3729,0
1482,3718,0
1511,3714,0
1536,3708,0
1553,3701,0
1559,3700,0
1557,3705,0
1549,3718,0
1534,3747,0
1520,3782,0
1509,3819,0
1503,3860,0
1503,3892,0
