supplies, when asked for a few nails,
880
542,2672,0
534,2666,0
526,2660,0
511,2649,0
492,2639,0
473,2639,0
456,2644,0
441,2648,0
427,2661,0
416,2674,0
408,2689,0
404,2709,0
405,2725,0
411,2736,0
426,2743,0
447,2749,0
472,2758,0
489,2779,0
497,2789,0
496,2805,0
485,2823,0
464,2851,0
436,2869,0
409,2888,0
388,2886,0
374,2878,0
365,2864,0
362,2847,0
367,2832,1
637,2670,0
635,2670,0
633,2682,0
627,2700,0
618,2728,0
608,2758,0
600,2793,0
597,2797,0
600,2818,0
608,2823,0
618,2825,0
631,2823,0
647,2818,0
665,2789,0
687,2760,0
708,2730,0
721,2712,0
726,2704,0
725,2704,0
721,2708,0
713,2731,0
703,2753,0
695,2777,0
694,2801,0
694,2813,0
699,2818,0
705,2815,0
715,2808,0
728,2789,1
770,2782,0
753,2825,0
738,2863,0
722,2881,0
711,2924,0
697,2963,0
684,2997,0
673,3024,0
667,3031,0
667,3031,0
670,3016,0
678,2989,0
692,2958,0
712,2908,0
736,2863,0
774,2831,0
871,2720,0
901,2698,0
924,2688,0
934,2696,0
930,2696,0
916,2720,0
892,2746,0
865,2768,0
840,2786,0
822,2792,0
812,2791,1
1006,2688,0
1006,2691,0
1003,2692,0
1001,2712,0
993,2739,0
983,2783,0
970,2830,0
953,2858,0
942,2897,0
936,2917,0
930,2936,0
924,2948,0
921,2956,0
924,2956,0
927,2941,0
936,2929,0
947,2890,0
962,2850,0
983,2807,0
1003,2763,0
1026,2748,0
1047,2712,0
1067,2685,0
1086,2673,0
1098,2680,0
1107,2704,0
1107,2721,0
1102,2741,0
1088,2756,0
1063,2777,0
1038,2793,0
1023,2804,0
1017,2804,1
1170,2743,1
1183,2734,0
1196,2722,0
1216,2704,0
1241,2679,0
1270,2653,0
1297,2619,0
1319,2581,0
1339,2547,0
1353,2524,0
1358,2504,0
1360,2499,0
1358,2504,0
1351,2513,0
1336,2531,0
1319,2553,0
1300,2582,0
1278,2613,0
1262,2658,0
1250,2687,0
1250,2711,0
1259,2726,0
1274,2733,0
1295,2731,0
1319,2725,0
1342,2707,0
1364,2680,0
1385,2658,0
1399,2632,0
1406,2611,0
1410,2606,0
1410,2610,0
1407,2619,0
1400,2636,0
1389,2658,0
1380,2679,0
1371,2700,0
1365,2717,0
