nonsense. Animals, he insists,
556
644,3637,0
639,3669,0
643,3706,0
647,3727,0
644,3750,0
642,3774,0
644,3778,0
647,3771,0
663,3752,0
680,3738,0
698,3700,0
724,3667,0
750,3657,0
767,3667,0
776,3700,0
781,3732,0
788,3744,0
799,3750,0
816,3754,0
837,3752,0
863,3746,1
945,3646,0
945,3642,0
938,3650,0
926,3665,0
912,3696,0
908,3729,0
912,3745,0
924,3749,0
941,3758,0
965,3754,0
989,3744,0
1013,3728,0
1032,3713,0
1041,3677,0
1042,3640,0
1025,3616,0
1001,3616,0
969,3623,0
937,3638,0
903,3660,1
1105,3596,0
1108,3612,0
1114,3640,0
1118,3669,0
1119,3693,0
1122,3708,0
1123,3712,0
1124,3712,0
1127,3712,0
1131,3696,0
1137,3672,0
1148,3644,0
1165,3615,0
1182,3603,0
1196,3602,0
1206,3607,0
1211,3618,0
1219,3645,0
1221,3666,0
1231,3697,0
1242,3708,0
1257,3708,0
1278,3699,0
1304,3689,0
1326,3667,1
1452,3556,0
1446,3549,0
1435,3546,0
1416,3548,0
1395,3554,0
1375,3568,0
1358,3581,0
1356,3593,0
1361,3601,0
1377,3608,0
1401,3609,0
1426,3615,0
1450,3625,0
1466,3643,0
1467,3655,0
1459,3677,0
1443,3686,0
1421,3696,0
1395,3699,0
1372,3701,0
1353,3674,1
1539,3622,0
1541,3618,0
1549,3613,0
1561,3603,0
1574,3589,0
1590,3579,0
1601,3561,0
1610,3556,0
1608,3539,0
1601,3537,0
1586,3530,0
1571,3541,0
1551,3552,0
1534,3574,0
1519,3604,0
1512,3633,0
1514,3658,0
1528,3676,0
1544,3677,0
1566,3670,0
1594,3659,0
1619,3635,0
1664,3590,0
1685,3576,0
1703,3572,0
1709,3567,0
1713,3574,0
1712,3578,0
1713,3602,0
1710,3619,0
1714,3660,0
1720,3662,0
1729,3660,0
1744,3653,0
1787,3625,0
1804,3601,0
1820,3593,0
1829,3588,0
1831,3590,0
1833,3607,0
1838,3631,0
1844,3658,0
1860,3658,0
1881,3650,0
1911,3634,1
2079,3556,0
2073,3549,0
2063,3544,0
2044,3537,0
2025,3538,0
2007,3544,0
1994,3551,0
1990,3556,0
1995,3563,0
2007,3568,0
2031,3574,0
2051,3581,0
2072,3592,0
2086,3604,0
2094,3619,0
2091,3632,0
2079,3643,0
2061,3649,0
2038,3655,0
2017,3657,0
1993,3650,1
2159,3590,0
2165,3580,0
2180,3571,0
2200,3565,0
2220,3558,0
2239,3551,0
2255,3546,0
2270,3545,0
2277,3542,0
2279,3542,0
2278,3542,0
2273,3540,0
2262,3530,0
2250,3527,0
2237,3527,0
2220,3524,0
2205,3525,0
2193,3533,0
2182,3549,0
2177,3580,0
2178,3618,0
2185,3641,0
2207,3663,0
2230,3660,0
2259,3655,0
2282,3643,0
2296,3629,0
2302,3623,0
2303,3614,1
2446,3663,0
2432,3668,0
2425,3671,0
2419,3673,0
2414,3671,0
2415,3674,0
2417,3674,0
2429,3679,0
2446,3684,1
2936,3472,0
2923,3491,0
2900,3522,0
2881,3568,0
2859,3612,0
2842,3648,0
2829,3663,0
2828,3669,0
2834,3670,0
2842,3653,0
2856,3627,0
2871,3592,0
2885,3554,1
2908,3486,0
2907,3478,0
2904,3475,0
2906,3479,0
2906,3479,0
2908,3482,0
2919,3498,0
2929,3525,0
2951,3573,0
2963,3607,0
2980,3638,0
2994,3658,0
2999,3664,0
3006,3670,0
3006,3670,0
3000,3669,1
2786,3608,0
2786,3604,0
2794,3600,0
2816,3594,0
2842,3576,0
2881,3560,0
2923,3542,0
2964,3524,0
3005,3506,0
3040,3494,0
3071,3489,0
3091,3487,0
3105,3492,0
3112,3502,0
3113,3520,0
3112,3544,0
3106,3576,0
3104,3604,0
3102,3619,0
3105,3627,0
3109,3625,0
3115,3612,0
3130,3590,0
3151,3554,0
3176,3524,0
3204,3510,0
3220,3510,0
3237,3528,0
3247,3555,0
3255,3588,0
3277,3621,0
3298,3626,0
3317,3619,1
3396,3479,0
3397,3502,0
3405,3541,0
3403,3571,0
3407,3593,1
3400,3427,0
3399,3428,0
3397,3424,0
3397,3425,0
3399,3428,1
3509,3486,0
3509,3506,0
3513,3534,0
3514,3562,0
3516,3585,0
3513,3592,0
3515,3596,0
3519,3592,0
3526,3578,0
3537,3555,0
3556,3527,0
3571,3496,0
3592,3480,0
3613,3479,0
3626,3484,0
3633,3494,0
3633,3513,0
3638,3536,0
3639,3554,0
3643,3566,0
3648,3572,0
3657,3571,0
3673,3564,0
3687,3543,0
3701,3513,0
3721,3486,0
3739,3477,0
3752,3486,0
3754,3506,0
3756,3535,0
3763,3565,0
3778,3583,0
3798,3588,1
3992,3489,0
3982,3476,0
3968,3462,0
3952,3455,0
3937,3457,0
3913,3462,0
3896,3481,0
3878,3508,0
3870,3540,0
3867,3563,0
3876,3576,0
3890,3580,0
3910,3575,0
3937,3567,0
3959,3549,0
3979,3527,0
3991,3505,0
3992,3494,0
3994,3498,0
3993,3514,0
3993,3542,0
3997,3570,0
4008,3591,0
4029,3600,0
4056,3593,1
4117,3397,0
4119,3422,0
4126,3465,0
4125,3504,0
4126,3536,0
4129,3554,0
4133,3561,0
4137,3563,0
4144,3557,1
4325,3441,0
4307,3436,0
4280,3433,0
4258,3438,0
4232,3448,0
4210,3457,0
4195,3467,0
4195,3478,0
4200,3484,0
4217,3490,0
4242,3493,0
4268,3497,0
4294,3505,0
4307,3515,0
4310,3528,0
4302,3541,0
4285,3558,0
4258,3566,0
4231,3575,0
4203,3573,0
4184,3563,1
4435,3580,0
4435,3580,0
4425,3583,0
4412,3607,0
4381,3631,1
4666,3366,0
4668,3370,0
4669,3387,0
4671,3421,0
4667,3460,0
4666,3496,0
4673,3525,0
4669,3534,0
4671,3538,0
4672,3531,0
4681,3515,0
4690,3487,0
4707,3458,0
4725,3437,0
4743,3428,0
4757,3432,0
4768,3444,0
4771,3465,0
4772,3487,0
4782,3512,0
4794,3522,0
4816,3522,0
4840,3508,0
4864,3491,0
4887,3472,1
4877,3465,0
4880,3467,0
4888,3460,0
4897,3448,0
4906,3431,0
4922,3419,0
4935,3404,0
4941,3389,0
4944,3380,0
4935,3373,0
4927,3375,0
4914,3378,0
4897,3392,0
4878,3414,0
4863,3450,0
4861,3495,0
4868,3525,0
4893,3537,0
4921,3531,0
4956,3508,0
4994,3482,1
5264,3383,0
5262,3399,0
5267,3425,0
5266,3453,0
5265,3479,0
5265,3492,0
5266,3491,0
5266,3479,0
5269,3462,1
5265,3329,0
5255,3323,0
5258,3325,0
5250,3329,1
5362,3339,0
5359,3343,0
5364,3356,0
5361,3381,0
5366,3414,0
5366,3441,0
5366,3461,0
5369,3470,0
