mighty and their fall, Gollancz,
657
612,2490,0
605,2493,0
603,2501,0
605,2514,0
609,2535,0
615,2564,0
621,2598,0
622,2630,0
618,2663,0
612,2682,0
606,2689,0
604,2684,0
602,2676,0
600,2659,0
595,2621,0
591,2584,0
591,2543,0
623,2484,0
639,2495,0
655,2519,0
672,2554,0
687,2593,0
697,2627,0
701,2648,0
704,2661,0
709,2654,0
720,2639,0
734,2620,0
748,2586,0
764,2548,0
781,2518,0
796,2507,0
809,2521,0
821,2555,0
834,2601,0
848,2638,0
856,2663,0
866,2684,0
874,2697,1
933,2536,0
933,2552,0
938,2572,0
948,2601,0
958,2634,1
890,2412,0
888,2408,0
889,2405,0
899,2413,0
908,2418,1
1132,2540,0
1133,2540,0
1134,2536,0
1134,2524,0
1132,2512,0
1124,2500,0
1112,2489,0
1095,2492,0
1079,2513,0
1064,2541,0
1054,2589,0
1049,2633,0
1052,2673,0
1060,2693,0
1075,2701,0
1097,2697,0
1121,2676,0
1145,2648,0
1166,2615,0
1177,2579,0
1185,2558,0
1187,2550,0
1189,2554,0
1194,2574,0
1202,2602,0
1216,2637,0
1232,2668,0
1252,2703,0
1271,2738,0
1285,2777,0
1293,2820,0
1283,2849,0
1272,2890,0
1252,2911,0
1235,2929,0
1218,2929,0
1199,2910,1
1296,2362,0
1300,2370,0
1307,2393,0
1318,2432,0
1328,2479,1
1353,2618,0
1353,2638,0
1354,2649,0
1358,2653,0
1360,2644,0
1368,2628,0
1381,2603,0
1394,2564,0
1411,2534,0
1426,2523,0
1435,2531,0
1444,2557,0
1452,2592,0
1457,2620,0
1464,2643,0
1468,2654,1
1503,2376,0
1505,2380,0
1506,2380,0
1512,2395,0
1523,2425,0
1537,2468,0
1552,2518,0
1563,2564,0
1572,2600,0
1577,2627,0
1578,2644,0
1577,2656,0
1574,2656,1
1515,2549,0
1517,2552,0
1519,2548,0
1527,2547,0
1543,2540,0
1567,2527,0
1597,2516,0
1625,2497,1
1677,2485,0
1684,2504,0
1691,2536,0
1698,2571,0
1708,2601,0
1715,2615,0
1727,2629,0
1735,2627,1
1773,2575,0
1789,2545,0
1800,2513,0
1810,2489,0
1821,2485,0
1821,2493,0
1819,2523,0
1812,2572,0
1797,2626,0
1780,2681,0
1759,2733,0
1737,2784,1
2268,2464,1
2251,2396,0
2241,2387,0
2227,2386,0
2205,2392,0
2182,2412,0
2161,2449,0
2144,2493,0
2128,2530,0
2123,2560,0
2128,2578,0
2137,2584,0
2152,2581,0
2176,2575,0
2195,2553,0
2210,2523,0
2219,2492,0
2223,2459,0
2223,2432,0
2225,2432,0
2226,2435,0
2224,2454,0
2228,2488,0
2232,2518,0
2241,2540,0
2252,2552,0
2265,2555,0
2282,2550,0
2296,2535,1
2308,2424,0
2311,2432,0
2308,2446,0
2305,2476,0
2304,2509,0
2304,2536,0
2311,2558,0
2311,2562,0
2312,2562,0
2317,2564,0
2314,2552,0
2314,2534,0
2309,2501,0
