a lady, Collins 21 s. &quot;H D&quot;,
522
897,3928,0
882,3923,0
870,3914,0
860,3899,0
848,3885,0
828,3872,0
805,3862,0
778,3860,0
750,3870,0
721,3892,0
695,3925,0
675,3959,0
660,4010,0
654,4058,0
659,4094,0
672,4119,0
690,4122,0
714,4120,0
738,4102,0
763,4076,0
785,4033,0
803,3995,0
816,3951,0
823,3916,0
826,3892,0
825,3888,0
824,3888,0
823,3900,0
825,3928,0
828,3964,0
837,3997,0
848,4034,0
863,4063,0
878,4083,0
890,4096,0
898,4097,0
904,4088,1
1165,3720,0
1162,3744,0
1158,3780,0
1163,3824,0
1167,3875,0
1175,3923,0
1183,3967,0
1192,4010,0
1198,4047,0
1203,4075,0
1207,4094,0
1208,4094,0
1215,4094,1
1360,3910,0
1363,3902,0
1360,3894,0
1354,3882,0
1343,3871,0
1327,3868,0
1306,3874,0
1282,3895,0
1261,3928,0
1248,3973,0
1242,4009,0
1245,4041,0
1257,4061,0
1274,4076,0
1294,4082,0
1315,4077,0
1334,4064,0
1348,4047,0
1358,4019,0
1361,3990,0
1362,3958,0
1362,3934,0
1363,3918,0
1364,3918,0
1364,3918,0
1368,3933,0
1377,3964,0
1389,4000,0
1404,4035,0
1418,4058,0
1435,4080,0
1449,4083,0
1464,4078,1
1590,3882,0
1576,3884,0
1553,3882,0
1534,3896,0
1513,3916,0
1497,3937,0
1486,3971,0
1479,4003,0
1481,4039,0
1488,4063,0
1499,4074,0
1511,4073,0
1525,4059,0
1539,4037,0
1549,3995,0
1557,3955,0
1560,3906,1
1554,3781,0
1551,3758,0
1549,3742,0
1548,3734,0
1549,3738,0
1553,3746,0
1562,3768,0
1575,3811,0
1590,3857,0
1608,3911,0
1624,3966,0
1638,4004,0
1653,4034,0
1664,4048,0
1676,4056,0
1685,4053,0
1693,4036,0
1701,4011,0
1703,3974,0
1707,3941,0
1709,3912,0
1708,3892,0
1708,3892,0
1709,3892,0
1713,3907,0
1722,3935,0
1734,3969,0
1751,4002,0
1766,4024,0
1783,4041,0
1800,4050,0
1816,4047,0
1829,4033,0
1839,4005,0
1851,3979,0
1862,3944,0
1874,3921,0
1879,3904,0
1879,3900,0
1880,3904,0
1879,3928,0
1874,3966,0
1872,4024,0
1865,4078,0
1860,4133,0
1855,4186,0
1848,4232,0
1841,4275,1
2065,4049,0
2067,4053,0
2070,4069,0
2069,4102,0
2060,4137,0
2045,4166,0
2026,4191,0
2009,4219,0
1990,4232,1
2640,3743,0
