bid me to live, Grove press,
581
735,4435,0
733,4442,0
731,4462,0
733,4487,0
735,4519,0
737,4559,0
740,4599,0
745,4636,0
750,4672,0
759,4705,0
760,4725,0
768,4750,0
769,4758,1
724,4671,0
719,4659,0
716,4649,0
718,4637,0
724,4630,0
740,4620,0
765,4610,0
796,4603,0
827,4606,0
859,4615,0
884,4628,0
902,4653,0
911,4685,0
911,4717,0
900,4741,0
878,4760,0
848,4775,0
809,4788,0
767,4789,0
723,4787,0
689,4784,0
665,4770,0
652,4753,0
649,4732,0
654,4712,1
919,4582,0
923,4589,0
928,4606,0
940,4630,0
950,4659,0
960,4683,0
965,4703,0
972,4723,0
972,4735,1
913,4454,0
915,4457,0
918,4461,0
926,4469,0
934,4478,0
945,4487,0
957,4495,0
967,4495,0
977,4500,1
1238,4661,0
1235,4657,0
1235,4661,0
1232,4658,0
1220,4646,0
1206,4643,0
1187,4639,0
1166,4643,0
1141,4648,0
1118,4664,0
1100,4688,0
1088,4716,0
1082,4744,0
1083,4768,0
1092,4788,0
1105,4804,0
1123,4816,0
1140,4812,0
1158,4804,0
1170,4784,0
1181,4751,0
1187,4715,0
1190,4671,0
1189,4623,0
1187,4579,0
1182,4539,0
1177,4507,0
1173,4479,0
1170,4460,0
1170,4456,0
1170,4451,0
1170,4455,0
1177,4468,0
1189,4503,0
1200,4538,0
1214,4587,0
1228,4630,0
1239,4673,0
1250,4713,0
1262,4745,0
1274,4768,0
1286,4788,0
1294,4795,0
1301,4795,0
1308,4791,1
1561,4582,0
1563,4587,0
1563,4587,0
1569,4594,0
1575,4609,0
1582,4632,0
1589,4656,0
1594,4679,0
1597,4699,0
1599,4715,0
1598,4723,0
1599,4727,0
1598,4723,0
1598,4719,0
1594,4707,0
1590,4688,0
1585,4660,0
1583,4632,0
1586,4608,0
1597,4587,0
1611,4568,0
1631,4554,0
1651,4551,0
1672,4560,0
1690,4583,0
1705,4613,0
1719,4643,0
1728,4673,0
1727,4698,0
1727,4710,0
1725,4714,0
1727,4719,0
1728,4714,0
1726,4698,0
1727,4674,0
1734,4641,0
1742,4612,0
1752,4586,0
1765,4572,0
1775,4561,0
1785,4564,0
1796,4574,0
1809,4597,0
1821,4623,0
1835,4653,0
1846,4671,0
1859,4685,0
1872,4692,0
1890,4693,0
1911,4688,0
1935,4672,0
1955,4652,0
1976,4623,0
1990,4591,0
1997,4561,0
1996,4541,0
1990,4531,0
1980,4532,0
1966,4539,0
1949,4559,0
1937,4590,0
1935,4628,0
1942,4654,0
1960,4675,0
1990,4698,0
2026,4711,0
2064,4715,0
2102,4715,0
2139,4702,1
2333,4353,0
2329,4358,0
2333,4382,0
2345,4416,0
2356,4454,0
2371,4500,0
2386,4550,0
2399,4592,0
2409,4635,0
2414,4666,0
2419,4694,0
2420,4711,0
2419,4715,1
2285,4637,0
2281,4638,0
2287,4640,0
2306,4627,0
2338,4618,0
2380,4610,0
2423,4601,0
2461,4594,1
2577,4568,0
2564,4569,0
2539,4568,0
2513,4582,0
2486,4607,0
2463,4635,0
2456,4666,0
2459,4690,0
2478,4705,0
2509,4717,0
2547,4717,0
2589,4708,0
2629,4695,0
2656,4677,0
2665,4649,0
2666,4626,0
2659,4603,0
2652,4589,0
2643,4576,0
2638,4568,1
2951,4432,0
2951,4462,0
2952,4506,0
2958,4550,0
2972,4602,0
2988,4642,0
3008,4673,0
3029,4699,0
3050,4712,0
3071,4711,0
3094,4696,0
3117,4677,0
3132,4644,1
3150,4561,0
3147,4554,0
3149,4558,0
3151,4560,0
3157,4579,0
3170,4608,0
3187,4642,0
3202,4664,0
3214,4681,0
3223,4694,0
3223,4690,0
3221,4682,1
3119,4416,0
3120,4415,0
3122,4415,0
3127,4418,0
3135,4426,1
3221,4536,0
3224,4556,0
3229,4581,0
3240,4606,0
3257,4638,0
3275,4669,0
3291,4693,0
3304,4714,0
3313,4727,0
3319,4733,0
3320,4732,0
3321,4732,0
3322,4731,0
3321,4714,0
3324,4690,0
3327,4653,0
3333,4618,0
3346,4594,0
3356,4571,0
3364,4553,0
3371,4545,0
3375,4543,0
3378,4546,0
3376,4543,0
3379,4541,1
3436,4691,0
3436,4692,0
3437,4691,0
3441,4688,0
3448,4685,0
3460,4683,0
3470,4669,0
3486,4661,0
3501,4648,0
3508,4630,0
3518,4620,0
3522,4604,0
3525,4589,0
3524,4576,0
3525,4571,0
3515,4562,0
3511,4569,0
3495,4574,0
3477,4593,0
3460,4620,0
3448,4654,0
3444,4683,0
3446,4705,0
3457,4721,0
3479,4741,0
3504,4751,0
3533,4753,0
3565,4754,0
3597,4750,1
3756,4692,0
3756,4705,0
3754,4726,0
3753,4754,0
3749,4789,1
4443,4374,0
4430,4368,0
4411,4367,0
4388,4371,0
4355,4381,1
4276,4422,0
4237,4455,0
4205,4493,0
4188,4536,0
4184,4572,0
4199,4606,0
4222,4634,0
4256,4659,0
4298,4678,0
4343,4685,0
4384,4685,0
4420,4678,1
4358,4525,0
4359,4530,0
4365,4530,0
4381,4528,0
4403,4531,0
4431,4546,0
4457,4565,0
4483,4596,0
4501,4627,0
4518,4655,0
4533,4673,0
4548,4682,0
4563,4685,0
4580,4682,0
4592,4669,0
4602,4650,0
4608,4630,0
4614,4616,0
4611,4608,0
4613,4611,0
4613,4617,0
4623,4634,0
4633,4652,0
4640,4661,0
4649,4674,0
4649,4674,0
4641,4661,0
4630,4637,0
4616,4613,0
4602,4584,0
4584,4562,0
4572,4546,0
4555,4535,0
4550,4528,0
4551,4527,0
4553,4521,0
4565,4517,0
4585,4510,0
4617,4505,1
4821,4533,0
4822,4532,0
4818,4531,0
4817,4531,0
4804,4531,0
4777,4533,0
4753,4543,0
4729,4568,0
4709,4596,0
4698,4630,0
4698,4657,0
4714,4678,0
4738,4690,0
4772,4688,0
4815,4679,0
4876,4638,0
4888,4611,0
4890,4584,0
4888,4565,0
4876,4549,0
4856,4539,0
4838,4535,0
4818,4535,0
4807,4534,1
4886,4514,0
4895,4521,0
4899,4529,0
4906,4548,0
4917,4571,0
4929,4597,0
4936,4623,0
4951,4647,0
4958,4667,0
4967,4681,0
4973,4693,0
4977,4700,0
4977,4700,0
4975,4695,0
4978,4693,0
4980,4675,0
4982,4647,0
4986,4611,0
4995,4577,0
5002,4544,0
5014,4517,0
5020,4501,0
5020,4490,0
5021,4489,0
5021,4489,1
5050,4661,0
5055,4662,0
5062,4657,0
5078,4642,0
5094,4623,0
5114,4599,0
5132,4577,0
5139,4554,0
5144,4533,0
5141,4514,0
5138,4506,0
5132,4501,0
5118,4503,0
5099,4515,0
5083,4536,0
5071,4563,0
5061,4589,0
5061,4616,0
5069,4640,0
5081,4661,0
5108,4680,0
5142,4693,0
5177,4699,0
5215,4702,0
5248,4698,0
5275,4695,0
5289,4694,0
5297,4692,0
5300,4689,1
5532,4582,0
5537,4582,0
5535,4579,0
5538,4581,0
5537,4582,0
5539,4586,0
5546,4601,0
5549,4627,0
5552,4657,0
5549,4688,0
5552,4724,0
5557,4758,0
5561,4794,0
5570,4830,0
5579,4859,0
5587,4891,0
5593,4914,1
5425,4570,0
5424,4548,0
5426,4523,0
5437,4495,0
5463,4473,0
5496,4463,0
5530,4458,0
5569,4468,0
5608,4485,0
5641,4509,0
5670,4543,0
5690,4579,0
5695,4609,0
5697,4635,0
5689,4654,0
5667,4666,0
5640,4671,0
5610,4673,0
5576,4667,0
5549,4655,0
5525,4639,1
5702,4509,0
5715,4517,0
5727,4535,0
5737,4553,0
5750,4580,0
5763,4606,0
5777,4633,0
5781,4652,0
5787,4669,0
5783,4672,0
5783,4673,0
5783,4672,0
5782,4662,0
5779,4649,0
5775,4624,0
5764,4599,0
5755,4574,0
5748,4559,0
5747,4549,0
5749,4540,0
5753,4530,0
5764,4523,0
5786,4518,0
5808,4512,0
5833,4508,0
5859,4509,0
5879,4512,0
5890,4517,0
5897,4528,1
5909,4668,0
5910,4667,0
5915,4661,0
5929,4652,0
5948,4637,0
5963,4614,0
5974,4584,0
5984,4562,0
5984,4544,0
5976,4534,0
5969,4531,0
5962,4533,0
5947,4542,0
5930,4562,0
5920,4591,0
5913,4616,0
5916,4637,0
5928,4659,0
5950,4677,0
5978,4693,0
6010,4700,1
6177,4560,0
6174,4546,0
6171,4536,0
6165,4531,0
6150,4530,0
6130,4535,0
6104,4541,0
6083,4552,0
6075,4562,0
6076,4573,0
6085,4587,0
6095,4600,0
6116,4618,0
6141,4633,0
6165,4647,0
6187,4664,0
6203,4682,0
6203,4695,0
6202,4707,0
6190,4710,0
6180,4714,0
6158,4709,0
6133,4701,0
6107,4688,0
6085,4677,1
6345,4542,0
6344,4543,0
6341,4541,0
6334,4541,0
6323,4543,0
6306,4551,0
6291,4556,0
6278,4565,0
6275,4575,0
6277,4584,0
6288,4596,0
6305,4607,0
6334,4624,0
6358,4638,0
6387,4660,0
6404,4676,0
6422,4698,0
6424,4714,0
6423,4723,0
6413,4729,0
6395,4729,0
6375,4729,0
6353,4724,0
6326,4712,0
6305,4700,1
6548,4698,0
6550,4702,0
6553,4705,0
6561,4719,0
6576,4745,0
6580,4772,0
6573,4804,0
6552,4835,0
6515,4861,1
