ways of thought were, however,
565
1125,3748,0
1125,3748,0
1125,3748,0
1126,3748,0
1131,3756,0
1136,3772,0
1143,3784,0
1149,3800,0
1155,3819,0
1161,3832,0
1167,3839,0
1168,3839,0
1168,3839,0
1170,3835,0
1174,3815,0
1178,3795,0
1187,3775,0
1198,3763,0
1205,3759,0
1210,3762,0
1216,3785,0
1222,3810,0
1231,3833,0
1243,3841,0
1260,3843,0
1278,3827,0
1298,3810,0
1314,3777,0
1329,3752,0
1341,3723,0
1353,3710,0
1361,3701,0
1370,3705,1
1442,3722,0
1433,3719,0
1422,3724,0
1410,3733,0
1398,3742,0
1387,3759,0
1375,3781,0
1369,3801,0
1368,3817,0
1370,3825,0
1380,3828,0
1392,3819,0
1403,3807,0
1414,3793,0
1423,3776,0
1432,3759,0
1440,3747,0
1449,3734,0
1452,3729,0
1454,3733,0
1452,3737,0
1449,3758,0
1445,3778,0
1443,3786,0
1448,3794,1
1527,3761,0
1527,3765,0
1532,3776,0
1541,3788,0
1550,3798,0
1561,3813,0
1573,3831,0
1584,3846,0
1592,3861,0
1597,3872,0
1601,3876,0
1600,3868,0
1599,3848,1
1630,3751,0
1632,3754,0
1629,3759,0
1623,3776,0
1613,3793,0
1602,3819,0
1587,3842,0
1570,3868,0
1561,3898,0
1549,3920,0
1544,3932,0
1541,3933,1
1787,3699,0
1778,3704,0
1766,3706,0
1753,3725,0
1745,3739,0
1740,3748,0
1744,3764,0
1750,3771,0
1759,3785,0
1766,3793,0
1773,3803,0
1773,3811,0
1770,3816,0
1759,3830,0
1740,3837,0
1722,3845,0
1709,3847,1
2229,3811,0
2227,3812,0
2225,3809,0
2222,3801,0
2217,3790,0
2216,3778,0
2217,3765,0
2222,3752,0
2232,3744,0
2241,3732,0
2256,3728,0
2271,3726,0
2288,3729,0
2301,3733,0
2309,3747,0
2308,3764,0
2301,3788,0
2286,3806,0
2270,3819,0
2253,3829,0
2231,3827,0
2216,3819,0
2210,3797,0
2221,3776,0
2240,3757,1
2515,3609,0
2513,3606,0
2508,3604,0
2498,3604,0
2485,3609,0
2472,3627,0
2458,3650,0
2446,3676,0
2441,3716,0
2438,3760,0
2437,3804,0
2434,3843,0
2437,3880,0
2441,3909,0
2443,3925,0
2446,3933,0
2448,3931,1
2400,3771,0
2399,3766,0
2407,3763,0
2420,3759,0
2435,3753,0
2453,3751,0
2474,3751,0
2495,3747,0
2518,3742,1
3098,3609,0
3095,3610,0
3096,3624,0
3093,3640,0
3093,3662,0
3091,3687,0
3091,3713,0
3094,3740,0
3094,3763,0
3092,3782,0
3091,3797,0
3086,3799,0
3078,3794,1
3024,3696,0
3031,3697,0
3046,3698,0
3061,3699,0
3073,3696,0
3086,3699,0
3097,3696,0
3107,3696,0
3115,3691,1
3202,3621,0
3199,3626,0
3204,3647,0
3202,3672,0
3197,3694,0
3196,3722,0
3192,3738,0
3192,3748,0
3194,3751,0
3201,3747,0
3214,3735,0
3232,3720,0
3246,3706,0
3262,3701,0
3270,3706,0
3274,3717,0
3274,3736,0
3271,3756,0
3263,3765,0
3267,3773,0
3269,3767,1
3427,3724,0
3426,3725,0
3422,3718,0
3413,3714,0
3403,3715,0
3385,3718,0
3370,3727,0
3360,3743,0
3351,3759,0
3346,3771,0
3350,3783,0
3358,3787,0
3378,3788,0
3401,3788,0
