terms of its having been, at one time,
765
586,6594,0
581,6593,0
578,6593,0
572,6596,0
569,6608,0
562,6628,0
555,6655,0
546,6690,0
542,6727,0
537,6770,0
537,6809,0
538,6850,0
548,6883,0
557,6916,0
570,6937,0
583,6950,0
598,6951,0
612,6952,0
621,6940,0
626,6921,0
627,6889,1
481,6765,0
486,6761,0
500,6767,0
525,6769,0
552,6771,0
580,6773,0
608,6775,0
634,6773,0
659,6770,1
719,6782,0
721,6775,0
731,6763,0
738,6747,0
746,6727,0
745,6720,0
742,6708,0
733,6703,0
723,6703,0
707,6717,0
692,6729,0
680,6752,0
673,6772,0
672,6792,0
680,6812,0
695,6833,0
714,6846,0
734,6860,0
755,6860,0
774,6857,0
790,6838,1
813,6723,0
810,6727,0
810,6731,0
810,6751,0
809,6775,0
813,6799,0
815,6819,0
818,6835,0
824,6839,0
827,6835,0
832,6823,0
834,6804,0
838,6771,0
837,6744,0
837,6724,0
838,6712,0
838,6708,0
837,6708,0
837,6712,0
840,6724,0
848,6744,0
856,6761,0
868,6773,0
880,6781,0
902,6778,0
925,6766,0
945,6751,0
958,6739,0
970,6727,0
975,6727,0
977,6732,0
975,6747,0
974,6768,0
972,6791,0
973,6807,0
977,6819,0
989,6816,0
1001,6804,0
1019,6784,0
1034,6756,0
1050,6732,0
1062,6712,0
1068,6708,0
1066,6708,0
1067,6712,0
1067,6724,0
1068,6744,0
1069,6772,0
1076,6796,0
1083,6812,0
1094,6821,0
1103,6824,0
1116,6816,0
1127,6796,0
1137,6772,0
1150,6748,0
1158,6720,0
1167,6704,0
1172,6695,0
1174,6695,0
1174,6700,0
1175,6720,0
1180,6747,0
1186,6771,0
1199,6795,0
1214,6815,0
1235,6822,0
1258,6822,0
1279,6805,1
1377,6677,0
1375,6677,0
1368,6678,0
1360,6678,0
1345,6687,0
1332,6691,0
1321,6700,0
1317,6708,0
1318,6720,0
1325,6728,0
1336,6735,0
1352,6751,0
1368,6762,0
1382,6773,0
1394,6785,0
1403,6796,0
1405,6812,0
1401,6824,0
1392,6833,0
1381,6838,0
1365,6842,1
1790,6701,0
1787,6702,0
1785,6702,0
1780,6703,0
1774,6699,0
1763,6700,0
1754,6710,0
1743,6723,0
1736,6736,0
1733,6751,0
1738,6763,0
1748,6770,0
1760,6770,0
1771,6764,0
1780,6747,0
1785,6730,0
1789,6710,0
1788,6690,0
1785,6674,0
1779,6659,0
1775,6655,0
1771,6651,0
1773,6655,0
1776,6663,0
1785,6674,1
1866,6596,0
1865,6597,0
1865,6597,0
1865,6597,0
1865,6596,0
1869,6596,0
1882,6590,0
1889,6577,0
1896,6560,0
1899,6540,0
1901,6523,0
1899,6511,0
1893,6512,0
1884,6517,0
1872,6539,0
1862,6572,0
1852,6614,0
1848,6663,0
1849,6715,0
1856,6763,0
1863,6802,0
1874,6829,0
1882,6844,0
1887,6843,1
1829,6710,0
1830,6710,0
1843,6708,0
1869,6700,0
1902,6697,1
2156,6594,0
2152,6595,0
2149,6600,0
2142,6606,0
2139,6614,0
2133,6631,0
2128,6652,0
2125,6677,0
2126,6696,0
2132,6720,0
2143,6730,0
2158,6732,0
2178,6732,1
2159,6488,0
2160,6488,0
2162,6484,0
2171,6478,0
2182,6472,1
2283,6483,0
2279,6491,0
2274,6500,0
2269,6514,0
2266,6531,0
2263,6551,0
2264,6571,0
2267,6599,0
2272,6627,0
2282,6657,0
2295,6684,0
2311,6705,0
2328,6722,0
2344,6732,0
2362,6741,0
2372,6739,0
2381,6729,1
2265,6600,0
2269,6603,0
2282,6605,0
2304,6604,0
2329,6604,1
2446,6589,0
2448,6584,0
2459,6581,0
2474,6579,0
2489,6571,0
2504,6572,0
2517,6577,0
2527,6591,0
2536,6605,0
2540,6621,0
2543,6641,0
2545,6660,0
2548,6676,0
2545,6690,0
2545,6702,0
2541,6707,0
2538,6712,0
2534,6717,0
2527,6722,0
2518,6724,0
2506,6722,0
2498,6720,0
2489,6718,0
2483,6711,0
2481,6699,1
2859,6673,0
2859,6673,0
2859,6673,0
2859,6669,0
2861,6656,0
2866,6638,0
2871,6616,0
2878,6585,0
2883,6555,0
2888,6524,0
2892,6493,0
2895,6468,0
2898,6450,0
2898,6446,0
2901,6453,0
2901,6466,0
2900,6491,0
2901,6524,0
2899,6563,0
2898,6609,0
2899,6646,0
2900,6670,0
2904,6682,0
2912,6683,0
2921,6672,0
2930,6653,0
2939,6626,0
2952,6597,0
2962,6573,0
2975,6557,0
2981,6547,0
2987,6545,0
2994,6551,0
3000,6570,0
3003,6594,0
3008,6626,0
3014,6654,1
3153,6543,0
3146,6546,0
3140,6543,0
3132,6542,0
3122,6541,0
3112,6548,0
3100,6556,0
3091,6567,0
3086,6586,0
3083,6607,0
3079,6630,0
3084,6649,0
3086,6665,0
3093,6676,0
3099,6678,0
3106,6676,0
3115,6669,0
3122,6650,0
3127,6627,0
3130,6601,0
3131,6575,0
3129,6559,0
3128,6547,0
3126,6543,0
3123,6541,0
3123,6545,0
3125,6557,0
3127,6577,0
3133,6596,0
3138,6623,0
3146,6647,0
3156,6664,0
3165,6682,0
3175,6688,0
3185,6685,0
3196,6673,0
3206,6657,0
3217,6628,0
3226,6599,0
3231,6577,0
3236,6562,0
3235,6554,0
3234,6554,0
3232,6559,0
3229,6569,0
3228,6590,0
3226,6616,0
3230,6644,0
3238,6667,0
3251,6684,0
3264,6692,0
3278,6683,0
3292,6674,0
3305,6648,0
3320,6618,0
3324,6587,0
3327,6560,0
3325,6540,0
3327,6527,0
3329,6517,0
3331,6504,1
3370,6541,0
3370,6546,0
3368,6546,0
3368,6550,0
3370,6558,0
3372,6575,0
3370,6592,0
3372,6609,0
3370,6626,0
3374,6642,0
3382,6647,0
3380,6640,0
3383,6621,1
3370,6427,0
3368,6418,0
3362,6408,0
3360,6408,1
3413,6508,0
3413,6521,0
3413,6538,0
3412,6551,0
3417,6575,0
3417,6596,0
3425,6619,0
3428,6635,0
3438,6644,0
3440,6643,0
3445,6637,0
3451,6618,0
3456,6591,0
3459,6568,0
3461,6546,0
3467,6531,0
3467,6527,0
3471,6525,0
3471,6529,0
3472,6551,0
3481,6573,0
3490,6591,0
3501,6604,0
3521,6613,0
3543,6613,1
3589,6519,0
3582,6517,0
3573,6517,0
3563,6520,0
3557,6527,0
3550,6529,0
3548,6534,0
3548,6539,0
3551,6537,0
3559,6543,0
3568,6544,0
3573,6541,0
3585,6546,0
3591,6552,0
3595,6568,0
3600,6587,0
3602,6616,0
3600,6652,0
3595,6683,0
3591,6719,0
3588,6746,0
3581,6774,0
3573,6790,0
3565,6802,0
3553,6802,0
3536,6795,0
3519,6785,0
3502,6765,1
3837,6593,0
3841,6596,0
3841,6592,0
3846,6585,0
3853,6569,0
3860,6544,0
3867,6519,0
3878,6488,0
3889,6461,0
3898,6436,0
