The comma, the full stop,
459
1208,3766,0
1206,3766,0
1204,3766,0
1203,3766,0
1201,3771,0
1199,3774,0
1198,3787,0
1196,3814,0
1194,3847,0
1195,3887,0
1196,3927,0
1199,3963,0
1200,3991,0
1200,4007,0
1200,4011,0
1201,4010,0
1201,3998,1
1080,3785,0
1090,3777,0
1112,3773,0
1143,3768,0
1183,3751,0
1225,3742,0
1263,3732,0
1295,3726,0
1323,3724,1
1365,3729,0
1361,3741,0
1363,3761,0
1365,3789,0
1370,3821,0
1379,3860,0
1389,3900,0
1395,3928,0
1400,3951,0
1404,3966,0
1406,3971,0
1410,3971,0
1420,3961,0
1434,3948,0
1449,3922,0
1466,3896,0
1485,3879,0
1501,3868,0
1515,3863,0
1525,3861,0
1536,3869,0
1544,3880,0
1551,3899,0
1558,3922,0
1564,3950,0
1568,3965,0
1573,3969,0
1577,3968,0
1581,3964,1
1631,3928,0
1635,3928,0
1646,3930,0
1662,3928,0
1682,3921,0
1703,3909,0
1720,3894,0
1734,3884,0
1745,3877,0
1746,3865,0
1746,3861,0
1738,3855,0
1722,3845,0
1701,3848,0
1674,3857,0
1650,3873,0
1631,3888,0
1623,3909,0
1623,3925,0
1630,3940,0
1647,3959,0
1674,3978,0
1706,3986,0
1746,3983,0
1783,3968,1
2272,3870,0
2265,3867,0
2254,3866,0
2239,3867,0
2218,3874,0
2190,3882,0
2158,3900,0
2137,3923,0
2123,3947,0
2117,3965,0
2123,3981,0
2137,3988,0
2166,3998,0
2198,3993,0
2237,3976,0
2277,3956,0
2316,3939,1
2516,3854,0
2503,3855,0
2486,3862,0
2459,3863,0
2434,3877,0
2412,3898,0
2388,3918,0
2372,3950,0
2367,3977,0
2377,3995,0
2396,3997,0
2425,3983,0
2451,3956,0
2475,3930,0
2488,3908,0
2490,3891,0
2483,3884,0
2468,3877,0
2452,3875,0
2444,3873,0
2441,3870,1
2594,3858,0
2592,3859,0
2594,3867,0
2595,3875,0
2597,3891,0
2601,3915,0
2607,3939,0
2618,3957,0
2625,3958,0
2641,3964,0
2651,3951,0
2671,3938,0
2686,3911,0
2709,3887,0
2731,3873,0
2746,3866,0
2755,3867,0
2760,3870,0
2765,3880,0
2775,3906,0
2781,3925,0
2789,3940,0
2799,3947,0
2810,3942,0
2827,3935,0
2846,3918,0
2868,3899,0
2891,3878,0
2917,3861,0
2936,3847,0
2955,3836,0
2973,3837,0
2986,3844,0
2996,3860,0
3003,3880,0
3011,3907,0
3016,3923,0
3025,3930,0
3036,3930,0
3045,3921,0
3058,3909,1
3132,3824,0
3134,3836,0
3130,3847,0
3129,3866,0
3132,3892,0
3133,3919,0
3141,3938,0
