the stop, the colon, and
386
1228,4354,0
1223,4374,0
1225,4402,0
1230,4446,0
1233,4502,0
1234,4570,0
1238,4633,0
1236,4673,0
1237,4685,1
1171,4587,0
1172,4588,0
1175,4587,0
1187,4591,0
1209,4594,0
1233,4590,0
1252,4573,0
1271,4553,1
1359,4371,0
1358,4375,0
1358,4379,0
1360,4395,0
1362,4423,0
1366,4467,0
1370,4523,0
1371,4571,0
1371,4615,0
1375,4638,0
1381,4646,0
1392,4642,0
1408,4625,0
1429,4606,0
1455,4576,0
1483,4542,0
1506,4524,0
1527,4521,0
1540,4524,0
1553,4539,0
1561,4562,0
1566,4589,0
1573,4618,0
1578,4628,0
1587,4628,1
1647,4620,0
1649,4628,0
1656,4635,0
1662,4630,0
1675,4629,0
1693,4623,0
1713,4608,0
1732,4588,0
1746,4570,0
1754,4557,0
1760,4548,0
1756,4536,0
1746,4522,0
1732,4520,0
1712,4527,0
1689,4538,0
1667,4558,0
1655,4574,0
1648,4596,0
1653,4620,0
1664,4642,0
1689,4659,0
1724,4658,0
1765,4652,0
1803,4638,1
2277,4577,0
2280,4579,0
2278,4576,0
2275,4574,0
2265,4567,0
2250,4563,0
2230,4556,0
2205,4554,0
2186,4563,0
2174,4574,0
2168,4580,0
2172,4587,0
2181,4594,0
2197,4602,0
2217,4609,0
2238,4616,0
2258,4623,0
2267,4630,0
2268,4633,0
2259,4647,0
2239,4657,0
2219,4671,0
2198,4680,0
2176,4681,0
2154,4678,1
2349,4389,0
2347,4398,0
2347,4415,0
2354,4451,0
2359,4504,0
2361,4557,0
2372,4620,0
2381,4673,0
2384,4700,0
2388,4712,0
2387,4707,0
2380,4693,0
2368,4671,1
2335,4598,0
2334,4598,0
2338,4597,0
2352,4597,0
2370,4591,0
2391,4582,0
2412,4562,0
2432,4548,1
2569,4567,0
2571,4566,0
2570,4567,0
2557,4558,0
2536,4553,0
2510,4562,0
2492,4584,0
2478,4605,0
2473,4640,0
2482,4675,0
2500,4686,0
2530,4681,0
2564,4666,0
2585,4642,0
2591,4611,0
2588,4577,0
2580,4551,0
2572,4541,0
2565,4539,0
2558,4541,0
2555,4547,1
2673,4539,0
2674,4548,0
2672,4553,0
2676,4577,0
2681,4613,0
2690,4664,0
2700,4716,0
2707,4760,0
2712,4788,1
2654,4559,0
2661,4552,0
2668,4545,0
2686,4538,0
2714,4532,0
2748,4533,0
2774,4531,0
2792,4541,0
2795,4553,0
2797,4577,0
2784,4591,0
2772,4613,0
2753,4620,0
2730,4625,0
2701,4614,0
2673,4603,0
2652,4585,1
