groups, called quires, and the
401
955,3082,0
945,3074,0
940,3061,0
930,3052,0
916,3056,0
900,3067,0
881,3090,0
867,3117,0
861,3136,0
860,3136,0
869,3137,0
881,3122,0
966,3107,0
966,3146,0
962,3194,0
950,3238,0
935,3269,0
917,3293,0
900,3303,0
885,3307,0
873,3310,0
862,3297,0
861,3257,0
873,3214,0
895,3183,0
925,3149,1
1048,3036,0
1055,3040,0
1060,3061,0
1061,3081,0
1061,3097,0
1061,3104,0
1060,3105,0
1061,3105,0
1065,3093,0
1071,3073,0
1083,3061,0
1093,3049,0
1107,3048,0
1117,3045,0
1132,3048,0
1150,3044,1
1215,3042,0
1213,3034,0
1209,3042,0
1199,3054,0
1189,3075,0
1179,3095,0
1172,3119,0
1172,3127,0
1179,3127,0
1194,3118,0
1207,3102,0
1220,3081,0
1228,3057,0
1232,3040,0
1230,3025,0
1228,3017,1
1280,3022,0
1278,3042,0
1278,3066,0
1281,3077,0
1290,3086,0
1303,3084,0
1315,3083,0
1325,3074,0
1334,3065,0
1344,3052,0
1353,3043,0
1357,3035,0
1359,3039,0
1360,3047,0
1362,3059,0
1364,3062,0
1369,3054,1
1460,3068,0
1457,3100,0
1455,3141,0
1452,3170,0
1447,3179,0
1443,3171,0
1445,3154,0
1452,3125,0
1469,3091,0
1519,3047,0
1544,3039,0
1561,3033,0
1566,3036,0
1561,3036,0
1553,3049,0
1539,3056,0
1525,3062,0
1513,3060,1
1703,2980,0
1703,2980,0
1697,2978,0
1691,2983,0
1680,2994,0
1674,3011,0
1668,3033,0
1665,3054,0
1657,3076,0
1650,3090,0
1646,3103,0
1639,3104,0
1629,3105,1
1734,3072,0
1746,3093,0
1741,3132,0
1726,3168,0
1706,3197,1
2190,3011,0
2176,3012,0
2160,3018,0
2147,3033,0
2141,3052,0
2143,3081,0
2145,3098,0
2150,3107,0
2161,3104,1
2287,3041,0
2297,3033,0
2304,3026,0
2300,3018,0
2291,3018,0
2279,3027,0
2265,3051,0
2244,3072,0
