One thing, however, all modern
610
979,3299,0
972,3306,0
964,3303,0
955,3298,0
945,3290,0
935,3278,0
925,3265,0
916,3245,0
909,3216,0
907,3180,0
909,3140,0
915,3100,0
928,3061,0
946,3018,0
969,2987,0
994,2963,0
1020,2948,0
1049,2945,0
1076,2953,0
1100,2976,0
1114,3016,0
1116,3064,0
1106,3112,0
1088,3160,0
1065,3217,0
1039,3257,0
1016,3280,0
991,3287,0
968,3298,1
1190,3071,0
1184,3086,0
1182,3111,0
1182,3143,0
1179,3191,0
1175,3235,0
1172,3264,0
1173,3267,0
1179,3263,0
1189,3247,0
1205,3210,0
1223,3161,0
1247,3124,0
1271,3094,0
1295,3085,0
1310,3080,0
1320,3099,0
1322,3131,0
1323,3187,0
1322,3235,0
1323,3263,0
1325,3271,0
1331,3267,0
1336,3246,0
1345,3221,1
1452,3206,0
1455,3209,0
1462,3209,0
1476,3203,0
1494,3188,0
1508,3154,0
1518,3116,0
1496,3050,0
1474,3066,0
1445,3094,0
1418,3146,0
1394,3212,0
1389,3281,0
1394,3325,0
1408,3344,0
1429,3345,0
1460,3338,0
1498,3308,0
1545,3266,1
1766,2933,0
1765,2950,0
1765,2978,0
1764,3020,0
1758,3070,0
1754,3137,0
1750,3199,0
1752,3248,0
1754,3281,0
1756,3300,0
1756,3300,0
1756,3288,0
1751,3252,1
1690,3094,0
1693,3098,0
1708,3098,0
1732,3100,0
1759,3103,0
1787,3105,0
1815,3102,0
1839,3096,0
1854,3080,1
1892,2953,0
1889,2982,0
1888,3021,0
1887,3075,0
1884,3133,0
1880,3188,0
1874,3227,0
1873,3247,0
1874,3248,0
1882,3238,0
1889,3211,0
1899,3171,0
1918,3136,0
1937,3114,0
1952,3115,0
1961,3128,0
1966,3160,0
1970,3204,0
1971,3246,0
1973,3274,0
1976,3282,1
2089,3091,0
2090,3095,0
2091,3095,0
2090,3104,0
2090,3134,0
2087,3176,0
2083,3228,0
2076,3272,0
2072,3303,0
2072,3312,0
2074,3298,0
2084,3269,0
2089,3218,1
2133,2973,0
2133,2973,0
2133,2973,0
2137,2981,0
2140,2996,0
2144,3008,0
2146,3016,0
2149,3028,0
2149,3032,1
2157,3254,0
2149,3266,0
2147,3266,0
2147,3262,0
2148,3248,0
2151,3223,0
2154,3191,0
2158,3152,0
2163,3120,0
2171,3095,0
2183,3078,0
2198,3068,0
2217,3070,0
2231,3077,0
2246,3101,0
2247,3135,0
2246,3183,0
2244,3230,0
2241,3257,0
2240,3271,0
2242,3270,1
2423,3109,0
2422,3109,0
2417,3102,0
2408,3093,0
2393,3086,0
2375,3095,0
2357,3116,0
2336,3146,0
2318,3193,0
2305,3241,0
2308,3279,0
2314,3294,0
2325,3293,0
2341,3287,0
2356,3268,0
2372,3240,0
2387,3203,0
2400,3163,0
2412,3132,0
2420,3119,0
2428,3119,0
2438,3132,0
2448,3163,0
2450,3206,0
2448,3264,0
2437,3330,0
2416,3395,0
2393,3448,0
2367,3484,0
2331,3498,0
2292,3495,0
2248,3477,0
2215,3446,1
2596,3262,0
2594,3266,0
2596,3284,0
2597,3310,0
2592,3339,0
2585,3381,0
2580,3433,0
2577,3465,0
2576,3474,1
2758,3047,0
2760,3050,0
2763,3053,0
2763,3059,0
2765,3085,0
2765,3122,0
2761,3170,0
2753,3225,0
2741,3286,0
2733,3326,0
2733,3344,0
2734,3344,0
2741,3339,0
2753,3320,0
2769,3289,0
2788,3252,0
2809,3212,0
2828,3177,0
2848,3162,0
2859,3155,0
2868,3159,0
2878,3181,0
2885,3209,0
2885,3237,0
2885,3265,0
2881,3286,0
2878,3301,0
2875,3303,0
2873,3295,1
2986,3307,0
2972,3310,0
2963,3307,0
2959,3296,0
2953,3266,0
2959,3225,0
2976,3187,0
2997,3154,0
3021,3129,0
3047,3112,0
3071,3110,0
3092,3124,0
3103,3151,0
3103,3186,0
3093,3225,0
3080,3262,0
3056,3296,0
3028,3324,0
3006,3337,0
2986,3331,0
2972,3310,1
3174,3127,0
3168,3150,0
