Wellingborough, though over-large,
972
289,1862,0
282,1845,0
277,1830,0
277,1807,0
280,1778,0
286,1745,0
291,1720,0
293,1704,0
294,1703,0
294,1704,0
294,1727,0
292,1766,0
291,1806,0
290,1854,0
289,1896,0
287,1940,0
288,1966,0
289,1985,0
292,1986,0
298,1979,0
305,1961,0
313,1930,0
325,1887,0
338,1844,0
349,1814,0
359,1797,0
364,1790,0
366,1800,0
372,1820,0
376,1848,0
380,1889,0
385,1920,0
389,1947,0
395,1971,0
402,1974,0
407,1976,0
412,1969,0
419,1946,0
427,1915,0
436,1876,0
447,1833,0
456,1793,0
463,1754,0
469,1713,0
475,1681,0
482,1662,0
488,1648,0
493,1641,0
498,1652,1
542,1912,0
542,1908,0
546,1896,0
553,1878,0
563,1855,0
570,1829,0
573,1809,0
571,1796,0
565,1790,0
557,1792,0
548,1805,0
538,1826,0
530,1862,0
525,1898,0
526,1928,0
535,1956,0
549,1968,0
569,1970,0
591,1959,0
615,1941,0
637,1909,0
657,1873,0
675,1829,0
689,1786,0
699,1744,0
704,1708,0
705,1692,0
702,1683,0
699,1686,0
692,1697,0
682,1727,0
675,1771,0
669,1819,0
669,1864,0
675,1899,0
687,1922,0
702,1933,0
718,1932,0
738,1924,0
760,1899,0
782,1862,0
803,1821,0
820,1776,0
833,1734,0
839,1702,0
840,1686,0
837,1681,0
834,1685,0
825,1696,0
815,1731,0
803,1769,0
798,1821,0
795,1861,0
801,1903,0
813,1932,0
827,1947,0
848,1958,0
868,1952,0
889,1942,0
909,1917,0
930,1890,0
947,1856,0
962,1829,0
972,1809,0
974,1797,0
975,1798,0
974,1797,0
974,1809,0
974,1833,0
971,1857,0
970,1885,0
974,1910,0
980,1926,0
986,1930,0
994,1931,0
1001,1927,0
1011,1912,0
1025,1888,0
1041,1857,0
1057,1825,0
1070,1801,0
1079,1789,0
1085,1789,0
1085,1789,0
1087,1801,0
1085,1821,0
1083,1845,0
1076,1865,0
1069,1885,0
1064,1893,0
1065,1901,0
1064,1897,0
1066,1893,0
1069,1877,0
1077,1860,0
1084,1845,0
1092,1837,0
1100,1837,0
1107,1836,0
1117,1848,0
1128,1860,0
1141,1876,0
1153,1887,0
1171,1898,0
1190,1906,0
1209,1903,0
1226,1895,0
1243,1881,0
1258,1859,0
1270,1834,0
1278,1809,0
1278,1785,0
1274,1773,0
1261,1763,0
1247,1764,0
1228,1774,0
1206,1792,0
1188,1817,0
1177,1842,0
1175,1862,0
1181,1878,0
1192,1889,0
1204,1893,0
1218,1891,0
1234,1886,0
1252,1876,0
1267,1858,0
1279,1845,0
1288,1836,0
1290,1832,0
1289,1828,0
1288,1828,0
1288,1831,0
1289,1843,0
1288,1864,0
1287,1888,0
1285,1921,0
1281,1957,0
1276,1998,0
1267,2043,0
1254,2085,0
1238,2130,0
1216,2168,0
1189,2202,0
1163,2231,0
1132,2248,0
1102,2257,0
1073,2256,0
1045,2248,0
1019,2232,0
998,2215,0
977,2183,0
959,2145,1
912,1708,0
909,1700,0
909,1691,0
913,1688,0
923,1685,1
1438,1626,0
