&quot;I, Personally, spoke with my
594
967,1271,0
991,1277,0
991,1278,0
989,1277,0
985,1281,0
983,1293,0
980,1297,0
977,1300,0
979,1312,0
980,1317,0
980,1317,0
980,1317,0
979,1312,0
979,1312,0
979,1312,0
979,1313,0
980,1312,0
980,1312,0
980,1312,0
980,1312,0
983,1317,0
982,1317,0
979,1312,0
979,1312,0
982,1317,0
983,1317,0
982,1317,0
984,1321,0
983,1321,0
983,1321,0
982,1321,0
982,1321,0
980,1321,0
979,1325,0
967,1344,0
950,1365,0
936,1389,0
936,1397,0
943,1401,0
948,1394,0
953,1382,1
1037,1288,0
1034,1284,0
1030,1280,0
1031,1284,0
1030,1296,0
1013,1319,0
993,1358,0
975,1397,0
965,1423,1
1245,1288,0
1242,1286,0
1243,1288,0
1237,1302,0
1225,1336,0
1207,1382,0
1187,1440,0
1172,1498,0
1163,1538,0
1160,1570,0
1157,1587,0
1155,1591,0
1157,1591,1
1346,1548,0
1344,1552,0
1336,1561,0
1322,1585,0
1312,1623,0
1304,1656,0
1305,1676,0
1310,1684,0
1322,1686,1
1739,1309,0
1732,1312,0
1730,1318,0
1722,1336,0
1713,1365,0
1706,1399,0
1697,1426,0
1697,1444,0
1697,1452,1
1607,1353,0
1605,1341,0
1609,1326,0
1629,1308,0
1662,1287,0
1708,1276,0
1754,1257,0
1802,1259,0
1836,1271,0
1845,1289,0
1843,1315,0
1821,1338,0
1788,1358,0
1745,1379,0
1701,1393,0
1667,1392,1
1828,1511,0
1827,1512,0
1831,1513,0
1836,1512,0
1852,1507,0
1875,1493,0
1906,1474,0
1932,1457,0
1942,1440,0
1949,1430,0
1941,1422,0
1919,1423,0
1884,1440,0
1850,1470,0
1828,1497,0
1823,1519,0
1838,1532,0
1873,1541,0
1911,1537,0
1952,1525,0
1988,1511,1
2033,1460,0
2024,1466,0
2010,1481,0
1997,1500,0
1991,1519,0
1990,1524,0
1993,1527,0
1991,1523,0
1993,1517,0
1992,1498,0
1995,1476,0
2000,1453,0
1997,1441,0
1997,1440,0
1999,1440,0
2007,1444,0
2023,1447,0
2048,1458,0
2075,1468,0
2105,1470,1
2187,1433,0
2178,1430,0
2162,1434,0
2132,1438,0
2118,1450,0
2110,1457,0
2112,1464,0
2121,1472,0
2139,1479,0
2164,1485,0
2180,1487,0
2192,1492,0
2198,1498,0
2194,1501,0
2182,1506,0
2156,1511,0
2120,1515,0
2100,1515,0
2088,1514,0
2083,1508,1
2345,1445,0
2347,1438,0
2351,1433,0
2349,1430,0
2348,1430,0
2333,1434,0
2312,1448,0
2288,1467,0
2275,1484,0
2277,1498,0
2289,1508,0
2314,1513,0
2342,1508,0
2368,1500,0
2385,1490,0
2396,1474,0
2400,1452,0
2388,1434,0
2375,1432,0
2358,1432,0
2355,1441,1
2434,1426,0
2436,1425,0
2436,1425,0
2436,1425,0
2433,1429,0
2428,1445,0
2426,1464,0
2426,1477,0
2422,1481,0
2425,1484,0
2420,1483,0
2420,1483,0
2420,1477,0
2421,1464,0
2426,1442,0
2441,1420,0
2456,1409,0
2467,1404,0
2477,1404,0
2487,1410,0
2503,1423,0
2507,1435,0
2504,1451,0
2497,1466,0
2495,1479,0
2491,1490,0
2495,1497,0
2508,1494,1
2646,1433,0
2654,1430,0
2655,1428,0
2654,1428,0
2656,1427,0
2646,1421,0
2635,1421,0
2614,1428,0
2589,1445,0
2575,1462,0
2577,1477,0
2584,1489,0
2598,1496,0
2619,1496,0
2640,1491,0
2658,1481,0
2666,1465,0
2678,1445,0
2683,1431,0
2680,1430,0
2679,1430,0
2675,1442,0
2675,1460,0
2683,1476,0
2706,1487,0
2724,1489,0
2740,1488,0
2757,1480,0
2771,1462,1
2813,1320,0
2814,1318,0
2814,1318,0
2811,1323,0
2806,1344,0
2801,1373,0
2783,1406,0
2772,1434,0
2769,1451,0
2770,1463,0
2772,1468,0
2772,1468,0
2779,1458,1
2872,1325,0
2865,1328,0
2854,1339,0
2840,1360,0
