Finally, in 1649, Charles was beheaded
924
922,5242,0
924,5242,0
924,5246,0
924,5245,0
924,5250,0
925,5262,0
932,5290,0
939,5327,0
948,5375,0
953,5426,0
953,5487,0
956,5543,0
960,5595,0
965,5639,0
967,5675,0
967,5692,0
960,5699,1
1057,5277,0
1061,5276,0
1059,5277,0
1054,5281,0
1042,5280,0
1027,5289,0
1006,5300,0
984,5311,0
960,5323,0
943,5326,0
932,5334,0
926,5342,0
927,5346,1
1089,5472,0
1085,5472,0
1069,5472,0
1049,5468,0
1025,5468,0
1006,5468,0
986,5464,0
969,5460,0
955,5459,1
1157,5464,0
1158,5467,0
1155,5472,0
1149,5480,0
1149,5500,0
1147,5528,0
1146,5560,0
1146,5592,0
1147,5624,0
1151,5643,0
1153,5668,0
1155,5675,0
1153,5672,1
1141,5303,0
1142,5303,0
1143,5304,0
1143,5308,0
1145,5316,0
1144,5324,0
1142,5336,0
1141,5340,0
1145,5356,1
1213,5599,0
1218,5635,0
1220,5658,0
1219,5670,0
1219,5670,0
1216,5666,0
1213,5647,0
1219,5622,0
1224,5590,0
1233,5558,0
1241,5530,0
1252,5506,0
1266,5497,0
1278,5496,0
1294,5503,0
1305,5519,0
1312,5543,0
1316,5575,0
1317,5599,0
1316,5627,0
1315,5647,0
1310,5656,0
1308,5659,0
1306,5656,0
1311,5639,1
1480,5541,0
1483,5541,0
1483,5537,0
1479,5533,0
1472,5522,0
1458,5515,0
1439,5504,0
1417,5498,0
1397,5491,0
1378,5500,0
1363,5513,0
1351,5533,0
1346,5558,0
1348,5586,0
1358,5617,0
1374,5640,0
1397,5663,0
1413,5666,0
1430,5669,0
1441,5656,0
1450,5636,0
1458,5607,0
1459,5575,0
1456,5542,0
1455,5523,0
1450,5507,0
1450,5511,0
1447,5511,0
1447,5535,0
1450,5563,0
1460,5599,0
1473,5630,0
1490,5661,0
1503,5676,0
1512,5683,0
1515,5679,0
1515,5663,1
1528,5296,0
1528,5305,0
1529,5313,0
1529,5325,0
1529,5341,0
1529,5364,0
1530,5397,0
1532,5433,0
1534,5480,0
1538,5537,0
1546,5584,0
1553,5636,0
1561,5671,0
1564,5694,0
1563,5699,0
1562,5695,0
1561,5680,1
1592,5347,0
1592,5359,0
1589,5371,0
1587,5391,0
1585,5419,0
1585,5456,0
1586,5500,0
1592,5552,0
1602,5599,0
1611,5642,0
1616,5674,0
1618,5690,0
1615,5690,1
1747,5499,0
1743,5507,0
1739,5532,0
1735,5569,0
1732,5614,0
1731,5662,0
1727,5718,0
1718,5771,0
1710,5817,0
1701,5838,0
1696,5847,0
1691,5843,0
1691,5824,1
1713,5619,0
1719,5623,0
1722,5627,0
1719,5623,0
1709,5620,0
1696,5613,0
1681,5603,0
1666,5593,0
1652,5578,0
1640,5563,0
1633,5552,0
1627,5541,0
1628,5537,1
1850,5682,0
1853,5679,0
1843,5663,0
1832,5661,0
1824,5654,1
2048,5489,0
2047,5489,0
2051,5501,0
2055,5516,0
2058,5605,0
2058,5641,0
2057,5670,0
2059,5694,0
2063,5698,0
2070,5688,0
2082,5670,1
2016,5299,0
2017,5300,0
2017,5303,0
2019,5311,0
2024,5327,1
2121,5650,0
2118,5683,0
2123,5707,0
2124,5714,0
2127,5718,0
2125,5706,0
