bishop. The days, too,
446
1037,5320,0
1039,5340,0
1042,5364,0
1043,5404,0
1041,5464,0
1037,5532,0
1037,5608,0
1040,5680,0
1049,5733,0
1064,5760,0
1085,5769,0
1114,5756,0
1152,5728,0
1193,5691,0
1236,5666,0
1275,5657,0
1309,5667,0
1334,5694,0
1351,5734,0
1352,5782,0
1336,5827,0
1303,5872,0
1256,5909,0
1201,5935,0
1148,5940,0
1096,5928,0
1059,5897,0
1040,5852,0
1040,5804,1
1412,5626,0
1426,5637,0
1439,5668,0
1443,5697,0
1446,5732,0
1447,5776,0
1445,5821,0
1440,5857,0
1435,5881,1
1426,5513,0
1423,5501,0
1429,5489,0
1428,5489,0
1437,5492,1
1531,5790,0
1529,5810,0
1539,5829,0
1559,5848,0
1592,5858,0
1631,5861,0
1666,5850,0
1695,5831,0
1713,5808,0
1716,5780,0
1699,5742,0
1669,5701,0
1634,5668,0
1603,5647,0
1582,5641,0
1580,5637,0
1587,5632,0
1621,5621,0
1667,5601,0
1720,5571,0
1777,5531,0
1825,5480,0
1862,5438,0
1890,5402,0
1898,5376,0
1891,5361,0
1878,5368,0
1857,5399,0
1827,5460,0
1804,5540,0
1782,5635,0
1766,5718,0
1760,5795,0
1763,5856,0
1769,5882,0
1780,5890,0
1796,5875,0
1821,5836,0
1848,5780,0
1876,5719,0
1907,5682,0
1936,5670,0
1949,5672,0
1959,5691,0
1960,5727,0
1954,5768,0
1952,5817,0
1955,5853,0
1966,5880,1
2123,5675,0
2095,5688,0
2072,5716,0
2048,5761,0
2041,5811,0
2045,5843,0
2065,5872,0
2090,5880,0
2119,5879,0
2147,5865,0
2171,5840,0
2173,5800,0
2169,5734,0
2158,5692,0
2146,5674,0
2139,5671,0
2142,5670,0
2154,5680,0
2181,5699,0
2219,5712,0
2261,5716,0
2314,5712,0
2356,5703,0
2393,5686,0
2416,5677,0
2424,5675,0
2420,5680,0
2403,5712,0
2383,5771,0
2366,5832,0
2363,5906,0
2363,5980,0
2369,6049,0
2370,6106,0
2376,6145,0
2373,6162,0
2373,6162,0
2365,6148,0
2347,6110,0
2327,6053,0
2310,5984,0
2297,5900,0
2302,5822,0
2323,5755,0
2357,5707,0
2396,5665,0
2441,5641,0
2491,5633,0
2543,5644,0
2593,5676,0
2626,5717,0
2639,5755,0
2633,5789,0
2606,5818,0
2559,5842,0
2505,5861,0
2449,5865,1
2806,5848,0
2803,5849,0
2808,5847,0
2821,5843,0
2837,5825,1
3081,5471,0
3083,5471,0
3100,5468,0
3136,5472,0
3179,5477,0
3230,5477,0
3290,5479,0
3349,5480,0
3401,5475,0
3443,5470,0
3474,5460,0
3489,5440,0
3490,5417,1
3303,5499,0
3295,5533,0
3296,5580,0
3296,5645,0
3293,5711,0
3294,5779,0
3298,5842,0
3302,5888,0
3307,5920,0
3310,5932,0
3318,5928,0
3332,5902,0
3345,5849,0
3361,5791,0
3382,5722,0
3407,5642,0
3433,5570,0
3461,5527,0
3484,5499,0
3504,5503,0
3513,5521,0
3521,5566,0
3522,5631,0
3520,5702,0
3513,5766,0
3510,5824,0
3510,5868,0
3510,5885,0
3519,5890,0
3532,5880,0
3554,5849,0
3575,5805,0
3594,5766,0
3612,5748,0
3626,5751,0
3637,5764,0
3650,5798,0
3659,5828,0
3672,5853,0
3696,5873,0
3718,5881,0
3744,5882,0
3771,5873,0
3799,5851,0
3826,5816,0
3843,5777,0
3855,5735,0
3858,5698,0
3855,5685,0
3846,5681,0
3823,5688,0
3797,5718,0
3774,5757,0
3765,5805,0
3773,5850,0
3805,5888,0
3855,5909,0
3921,5917,0
3998,5900,0
4078,5873,0
4160,5841,1
4422,5720,0
4401,5710,0
4373,5698,0
4345,5700,0
4313,5706,0
4284,5732,0
4250,5764,0
4227,5814,0
4214,5867,0
4217,5902,0
4237,5923,0
4266,5926,0
4300,5906,0
4342,5869,0
4386,5811,0
4429,5744,0
4463,5662,0
4490,5589,0
4507,5526,0
4512,5490,0
4505,5475,0
4488,5481,0
4461,5513,0
4433,5577,0
4401,5653,0
4386,5738,0
4382,5809,0
4388,5865,0
4408,5905,0
4439,5923,0
4478,5923,0
4523,5907,0
4566,5875,1
4632,5721,0
4615,5728,0
4597,5734,0
4578,5750,0
4561,5776,0
