How much greater the pity, then,
775
694,3349,1
653,3421,0
633,3471,0
604,3522,0
571,3591,0
540,3659,0
509,3728,0
485,3788,0
467,3846,0
458,3881,0
456,3901,0
460,3894,1
801,3352,0
796,3368,0
784,3395,0
764,3438,0
743,3487,0
719,3541,0
694,3599,0
667,3656,0
637,3713,0
613,3766,0
596,3805,0
587,3824,0
585,3831,1
591,3618,0
585,3625,0
588,3626,0
602,3632,0
626,3635,1
883,3591,0
868,3586,0
859,3590,0
844,3592,0
827,3603,0
808,3618,0
787,3641,0
766,3670,0
742,3708,0
728,3752,0
726,3787,0
733,3812,0
750,3818,0
773,3812,0
803,3790,0
829,3756,0
854,3721,0
873,3691,0
887,3660,0
894,3636,0
896,3628,0
895,3628,0
893,3628,0
892,3631,0
895,3640,0
903,3636,0
916,3637,0
933,3633,0
946,3630,0
960,3626,0
970,3627,0
975,3626,0
960,3667,0
945,3694,0
928,3722,0
914,3757,0
904,3785,0
903,3805,0
909,3817,0
921,3817,0
937,3806,0
956,3787,0
978,3759,0
998,3731,0
1016,3700,0
1033,3676,0
1047,3653,0
1059,3628,0
1068,3620,0
1070,3612,0
1070,3617,0
1067,3621,0
1061,3636,0
1054,3657,0
1043,3684,0
1034,3716,0
1028,3744,0
1029,3776,0
1035,3792,0
1046,3800,0
1059,3793,0
1078,3776,0
1100,3748,0
1119,3712,0
1135,3680,0
1148,3652,0
1157,3631,1
1483,3641,0
1481,3653,0
1479,3670,0
1472,3695,0
1460,3732,0
1444,3774,0
1424,3808,0
1406,3842,0
1389,3864,0
1384,3868,0
1384,3864,0
1387,3839,0
1401,3802,0
1421,3764,0
1445,3722,0
1474,3682,0
1502,3647,0
1527,3624,0
1547,3604,0
1563,3603,0
1573,3609,0
1579,3625,0
1578,3649,0
1573,3687,0
1564,3728,0
1550,3766,0
1536,3804,0
1522,3830,0
1514,3843,0
1514,3847,0
1515,3839,0
1522,3822,0
1537,3792,0
1556,3757,0
1580,3722,0
1609,3689,0
1636,3657,0
1660,3636,0
1678,3625,0
1690,3623,0
1698,3634,0
1699,3650,0
1693,3675,0
1684,3713,0
1673,3752,0
1663,3785,0
1659,3811,0
1662,3826,0
1669,3829,0
1678,3820,0
1695,3805,0
1714,3777,0
1734,3745,0
1756,3713,0
1777,3680,0
1794,3656,0
1805,3633,0
1812,3624,0
1813,3627,0
1810,3633,0
1802,3650,0
1790,3681,0
1780,3716,0
1771,3750,0
1764,3781,0
1768,3804,0
1773,3807,0
1788,3804,0
1807,3792,0
1826,3764,0
1848,3735,0
1869,3701,0
1889,3668,0
1906,3639,0
1917,3621,0
1925,3614,0
1923,3611,0
1920,3616,0
1914,3629,0
1904,3656,0
1892,3688,0
1881,3723,0
1874,3754,0
1874,3778,0
1882,3788,1
2051,3648,0
2043,3637,0
2038,3634,0
2029,3633,0
2017,3632,0
2002,3636,0
1989,3652,0
1972,3677,0
1956,3710,0
1947,3745,0
1942,3775,0
1949,3798,0
1966,3807,1
2233,3414,0
2242,3389,0
2246,3383,0
2244,3385,0
2231,3397,0
2215,3433,0
2190,3484,0
2155,3541,0
2123,3610,0
2089,3674,0
2058,3732,0
2032,3769,0
2021,3793,0
2021,3793,0
2029,3782,0
2048,3752,0
2075,3711,0
2106,3670,0
2140,3638,0
2170,3604,0
2198,3586,0
2216,3576,0
2225,3581,0
2224,3590,0
2217,3618,0
2203,3652,0
2182,3692,0
2166,3739,0
2157,3775,0
2159,3804,0
2169,3814,0
2190,3815,0
2224,3805,1
2871,3651,1
2857,3645,0
2844,3643,0
2828,3645,0
2808,3651,0
2784,3662,0
2757,3680,0
2729,3707,0
2700,3742,0
2678,3783,0
2666,3823,0
2663,3850,0
2671,3865,0
2683,3864,0
2702,3851,0
2728,3822,0
2753,3784,0
2779,3745,0
2803,3708,0
2820,3672,0
2835,3655,0
2841,3644,0
2843,3648,0
2838,3650,0
2831,3671,0
2819,3708,0
