refer to ,,this incomparable Book.&quot;
842
1192,3659,0
1194,3667,0
1194,3674,0
1195,3691,0
1196,3711,0
1196,3727,0
1194,3751,0
1194,3771,0
1196,3790,0
1196,3807,0
1197,3814,0
1197,3819,0
1197,3819,0
1197,3819,0
1196,3815,0
1196,3814,0
1192,3799,0
1188,3783,0
1188,3767,0
1192,3747,0
1197,3723,0
1207,3699,0
1221,3670,0
1240,3653,0
1255,3636,1
1336,3707,0
1337,3707,0
1345,3711,0
1355,3706,0
1369,3701,0
1384,3691,0
1399,3682,0
1413,3672,0
1427,3664,0
1438,3650,0
1442,3641,0
1445,3638,0
1442,3629,0
1436,3622,0
1428,3619,0
1419,3619,0
1404,3617,0
1390,3623,0
1374,3632,0
1359,3645,0
1344,3662,0
1333,3683,0
1324,3701,0
1321,3720,0
1324,3740,0
1329,3752,0
1342,3763,0
1358,3769,0
1377,3772,1
1599,3626,0
1602,3617,0
1601,3597,0
1601,3580,0
1599,3565,0
1594,3542,0
1589,3526,0
1582,3511,0
1575,3500,0
1566,3489,0
1559,3486,0
1553,3486,0
1549,3491,0
1542,3496,0
1537,3513,0
1532,3538,0
1526,3559,0
1524,3592,0
1523,3616,0
1526,3648,0
1528,3676,0
1530,3708,0
1532,3744,0
1531,3772,0
1531,3800,0
1532,3824,0
1535,3840,0
1538,3853,0
1537,3856,1
1510,3687,0
1512,3687,0
1521,3693,0
1529,3688,0
1544,3690,1
1666,3712,0
1667,3708,0
1673,3708,0
1679,3702,0
1685,3693,0
1692,3687,0
1700,3682,0
1706,3669,0
1714,3660,0
1718,3646,0
1720,3638,0
1720,3630,0
1714,3619,0
1707,3612,0
1699,3609,0
1687,3607,0
1677,3613,0
1667,3615,0
1657,3624,0
1646,3630,0
1639,3644,0
1632,3661,0
1626,3674,0
1623,3695,0
1625,3715,0
1629,3726,0
1638,3741,0
1652,3751,0
1669,3765,0
1684,3766,0
1700,3771,0
1715,3769,0
1732,3770,0
1746,3759,0
1759,3749,0
1773,3742,0
1785,3728,1
1802,3622,0
1800,3626,0
1800,3634,0
1802,3647,0
1802,3655,0
1804,3674,0
1804,3695,0
1802,3711,0
1801,3732,0
1802,3749,0
1804,3760,0
1802,3756,0
1804,3761,0
1804,3760,0
1803,3752,0
1803,3740,0
1802,3724,0
1805,3707,0
1809,3689,0
1814,3672,0
1824,3662,0
1835,3648,0
1851,3636,0
1867,3624,0
1885,3624,1
2274,3522,0
2273,3522,0
2274,3535,0
2272,3549,0
2273,3569,0
2273,3591,0
2275,3615,0
2273,3637,0
2274,3667,0
2275,3691,0
2276,3717,0
2279,3741,0
2282,3765,0
2282,3782,0
2282,3798,0
2280,3800,0
2278,3800,1
2246,3650,0
2253,3653,0
2266,3652,0
2282,3646,0
2299,3645,0
2314,3643,0
2329,3647,0
2335,3641,0
2345,3641,1
2456,3655,0
2448,3654,0
2443,3656,0
2434,3655,0
2427,3662,0
2417,3670,0
2408,3682,0
2398,3694,0
2391,3710,0
2385,3724,0
2379,3740,0
2380,3760,0
2379,3773,0
2384,3788,0
2391,3799,0
2400,3809,0
2415,3816,0
2430,3819,0
2446,3817,0
2463,3815,0
2480,3809,0
2492,3799,0
2503,3787,0
2512,3775,0
2518,3755,0
2523,3740,0
2526,3722,0
2523,3706,0
2518,3690,0
2509,3672,0
2499,3660,0
2487,3651,0
2472,3644,1
2818,3758,0
2814,3764,0
2808,3776,0
2806,3800,0
2794,3818,0
2789,3843,0
2784,3858,0
2784,3867,0
2783,3867,1
2831,3778,0
2830,3793,0
2827,3807,0
2824,3826,0
2821,3845,1
2965,3555,0
2963,3566,0
2959,3585,0
2954,3607,0
2954,3634,0
2955,3656,0
2956,3679,0
2960,3699,0
2962,3717,0
2964,3733,0
2965,3746,0
2966,3755,0
2966,3759,1
2917,3667,0
2926,3668,0
2940,3670,0
2953,3666,0
2967,3664,1
3052,3547,0
3052,3551,0
3051,3557,0
3052,3570,0
3053,3583,0
3051,3598,0
3052,3621,0
3051,3645,0
3052,3672,0
3050,3695,0
3048,3715,0
3047,3734,0
3049,3752,0
3049,3759,0
3051,3764,0
3051,3764,0
3052,3763,0
3049,3759,0
3049,3755,0
3052,3744,0
3055,3730,0
3062,3712,0
3066,3696,0
3075,3686,0
3077,3671,0
3086,3662,0
3094,3653,0
3100,3644,0
3110,3643,0
3115,3640,0
3123,3645,0
3128,3647,0
3133,3653,0
3138,3664,0
3141,3681,0
3142,3698,0
3142,3712,0
3147,3728,0
3146,3737,0
3148,3746,0
3150,3754,1
3188,3643,0
3187,3644,0
3186,3644,0
3185,3645,0
3186,3654,0
3185,3660,0
3186,3672,0
3186,3687,0
3188,3704,0
3189,3722,0
3188,3737,0
3189,3754,0
3193,3766,0
3193,3770,0
3192,3771,0
3194,3775,0
3189,3772,1
3181,3549,0
3178,3550,0
3177,3547,0
3175,3547,0
3177,3551,0
3176,3552,0
3171,3550,0
3170,3551,0
3165,3549,1
3286,3629,0
3276,3631,0
3268,3636,0
3262,3644,0
3252,3650,0
3245,3660,0
3235,3665,0
3232,3677,0
3230,3688,0
3231,3696,0
3236,3703,0
3248,3709,0
3258,3712,0
3272,3718,0
3284,3724,0
3296,3730,0
3305,3736,0
3311,3741,0
3316,3747,0
3315,3749,0
3312,3754,0
3304,3755,0
3298,3764,0
3284,3763,0
3271,3765,1
3613,3604,0
3616,3607,0
3617,3616,0
3619,3624,0
3621,3638,0
3624,3656,0
3623,3671,0
3622,3686,0
3622,3701,0
3621,3711,0
3622,3721,0
3624,3724,0
3622,3721,1
3610,3517,0
3609,3517,0
3610,3517,0
3606,3514,0
3606,3514,0
3604,3515,0
3604,3515,0
3604,3516,0
3606,3514,1
3687,3609,0
3689,3628,0
3689,3647,0
3693,3665,0
3698,3681,0
3698,3691,0
3702,3702,0
3706,3710,0
3706,3709,0
3706,3709,0
3708,3708,0
3708,3698,0
3711,3681,0
3715,3662,0
3719,3640,0
3726,3624,0
3732,3609,0
3740,3597,0
3754,3592,0
3767,3588,0
3783,3590,0
3791,3599,0
3800,3617,0
3801,3637,0
3800,3653,0
3805,3674,0
3804,3685,0
3805,3694,0
3807,3703,1
3939,3592,0
3934,3590,0
3929,3590,0
3925,3594,0
3916,3596,0
3908,3602,0
3896,3607,0
3887,3614,0
3882,3624,0
3875,3633,0
3869,3644,0
3866,3657,0
3866,3667,0
3871,3679,0
3882,3691,0
3895,3700,0
3909,3705,0
3933,3716,0
3948,3719,0
3967,3724,0
3986,3720,1
4064,3585,0
4058,3585,0
4053,3584,0
4046,3585,0
4038,3587,0
4027,3591,0
4019,3597,0
4015,3612,0
4004,3621,0
3995,3633,0
3993,3646,0
3991,3658,0
3992,3668,0
3998,3677,0
4003,3684,0
4015,3691,0
4022,3694,0
4032,3697,0
4046,3700,0
4057,3696,0
4069,3691,0
4081,3687,0
4090,3679,0
4099,3672,0
4105,3661,0
4111,3650,0
4113,3638,0
4113,3622,0
4111,3612,0
4106,3602,0
4100,3591,0
