follows that here, once again, we
613
1056,1637,0
1037,1628,0
1013,1623,0
984,1642,0
943,1663,0
905,1698,0
869,1747,0
837,1803,0
810,1872,0
789,1945,0
780,2024,0
779,2106,0
783,2178,0
791,2249,0
799,2306,0
803,2352,0
806,2380,0
808,2392,0
808,2388,0
802,2376,0
797,2342,1
680,2117,0
678,2112,0
679,2104,0
686,2101,0
699,2092,0
750,2085,0
763,2071,0
809,2053,0
856,2031,0
906,2013,0
946,1984,0
979,1966,0
996,1959,0
997,1963,0
981,1978,0
942,2008,0
903,2048,0
875,2086,0
862,2121,0
867,2149,0
889,2167,0
919,2171,0
955,2157,0
991,2139,0
1018,2108,0
1037,2080,0
1045,2041,0
1042,2004,0
1026,1976,0
996,1959,0
957,1953,0
920,1954,0
892,1967,1
1281,1667,0
1281,1663,0
1278,1660,0
1274,1668,0
1266,1690,0
1254,1719,0
1243,1761,0
1232,1810,0
1216,1860,0
1210,1924,0
1201,1981,0
1198,2025,0
1196,2057,0
1196,2082,0
1198,2097,0
1203,2105,0
1213,2100,1
1353,1766,0
1358,1752,0
1355,1754,0
1348,1771,0
1332,1797,0
1315,1829,0
1302,1870,0
1285,1917,0
1269,1966,0
1255,2009,0
1249,2057,0
1251,2105,0
1259,2140,0
1274,2164,0
1299,2177,0
1334,2177,0
1375,2155,0
1419,2123,0
1468,2082,0
1517,2030,0
1568,1981,0
1616,1937,0
1647,1894,0
1671,1869,0
1684,1860,0
1680,1857,0
1677,1863,0
1653,1888,0
1619,1923,0
1587,1966,0
1552,2009,0
1523,2049,0
1512,2084,0
1510,2097,0
1527,2106,0
1551,2100,0
1584,2083,0
1622,2065,0
1656,2038,0
1688,2012,0
1708,1979,0
1720,1954,0
1719,1928,0
1710,1911,0
1690,1901,0
1662,1901,0
1637,1923,0
1616,1946,0
1611,1964,1
1829,1963,0
1827,1959,0
1826,1956,0
1824,1952,0
1826,1956,0
1826,1960,0
1821,1970,0
1818,1997,0
1812,2030,0
1804,2055,0
1809,2079,0
1814,2089,0
1827,2097,0
1837,2089,0
1856,2077,0
1859,2050,0
1891,2019,0
1903,1991,0
1909,1967,0
1913,1961,0
1913,1961,0
1913,1965,0
1906,1978,0
1905,2008,0
1908,2029,0
1924,2057,0
1940,2072,0
1961,2079,0
1989,2084,0
2011,2073,0
2029,2051,0
2044,2026,0
2048,1992,0
2044,1962,0
2034,1941,0
2019,1921,0
2007,1910,1
2208,1941,0
2205,1938,0
2195,1930,0
2182,1923,0
2163,1917,0
2140,1912,0
2117,1912,0
2099,1918,0
2088,1924,0
2091,1937,0
2100,1950,0
2121,1974,0
2148,1995,0
2154,2016,0
2161,2039,0
2159,2059,0
2149,2070,0
2139,2079,0
2121,2080,0
2100,2077,0
2083,2073,0
2065,2060,0
2055,2048,0
2053,2035,0
2061,2026,1
2644,1687,0
2640,1687,0
2641,1698,0
2635,1720,0
2630,1754,0
2628,1794,0
2625,1841,0
2617,1897,0
2620,1958,0
2615,2009,0
2613,2052,0
2613,2084,0
2610,2100,0
2610,2106,0
2611,2105,0
2610,2090,0
2606,2058,1
2463,1870,0
2476,1885,0
2487,1886,0
2503,1884,0
2528,1884,0
2560,1883,0
2594,1879,0
2634,1875,0
2676,1865,0
2712,1852,0
2746,1841,0
2774,1831,0
2788,1815,1
2750,1721,0
2749,1728,0
2746,1744,0
