man? This proves, according to the Gemara,
1147
1637,2482,0
1642,2493,0
1648,2509,0
1651,2521,0
1655,2532,0
1660,2539,0
1662,2543,0
1662,2542,0
1663,2543,0
1664,2538,0
1667,2525,0
1669,2508,0
1677,2497,0
1679,2480,0
1684,2470,0
1692,2468,0
1698,2463,0
1709,2464,0
1718,2466,0
1727,2475,0
1736,2485,0
1744,2500,0
1748,2511,0
1753,2526,0
1761,2545,0
1762,2557,0
1759,2562,0
1761,2569,0
1762,2574,0
1764,2577,0
1766,2577,1
1923,2488,0
1925,2492,0
1914,2482,0
1906,2482,0
1887,2471,0
1872,2468,0
1860,2548,0
1877,2551,0
1894,2549,0
1905,2537,0
1918,2528,0
1924,2514,0
1928,2504,0
1923,2484,0
1913,2467,0
1909,2463,0
1905,2461,0
1904,2461,0
1907,2468,0
1908,2473,0
1918,2490,0
1924,2505,0
1933,2523,0
1942,2536,0
1953,2545,0
1964,2555,0
1971,2560,0
1975,2563,0
1978,2566,0
1978,2565,0
1982,2569,0
1983,2564,0
1996,2563,1
2007,2473,0
2000,2467,0
2002,2467,0
2002,2467,0
2005,2474,0
2007,2486,0
2011,2502,0
2017,2521,0
2017,2525,0
2022,2536,0
2025,2544,0
2026,2547,0
2026,2547,0
2028,2547,0
2026,2534,0
2026,2517,0
2029,2499,0
2034,2485,0
2029,2464,0
2036,2466,0
2036,2461,0
2042,2459,0
2052,2459,0
2065,2462,0
2080,2473,0
2088,2482,0
2088,2487,0
2092,2499,0
2098,2514,0
2102,2525,0
2105,2532,0
2111,2543,0
2117,2548,0
2121,2551,0
2123,2546,0
2135,2540,0
2151,2534,1
2159,2343,0
2164,2341,0
2169,2334,0
2178,2330,0
2193,2323,0
2207,2315,0
2226,2309,0
2242,2306,0
2253,2304,0
2263,2307,0
2268,2314,0
2265,2325,0
2258,2342,0
2241,2360,0
2224,2378,0
2208,2395,0
2200,2409,0
2202,2421,0
2195,2411,0
2205,2415,0
2217,2413,0
2235,2413,0
2247,2407,0
2253,2399,0
2259,2400,0
2257,2397,0
2256,2398,0
2259,2400,0
2263,2403,0
2264,2403,0
2276,2415,0
2287,2427,0
2288,2435,1
2262,2475,0
2251,2480,0
2244,2481,0
2241,2482,0
2236,2480,0
2236,2485,0
2236,2489,0
2231,2486,0
2234,2490,0
2235,2490,0
2238,2488,0
2244,2489,1
2555,2326,0
2556,2324,0
2553,2321,0
2552,2322,0
2552,2326,0
2547,2335,0
2545,2351,0
2543,2371,0
2546,2393,0
2545,2409,0
2550,2429,0
2552,2446,0
2559,2457,0
2558,2458,0
2562,2460,0
2561,2455,0
2562,2450,1
2476,2343,0
2476,2343,0
2481,2345,0
2490,2344,0
2507,2342,0
2531,2337,0
2559,2331,0
2584,2325,0
2605,2319,0
2615,2317,0
2620,2318,0
2620,2318,0
2619,2319,0
2622,2322,0
2625,2324,0
2635,2323,0
2655,2323,1
2672,2300,0
2671,2301,0
2673,2305,0
2674,2314,0
2678,2326,0
2682,2342,0
2685,2365,0
2684,2386,0
2681,2403,0
2683,2416,0
2686,2423,0
2690,2430,0
2694,2432,0
2694,2432,0
2695,2427,0
2697,2415,0
2700,2404,0
2705,2396,0
2708,2383,0
2712,2374,0
2717,2371,0
2721,2368,0
2728,2369,0
2731,2371,0
2738,2381,0
2743,2392,0
2750,2407,0
2751,2416,0
2747,2419,0
2750,2427,0
2751,2430,0
2750,2431,0
2755,2433,1
2791,2365,0
2786,2364,0
2785,2365,0
2784,2367,0
2787,2373,0
2790,2381,0
2794,2389,0
2796,2396,0
2798,2400,0
2801,2403,0
2802,2402,0
2800,2394,0
2800,2388,1
2788,2301,0
2780,2298,0
2771,2294,0
2773,2298,0
2770,2296,0
2772,2299,0
2779,2303,0
2790,2305,0
2807,2306,1
2883,2342,0
2883,2342,0
2879,2340,0
2873,2340,0
2863,2344,0
2852,2352,0
2835,2356,0
2827,2363,0
2826,2368,0
2825,2369,0
2831,2374,0
2835,2376,0
2849,2380,0
2858,2379,0
2873,2381,0
2874,2376,0
2885,2383,0
2889,2390,0
2888,2396,0
2889,2405,0
2885,2414,0
2883,2425,0
2876,2432,0
2871,2440,0
2859,2444,0
2845,2449,0
2832,2455,0
2828,2458,0
2825,2456,0
2832,2456,0
2847,2453,0
2864,2451,0
2883,2451,1
3084,2353,0
3083,2355,0
3083,2360,0
3081,2366,0
3083,2375,0
3081,2384,0
3083,2397,0
3086,2417,0
3087,2437,0
3088,2456,0
3089,2467,0
3089,2473,0
3091,2475,0
3087,2473,0
3084,2466,0
3089,2456,0
3088,2435,0
3088,2415,0
3078,2391,0
3073,2374,0
3070,2360,0
3069,2346,0
3070,2333,0
3081,2329,0
3086,2324,0
3097,2325,0
3105,2323,0
3114,2325,0
3127,2330,0
3136,2338,0
3144,2347,0
3146,2355,0
3142,2364,0
3130,2371,0
3119,2380,0
3105,2388,0
3095,2398,0
3086,2400,0
3081,2398,0
3082,2398,0
3088,2399,1
3217,2309,0
3212,2309,0
3211,2310,0
3209,2311,0
3214,2318,0
3223,2326,0
3230,2336,0
3240,2349,0
3246,2359,0
3247,2364,0
3249,2368,0
3252,2370,0
3248,2369,0
3241,2364,0
3233,2356,0
3226,2346,0
3221,2333,0
3221,2323,0
3223,2315,0
3223,2309,0
3223,2304,0
3228,2299,0
3241,2297,0
3255,2294,0
3264,2289,0
3279,2292,0
3284,2292,0
3298,2295,0
3300,2292,1
3414,2293,0
3412,2289,0
3409,2287,0
3406,2285,0
3402,2283,0
3391,2284,0
3375,2288,0
3359,2300,0
3346,2314,0
3340,2326,0
3339,2338,0
3345,2350,0
3358,2359,0
3368,2360,0
3389,2362,0
3404,2357,0
3420,2352,0
3424,2342,0
3426,2334,0
3417,2320,0
3411,2309,0
3403,2300,0
3393,2293,0
3387,2287,0
3389,2286,1
3492,2272,0
3493,2271,0
3493,2271,0
3492,2272,0
3493,2276,0
3494,2282,0
3501,2293,0
3508,2308,0
3512,2323,0
3515,2337,0
3517,2347,0
3522,2354,0
3525,2356,0
3530,2355,0
3534,2346,0
3530,2326,0
3535,2308,0
3540,2290,0
3544,2274,0
3554,2268,0
3551,2259,0
3549,2255,0
3549,2255,0
3553,2256,0
3556,2258,1
3605,2282,0
3606,2287,0
3604,2288,0
3612,2292,0
3614,2289,0
3631,2289,0
3641,2283,0
3646,2276,0
3655,2271,0
3656,2263,0
3659,2260,0
3660,2260,0
3650,2258,0
3636,2263,0
3615,2270,0
3600,2282,0
3589,2295,0
3590,2312,0
3592,2322,0
3601,2330,0
3614,2333,0
3634,2333,0
3654,2329,0
3677,2326,0
3692,2321,0
3700,2317,0
3707,2316,0
3721,2317,0
3730,2312,1
3785,2263,0
3782,2260,0
3771,2254,0
3764,2251,0
3759,2251,0
3744,2251,0
3731,2253,0
3720,2260,0
3716,2273,0
3714,2282,0
3716,2291,0
3725,2299,0
3732,2303,0
3750,2306,0
3773,2310,0
3791,2312,0
3795,2314,0
3801,2319,0
3802,2325,0
3802,2330,0
3802,2338,0
3801,2346,0
3798,2356,0
3791,2364,0
3773,2367,0
3767,2374,0
3759,2379,0
3755,2382,0
3755,2384,1
3885,2323,0
3880,2323,0
3877,2326,0
3876,2335,0
3872,2345,0
3865,2354,0
3865,2368,0
3863,2378,0
3865,2386,1
4046,2265,0
4046,2265,0
4043,2263,0
4044,2263,0
4030,2261,0
4019,2263,0
4009,2270,0
4003,2284,0
3998,2299,0
4000,2315,0
4006,2328,0
4016,2335,0
4030,2336,0
4041,2328,0
4056,2320,0
4061,2307,0
4061,2294,0
4060,2281,0
4058,2270,0
4052,2258,0
4047,2251,0
4047,2251,0
4049,2255,0
4050,2261,0
4058,2275,0
4064,2289,0
4061,2299,0
4072,2313,0
4078,2323,0
4085,2328,0
4097,2333,0
4108,2330,0
4121,2326,1
4197,2236,0
4196,2238,0
4188,2236,0
4178,2236,0
4174,2241,0
4158,2245,0
4145,2256,0
4131,2269,0
4121,2285,0
4120,2300,0
4123,2309,0
4136,2318,0
4146,2319,0
4168,2321,0
4190,2319,0
4210,2317,0
4225,2317,0
4233,2318,0
4233,2318,0
4234,2318,0
4234,2317,1
4304,2234,0
4300,2233,0
4290,2233,0
4279,2236,0
4262,2240,0
4242,2248,0
4237,2264,0
4232,2278,0
4232,2291,0
4239,2302,0
4249,2309,0
4270,2316,0
4288,2316,0
4305,2313,0
4330,2312,0
4349,2311,0
4359,2310,1
4410,2237,0
4406,2236,0
4406,2236,0
4398,2234,0
4386,2232,0
4381,2238,0
4368,2246,0
4368,2260,0
4362,2270,0
4364,2281,0
4372,2292,0
4386,2299,0
4396,2299,0
4408,2295,0
4418,2287,0
4428,2276,0
4432,2264,0
4429,2253,0
4418,2241,0
4409,2231,0
4391,2222,0
4384,2219,0
4376,2217,0
4376,2217,0
4384,2219,1
4466,2215,0
4459,2213,0
4461,2216,0
4456,2217,0
4456,2224,0
4464,2234,0
4466,2245,0
4470,2256,0
4478,2265,0
4484,2271,0
4488,2273,0
4488,2273,0
4491,2274,0
4482,2266,0
4473,2258,0
4465,2248,0
4459,2235,0
4461,2224,0
4467,2215,0
4471,2206,0
4478,2203,0
4484,2202,0
4493,2203,0
4506,2204,0
4522,2207,0
4536,2208,0
4548,2212,0
4556,2213,0
4566,2212,1
4634,2223,0
4631,2220,0
4628,2217,0
4624,2216,0
4613,2212,0
4603,2211,0
4596,2215,0
4589,2220,0
4583,2230,0
4572,2241,0
4568,2255,0
