he might have answered, yes,
485
1027,2720,0
1026,2724,0
1025,2748,0
1020,2779,0
1015,2815,0
1014,2852,0
1013,2876,0
1014,2888,0
1017,2896,0
1023,2896,0
1028,2892,0
1036,2880,0
1046,2864,0
1058,2848,0
1068,2844,0
1075,2845,0
1080,2853,0
1086,2865,0
1093,2876,0
1102,2876,0
1114,2885,0
1127,2876,0
1144,2872,0
1164,2864,0
1184,2850,0
1204,2834,0
1220,2817,0
1235,2804,0
1242,2796,0
1242,2787,0
1237,2784,0
1227,2785,0
1213,2789,0
1196,2802,0
1181,2823,0
1169,2847,0
1161,2868,0
1164,2883,0
1173,2891,0
1189,2890,0
1211,2885,1
1664,2767,0
1663,2767,0
1663,2780,0
1660,2797,0
1661,2822,0
1658,2839,0
1661,2850,0
1667,2857,0
1674,2864,0
1679,2859,0
1690,2852,0
1701,2837,0
1715,2822,0
1727,2807,0
1735,2800,0
1740,2803,0
1743,2815,0
1746,2830,0
1746,2839,0
1750,2846,0
1760,2852,0
1773,2853,0
1787,2849,0
1798,2837,0
1811,2830,0
1817,2820,0
1823,2818,0
1826,2822,0
1829,2825,0
1831,2837,0
1836,2844,0
1841,2847,0
1845,2845,1
1899,2788,0
1897,2788,0
1899,2800,0
1898,2808,0
1901,2825,1
1925,2758,0
1921,2760,0
1918,2756,0
1920,2760,0
1920,2760,1
2058,2826,0
2063,2829,0
2062,2821,0
2063,2808,0
2063,2795,1
2032,2784,0
2015,2791,0
2003,2808,0
1993,2824,0
1988,2830,0
1994,2837,0
1999,2835,0
2010,2835,0
2020,2832,0
2028,2824,0
2034,2814,0
2038,2808,0
2041,2807,0
2045,2814,0
2044,2823,0
2047,2843,0
2048,2864,0
2051,2889,0
2053,2918,0
2053,2947,0
2051,2978,0
2046,3004,0
2037,3024,0
2026,3033,0
2015,3036,0
2002,3028,0
1993,3009,0
1990,2993,1
2144,2715,0
2143,2733,0
2142,2755,0
2142,2777,0
2147,2796,0
2154,2811,0
2157,2813,0
2164,2815,0
2174,2815,0
2181,2804,0
2195,2794,0
2209,2783,0
2221,2774,0
2231,2773,0
2237,2776,0
2243,2782,0
2245,2785,0
2254,2794,0
2260,2796,0
2269,2796,0
2281,2800,1
2325,2774,0
2326,2774,0
2332,2776,0
2342,2779,0
2355,2778,1
2374,2732,0
2370,2731,0
2373,2733,0
2371,2734,0
2371,2743,0
2371,2760,0
2369,2779,0
2367,2799,0
2368,2816,1
2869,2632,0
2867,2638,0
2861,2652,0
2856,2680,0
2855,2721,0
2853,2751,0
2856,2773,0
2864,2786,0
2879,2796,0
2896,2799,0
2912,2792,0
2932,2784,0
2951,2771,0
2967,2763,0
2981,2763,0
2985,2765,0
2987,2768,0
2995,2777,0
3000,2784,0
3008,2792,0
3018,2795,1
3174,2745,0
3175,2744,0
3169,2733,0
3168,2730,0
3156,2724,0
3144,2729,0
3120,2737,0
3095,2753,0
3078,2770,0
3072,2779,0
3071,2781,0
3081,2784,0
3094,2779,0
3107,2769,0
3123,2761,0
3139,2753,0
3150,2744,0
3159,2742,0
3163,2743,0
3173,2752,0
3177,2758,0
3179,2762,0
3185,2767,0
3194,2771,0
3201,2770,1
3245,2713,0
3242,2710,0
3245,2712,0
3247,2717,0
3254,2731,0
3257,2738,0
3264,2749,0
3269,2755,0
3277,2758,0
3285,2758,0
3300,2755,0
3312,2745,0
3327,2737,1
3407,2773,0
3414,2777,0
3423,2775,0
3433,2770,0
3452,2765,1
3482,2743,0
3476,2738,0
3469,2738,0
3458,2743,0
3444,2750,0
3427,2760,0
3421,2777,0
3417,2791,0
3419,2801,0
3429,2807,0
3448,2811,0
3474,2809,1
4188,2830,0
4188,2824,0
4193,2818,0
4193,2806,0
4189,2792,0
4184,2780,0
4176,2772,0
4155,2764,0
4130,2764,0
4104,2770,0
4077,2782,0
4062,2799,0
4053,2809,0
4058,2816,0
4066,2819,0
4082,2819,0
4097,2813,0
4121,2803,0
4145,2795,0
