bishops, priests, and deacons in the
732
1042,2592,0
1040,2593,0
1040,2593,0
1039,2592,0
1040,2604,0
1041,2625,0
1045,2653,0
1050,2680,0
1050,2709,0
1054,2745,0
1054,2769,0
1052,2789,0
1052,2808,0
1051,2817,0
1050,2820,0
1049,2817,0
1048,2808,0
1049,2792,0
1053,2777,0
1061,2756,0
1077,2741,0
1096,2725,0
1122,2717,0
1148,2712,0
1172,2711,0
1195,2718,0
1213,2729,0
1225,2741,0
1229,2756,0
1225,2773,0
1211,2785,0
1191,2799,0
1162,2799,0
1130,2800,0
1100,2796,0
1073,2797,0
1054,2793,1
1276,2689,0
1278,2689,0
1279,2693,0
1281,2704,0
1285,2724,0
1289,2748,0
1293,2772,0
1298,2796,0
1303,2815,1
1230,2636,0
1229,2636,0
1230,2636,0
1235,2636,0
1243,2639,1
1343,2760,0
1340,2764,0
1341,2771,0
1348,2779,0
1362,2786,0
1380,2791,0
1401,2797,0
1421,2795,0
1438,2796,0
1448,2787,0
1457,2786,0
1457,2774,0
1452,2758,0
1440,2744,0
1418,2727,0
1389,2710,0
1364,2700,0
1341,2688,0
1331,2680,0
1329,2673,0
1341,2667,1
1488,2598,0
1481,2596,0
1482,2599,0
1483,2608,0
1487,2631,0
1488,2655,0
1491,2691,0
1490,2729,0
1489,2765,0
1491,2793,0
1496,2816,0
1500,2823,0
1503,2823,0
1504,2811,0
1513,2793,0
1525,2767,0
1536,2741,0
1546,2719,0
1555,2700,0
1566,2694,0
1574,2692,0
1582,2695,0
1592,2706,0
1601,2728,0
1609,2750,0
1616,2770,0
1627,2788,0
1637,2798,0
1649,2804,1
1697,2678,0
1684,2673,0
1671,2672,0
1658,2679,0
1644,2690,0
1635,2709,0
1633,2730,0
1636,2749,0
1650,2771,0
1667,2787,0
1689,2795,0
1714,2797,0
1740,2791,0
1760,2774,0
1773,2753,0
1781,2734,0
1778,2715,0
1763,2694,0
1745,2683,0
1724,2675,0
1698,2673,0
1679,2686,0
1665,2702,0
1661,2723,0
1662,2739,1
1814,2663,0
1813,2663,0
1814,2667,0
1817,2683,0
1821,2702,0
1827,2733,0
1827,2763,0
1830,2804,0
1828,2833,0
1830,2866,0
1833,2890,0
1837,2906,0
1836,2906,0
1838,2905,0
1836,2890,0
1836,2864,0
1837,2831,0
1842,2801,0
1845,2762,0
1857,2737,0
1871,2712,0
1889,2699,0
1906,2692,0
1921,2692,0
1940,2707,0
1951,2720,0
1955,2736,0
1953,2753,0
1940,2766,1
2010,2725,0
2007,2730,0
2005,2740,0
2006,2751,0
2016,2770,0
2029,2786,0
2047,2801,0
2070,2813,0
2092,2818,0
2112,2819,0
2133,2819,0
2152,2815,0
2162,2803,0
2160,2782,0
2153,2768,0
2128,2744,0
2094,2722,0
2066,2708,0
2041,2692,0
2024,2681,0
2021,2674,0
2024,2668,0
2044,2665,0
2074,2666,0
2111,2673,1
2271,2786,0
2273,2789,0
2273,2794,0
2274,2807,0
2273,2825,0
2273,2852,0
2272,2883,0
2271,2909,0
2272,2935,1
2441,2697,0
2441,2707,0
2441,2724,0
2441,2747,0
2440,2771,0
2439,2799,0
2441,2828,0
2442,2855,0
2440,2874,1
2398,2734,1
2400,2710,0
2408,2697,0
2423,2689,0
2441,2675,0
2468,2669,0
2491,2666,0
2517,2674,0
2535,2682,0
2547,2694,0
2556,2712,0
2554,2722,0
2544,2736,0
2525,2747,0
2504,2759,0
2481,2767,0
2456,2767,1
2605,2664,0
2608,2671,0
2606,2681,0
2609,2698,0
2610,2717,0
2613,2734,0
2614,2751,0
2609,2759,0
2608,2764,0
2608,2765,0
2613,2767,0
2614,2761,0
2621,2747,0
2635,2730,0
2647,2708,0
2664,2692,0
2682,2682,0
2700,2675,0
2708,2670,0
2717,2674,0
2726,2692,0
2728,2714,0
2733,2739,0
2736,2761,0
2738,2779,1
2682,2591,0
2680,2588,0
2683,2590,0
2691,2595,0
2700,2599,1
2799,2724,0
2806,2721,0
2816,2713,0
2826,2702,0
2834,2687,0
2840,2672,0
2844,2660,0
2843,2651,0
2835,2642,0
2820,2637,0
2803,2640,0
2784,2647,0
2771,2666,0
2755,2687,0
2750,2714,0
2754,2740,0
2762,2762,0
2782,2784,0
2808,2800,0
2832,2803,0
2863,2802,1
2910,2745,0
2909,2750,0
2913,2763,0
2926,2778,0
2942,2786,0
2963,2796,0
2987,2803,0
3011,2805,0
3037,2806,0
3054,2799,0
3069,2786,0
3071,2765,0
3068,2748,0
3054,2728,0
3029,2707,0
3001,2688,0
2977,2671,0
2955,2654,0
2942,2638,0
2934,2623,0
2936,2612,0
2948,2603,0
2968,2592,0
3002,2591,0
3035,2585,1
3112,2516,0
3112,2520,0
3111,2533,0
3111,2554,0
3112,2584,0
3117,2622,0
3119,2662,0
3119,2702,0
3122,2746,0
3121,2783,0
3124,2815,0
3134,2838,0
3140,2849,1
3082,2676,0
3086,2678,0
3093,2677,0
3111,2678,0
3133,2676,0
3155,2673,0
3177,2670,0
3203,2670,0
3223,2668,1
3211,2731,0
3209,2737,0
3216,2753,0
3225,2765,0
3240,2779,0
3260,2794,0
3283,2806,0
3302,2811,0
3324,2813,0
3341,2808,0
3357,2801,0
3363,2790,0
3356,2770,0
3342,2750,0
3319,2728,0
3294,2707,0
3274,2688,0
3257,2671,0
3255,2661,0
3262,2651,0
3277,2642,0
3304,2639,0
3336,2643,0
3364,2650,0
3392,2662,1
3443,2767,0
3445,2771,0
3452,2786,0
3459,2807,0
3469,2835,0
3472,2864,0
3479,2901,0
3482,2936,0
3479,2970,1
3764,2698,0
3753,2692,0
3740,2689,0
3719,2688,0
3696,2694,0
3676,2709,0
3655,2731,0
3641,2756,0
3632,2775,0
3641,2795,0
3648,2805,0
3668,2813,0
3689,2810,0
3712,2799,0
3732,2778,0
3751,2753,0
3768,2730,0
3780,2711,0
3781,2692,0
3786,2686,0
3783,2683,0
3781,2685,0
3780,2700,0
3781,2726,0
3786,2757,0
3790,2781,0
3798,2801,0
3810,2818,0
3822,2829,1
3837,2685,0
3835,2687,0
3839,2705,0
3841,2728,0
3843,2750,0
3848,2772,0
3848,2789,0
3850,2799,0
3852,2803,0
3853,2801,0
3857,2792,0
3866,2777,0
3879,2758,0
3892,2737,0
3908,2720,0
3919,2707,0
3924,2701,0
3932,2704,0
3937,2717,0
3941,2736,0
3950,2763,0
3956,2785,0
3965,2806,0
3976,2823,0
3988,2833,1
4101,2736,0
4095,2731,0
4082,2721,0
4068,2718,0
4051,2719,0
4034,2729,0
4012,2740,0
4003,2758,0
3999,2773,0
4007,2789,0
4017,2801,0
4033,2807,0
4055,2808,0
4075,2796,0
4095,2780,0
4107,2753,0
4123,2723,0
4131,2693,0
4133,2666,0
4133,2647,0
4130,2632,0
4128,2629,0
4127,2630,0
4127,2635,0
4130,2658,0
4136,2694,0
4138,2729,0
4149,2772,0
4162,2812,0
4174,2847,0
4189,2884,0
4198,2911,0
4205,2933,1
4645,2810,0
4635,2803,0
4623,2798,0
4613,2793,0
4596,2788,0
4582,2786,0
4570,2789,0
4554,2798,0
4539,2810,0
4531,2828,0
4529,2850,0
4533,2871,0
4540,2887,0
4553,2896,0
4571,2900,0
4587,2893,0
4599,2877,0
4616,2854,0
4628,2825,0
4640,2790,0
4650,2755,0
4654,2722,0
4659,2695,0
4656,2672,0
4655,2659,0
4656,2656,0
4654,2659,0
4657,2670,0
4654,2695,0
4654,2729,0
4660,2768,0
4663,2805,0
4666,2841,1
4735,2849,0
4744,2844,0
4760,2835,0
4777,2825,0
4792,2810,0
4804,2794,0
4811,2777,0
4808,2760,0
4804,2753,0
4788,2748,0
4771,2750,0
4746,2758,0
4725,2774,0
4714,2796,0
4705,2815,0
4711,2842,0
4720,2862,0
4741,2881,0
4763,2892,0
4789,2897,0
4811,2894,1
4944,2781,0
4941,2779,0
4940,2779,0
4934,2782,0
4924,2789,0
4907,2800,0
4890,2818,0
4879,2840,0
4871,2859,0
4876,2878,0
4887,2892,0
4902,2898,0
4922,2898,0
4939,2888,0
4959,2872,0
4974,2852,0
4985,2828,0
4990,2806,0
4986,2790,0
4983,2782,0
4980,2779,0
4982,2783,0
4985,2793,0
4985,2813,0
4990,2841,0
5000,2869,0
5007,2895,0
5020,2919,0
5029,2932,1
5166,2762,0
5159,2760,0
5151,2758,0
5140,2759,0
5125,2761,0
5110,2770,0
5093,2782,0
5079,2803,0
5066,2823,0
5064,2846,0
5069,2868,0
5084,2889,0
5105,2907,0
5129,2914,0
5163,2916,0
5193,2905,0
5225,2893,1
5272,2753,0
5264,2758,0
5249,2767,0
5234,2784,0
5221,2803,0
5219,2828,0
5224,2852,0
5233,2873,0
5251,2890,0
5273,2900,0
5295,2904,0
5322,2900,0
5345,2885,0
5364,2864,0
5379,2838,0
5385,2813,0
5376,2789,0
5364,2772,0
5340,2757,0
5320,2750,0
5301,2753,0
5277,2760,0
5260,2779,0
5252,2801,0
5254,2826,1
5417,2738,0
5419,2741,0
5422,2751,0
5419,2766,0
5424,2789,0
5426,2815,0
5429,2840,0
5431,2859,0
5436,2874,0
5438,2879,0
5447,2881,0
5451,2873,0
5457,2856,0
5471,2834,0
5487,2808,0
5496,2783,0
5512,2765,0
5522,2748,0
5535,2741,0
5540,2741,0
5545,2748,0
5549,2765,0
5549,2789,0
5554,2820,0
5555,2849,0
5557,2876,0
5566,2900,0
5571,2916,0
5576,2922,1
5641,2829,0
5636,2839,0
5632,2852,0
5633,2867,0
5646,2884,0
5656,2897,0
5677,2909,0
5695,2911,0
5719,2910,0
5741,2905,0
5757,2893,0
5761,2878,0
5759,2859,0
5750,2840,0
5725,2820,0
5699,2801,0
5680,2786,0
5656,2772,0
5643,2760,0
5639,2753,0
5642,2748,0
5658,2745,0
5682,2742,0
5717,2745,0
5755,2750,1
6028,2767,0
6027,2769,0
6028,2774,0
6031,2787,0
6031,2804,0
6032,2827,0
6032,2851,0
6034,2875,0
6032,2893,1
5983,2698,0
5982,2699,0
5986,2700,0
5996,2706,0
6003,2710,1
6087,2792,0
6086,2793,0
6086,2794,0
6085,2797,0
6087,2808,0
6084,2823,0
6088,2842,0
6085,2856,0
6090,2871,0
6090,2880,0
6092,2884,0
6097,2884,0
6095,2878,0
6105,2869,0
6112,2846,0
6127,2827,0
6142,2808,0
6155,2790,0
6167,2775,0
6181,2767,0
6194,2768,0
6201,2773,0
6210,2789,0
6218,2810,0
6228,2833,0
6239,2855,0
6255,2876,0
6270,2890,0
6283,2900,1
6450,2662,0
6450,2662,0
6447,2670,0
6448,2685,0
6453,2712,0
6455,2745,0
6452,2779,0
6457,2815,0
6458,2848,0
6461,2879,0
6462,2902,0
6467,2918,0
6466,2921,1
6365,2774,0
6365,2774,0
6376,2780,0
6392,2784,0
6420,2789,0
6446,2791,0
6480,2795,0
6511,2795,0
6531,2791,1
6524,2665,0
6524,2665,0
6528,2675,0
6537,2692,0
6539,2716,0
6541,2749,0
6539,2782,0
6544,2818,0
6543,2848,0
6543,2873,0
6545,2890,0
6546,2896,0
6554,2897,0
6563,2890,0
6572,2871,0
6584,2845,0
6601,2820,0
6613,2794,0
6631,2775,0
6641,2762,0
6656,2759,0
6664,2761,0
6672,2772,0
6680,2793,0
6692,2823,0
6700,2855,0
6707,2886,0
6708,2911,0
6710,2932,1
6767,2861,0
6768,2861,0
6776,2861,0
6787,2856,0
6800,2848,0
6819,2838,0
6833,2825,0
6848,2812,0
6854,2797,0
6856,2785,0
6851,2774,0
6842,2767,0
6826,2765,0
6806,2767,0
6788,2778,0
6769,2793,0
6758,2815,0
6756,2838,0
6763,2861,0
6784,2883,0
6811,2900,0
6846,2911,0
6886,2919,0
6929,2923,0
6963,2924,1
