(4). At this point, however,
783
1273,1065,0
1281,1051,0
1293,1035,0
1301,1021,0
1306,1008,0
1304,996,0
1302,988,0
1290,978,0
1283,976,0
1271,979,0
1257,991,0
1230,1004,0
1208,1028,0
1187,1055,0
1157,1071,0
1143,1095,0
1136,1124,0
1136,1155,0
1126,1176,0
1124,1200,0
1122,1220,0
1123,1232,0
1126,1240,0
1132,1248,0
1137,1252,0
1141,1252,0
1146,1251,0
1153,1251,0
1158,1246,0
1163,1242,0
1168,1237,0
1167,1225,0
1167,1209,0
1174,1196,0
1178,1177,0
1193,1163,0
1203,1142,0
1215,1120,0
1237,1105,0
1254,1081,0
1269,1058,0
1283,1038,0
1295,1023,0
1312,1015,0
1317,1004,0
1318,1000,0
1318,1000,0
1316,1001,0
1310,1006,0
1303,1021,0
1290,1040,0
1276,1064,0
1265,1091,0
1256,1117,0
1248,1139,0
1246,1160,0
1245,1176,0
1249,1192,0
1253,1199,0
1268,1208,0
1283,1210,0
1290,1278,0
1318,1178,0
1348,1154,0
1385,1126,0
1419,1088,0
1452,1049,0
1476,1008,0
1500,974,0
1517,947,0
1523,925,0
1533,915,0
1532,911,0
1526,909,0
1526,914,0
1527,937,0
1511,964,0
1493,1000,0
1479,1047,0
1453,1093,0
1430,1136,0
1411,1168,0
1398,1193,0
1392,1211,0
1391,1220,1
1405,1158,0
1401,1155,0
1408,1160,0
1404,1157,0
1412,1163,0
1416,1167,0
1419,1169,0
1420,1170,0
1430,1174,0
1436,1176,0
1445,1177,0
1455,1177,0
1467,1178,0
1481,1176,0
1496,1166,0
1515,1153,0
1537,1135,1
1809,1142,0
1822,1128,0
1836,1107,0
1859,1083,0
1886,1052,0
1921,1020,0
1949,986,0
1978,953,0
2003,924,0
2028,900,0
2043,878,0
2051,863,0
2056,854,0
2057,854,0
2056,854,0
2050,863,0
2042,888,0
2024,923,0
1999,967,0
1968,1017,0
1937,1071,0
1907,1125,0
1876,1172,0
1843,1305,0
1846,1240,0
1836,1251,0
1833,1254,0
1829,1247,0
1827,1229,1
1841,1134,0
1842,1132,0
1848,1128,0
1864,1120,0
1882,1105,0
1909,1086,0
1934,1063,0
1961,1037,0
1992,1011,0
2019,981,0
2054,950,0
2085,917,0
2111,887,0
2128,863,0
2140,853,0
2141,850,0
2141,850,0
2140,851,0
2135,861,0
2125,882,0
2104,911,0
2092,947,0
2071,979,0
2054,1013,0
2036,1046,0
2021,1079,0
2005,1112,0
1987,1140,0
1973,1164,0
1962,1179,0
1959,1186,0
1959,1186,0
1956,1183,0
1959,1180,0
1962,1167,0
1968,1146,0
1983,1122,0
2003,1097,0
2024,1068,0
2052,1039,0
2081,1012,0
2109,991,0
2130,977,0
2146,970,0
2157,967,0
2166,970,0
2171,975,0
2168,986,0
2167,1008,0
2154,1031,0
2142,1057,0
2134,1085,0
2125,1108,0
2117,1129,0
2116,1147,0
2115,1159,0
2120,1165,0
2125,1166,0
