tablecloths, traycloths and runners,
1009
831,2471,0
825,2479,0
827,2487,0
827,2511,0
825,2543,0
818,2579,0
810,2626,0
799,2681,0
786,2736,0
774,2803,0
763,2866,0
751,2937,0
741,3001,0
738,3052,0
742,3093,0
756,3123,0
776,3145,0
800,3156,0
827,3166,0
856,3164,0
878,3158,0
895,3143,0
902,3127,0
906,3103,0
895,3067,1
687,2832,0
680,2839,0
680,2839,0
682,2840,0
689,2844,0
703,2842,0
726,2837,0
761,2830,0
800,2818,0
841,2811,0
880,2801,0
907,2795,0
923,2796,0
929,2793,0
933,2796,0
932,2793,0
925,2784,1
986,3091,0
982,3091,0
979,3083,0
975,3079,0
967,3070,0
957,3070,0
944,3074,0
928,3089,0
911,3104,0
897,3127,0
890,3143,0
892,3151,0
902,3159,0
919,3153,0
938,3141,0
957,3122,0
972,3094,0
985,3075,0
991,3055,0
991,3047,0
991,3047,0
991,3047,0
991,3047,0
992,3051,0
998,3068,0
1007,3076,0
1021,3084,0
1038,3088,0
1058,3080,0
1079,3069,0
1097,3045,0
1115,3008,0
1133,2964,0
1148,2920,0
1160,2876,0
1167,2835,0
1167,2803,0
1164,2787,0
1158,2784,0
1146,2788,0
1132,2816,0
1114,2860,0
1097,2912,0
1085,2977,0
1077,3033,0
1076,3081,0
1081,3117,0
1094,3144,0
1111,3153,0
1131,3152,0
1150,3132,0
1169,3107,0
1182,3066,0
1187,3038,0
1184,3018,0
1175,3015,0
1162,3016,0
1148,3024,0
1136,3044,0
1129,3064,0
1126,3085,0
1131,3105,0
1141,3116,0
1158,3124,0
1181,3122,0
1206,3118,0
1234,3109,0
1263,3087,0
1291,3053,0
1319,3015,0
1345,2964,0
1368,2914,0
1386,2859,0
1396,2806,0
1398,2761,0
1393,2729,0
1386,2718,0
1378,2723,0
1363,2733,0
1348,2771,0
1333,2820,0
1322,2882,0
1312,2947,0
1308,3008,0
1312,3064,0
1326,3115,0
1345,3145,0
1372,3167,0
1404,3171,0
1438,3163,0
1472,3139,0
1508,3110,0
1535,3065,0
1553,3021,0
1563,2987,0
1558,2964,0
1541,2955,0
1515,2963,0
1486,2992,0
1455,3028,0
1436,3075,0
1428,3119,0
1435,3168,0
1456,3205,0
1485,3230,0
1520,3245,0
1561,3255,0
1601,3252,0
1639,3238,1
1804,3064,0
1806,3067,0
1804,3068,0
1797,3065,0
1787,3068,0
1775,3071,0
1761,3074,0
1746,3086,0
1728,3101,0
1711,3122,0
1700,3149,0
1692,3171,0
1691,3192,0
1698,3206,0
1711,3216,0
1734,3228,0
1761,3229,0
1788,3219,0
1819,3212,0
1845,3189,0
1871,3162,0
1897,3130,0
1923,3085,0
1949,3040,0
1971,2987,0
1988,2931,0
1999,2881,0
2005,2841,0
2002,2813,0
1994,2799,0
1981,2794,0
1967,2803,0
1954,2833,0
1941,2876,0
1932,2924,0
1925,2976,0
1923,3031,0
1928,3088,0
1941,3134,0
1961,3170,0
1988,3196,0
2019,3206,0
2050,3205,0
2081,3191,0
2106,3161,0
2129,3129,0
2144,3101,0
2145,3084,0
2134,3076,0
2115,3078,0
2088,3092,0
2060,3118,0
2040,3150,0
2028,3179,0
2028,3204,0
2033,3215,0
2043,3221,0
2059,3220,0
2079,3213,0
2096,3194,0
2113,3176,0
2123,3156,0
2130,3148,0
2128,3145,0
2128,3146,0
2128,3146,0
2131,3149,0
2142,3149,0
2167,3144,0
2195,3117,0
2231,3082,0
2264,3033,0
2295,2977,0
2322,2922,0
2343,2872,0
2354,2832,0
2360,2811,0
2357,2803,0
2355,2805,0
2352,2819,0
2341,2856,0
2333,2908,0
2322,2970,0
2309,3036,0
2301,3110,0
2293,3173,0
2291,3226,0
2292,3259,0
2298,3274,0
2306,3280,0
2309,3269,0
2313,3243,0
2311,3196,1
2196,2984,0
2200,2986,0
2208,2983,0
2223,2977,0
2247,2975,0
2275,2972,0
2312,2974,0
2347,2972,0
2383,2972,0
2414,2971,0
2442,2975,0
2458,2977,0
2464,2979,1
2557,2817,0
2552,2824,0
2549,2835,0
2548,2859,0
2541,2889,0
2533,2929,0
2521,2977,0
2502,3031,0
2482,3094,0
