varieties, however, a toe is worked
1254
472,1439,0
478,1451,0
482,1444,0
487,1433,0
492,1423,0
499,1409,0
509,1396,0
520,1382,0
530,1370,0
538,1351,0
547,1346,0
553,1341,0
557,1337,0
558,1343,0
558,1343,0
556,1346,0
553,1358,0
548,1374,0
541,1392,0
532,1414,0
523,1445,0
514,1467,0
508,1491,0
505,1512,0
506,1529,0
510,1544,0
516,1555,0
527,1568,0
539,1568,0
552,1565,0
569,1563,0
584,1547,0
596,1517,0
608,1488,0
620,1450,0
629,1418,0
636,1387,0
640,1363,0
640,1346,0
641,1342,0
639,1337,0
638,1336,0
639,1341,0
638,1341,0
638,1341,0
637,1340,0
637,1340,0
637,1340,0
638,1341,0
639,1341,0
643,1347,0
648,1349,0
654,1351,0
663,1355,0
674,1358,0
685,1353,0
700,1353,0
716,1355,0
733,1356,0
749,1351,0
763,1347,0
777,1347,0
786,1341,0
796,1344,0
798,1340,0
801,1344,0
798,1339,0
794,1343,0
785,1345,0
773,1346,0
762,1360,0
747,1372,0
731,1384,0
715,1397,0
705,1418,0
693,1431,0
687,1455,0
680,1465,0
681,1481,0
684,1496,0
690,1505,0
699,1516,0
707,1519,0
719,1518,0
732,1508,0
745,1496,0
757,1474,0
769,1452,0
781,1426,0
792,1404,0
798,1381,0
807,1371,0
809,1359,0
807,1350,0
807,1350,0
803,1345,0
804,1350,0
801,1345,0
801,1348,0
802,1353,0
803,1361,0
801,1369,0
801,1385,0
801,1401,0
797,1418,0
798,1442,0
796,1458,0
799,1479,0
801,1493,0
807,1505,0
811,1507,0
820,1508,0
830,1505,0
837,1491,0
849,1476,0
860,1458,0
870,1435,0
879,1414,0
890,1399,0
895,1383,0
904,1376,0
906,1368,0
907,1365,0
909,1369,0
912,1382,0
910,1394,0
909,1414,0
907,1438,0
905,1461,0
901,1481,0
897,1492,0
895,1496,0
895,1496,0
897,1497,0
900,1481,0
907,1457,0
916,1427,0
933,1408,0
948,1394,0
964,1384,0
974,1368,0
986,1361,0
996,1358,0
995,1346,0
1001,1351,0
1003,1351,0
1007,1355,0
1008,1355,0
1013,1359,0
1010,1355,0
1013,1359,0
1013,1359,0
1013,1359,0
1013,1359,0
1013,1359,0
1013,1359,0
1013,1359,0
1011,1356,0
1011,1355,0
1014,1359,0
1010,1355,0
1010,1355,0
1013,1359,0
1013,1359,0
1012,1358,0
1011,1359,0
1013,1363,0
1011,1368,0
1014,1379,0
1009,1382,0
1009,1395,0
1010,1407,0
1009,1419,0
1011,1435,0
1009,1443,0
1015,1459,0
1019,1467,0
1025,1476,0
1033,1484,0
1043,1488,0
1054,1489,0
1068,1489,0
1082,1485,0
1097,1476,0
1115,1469,0
1129,1452,0
1145,1439,0
1154,1418,0
1167,1406,0
1175,1389,0
1182,1377,0
1181,1360,0
1184,1357,0
1179,1348,0
1173,1346,0
1164,1342,0
1157,1346,0
1143,1347,0
1136,1360,0
1126,1372,0
1115,1384,0
1110,1404,0
1104,1421,0
1102,1437,0
1106,1457,0
1108,1464,0
1116,1472,0
1126,1476,0
1144,1483,0
1158,1478,0
1176,1469,0
1196,1456,0
1209,1434,1
1049,1241,0
1041,1232,0
1042,1233,0
1043,1233,0
