obvious. First, however, a word of advice
737
463,4141,0
460,4136,0
455,4144,0
448,4147,0
428,4151,0
419,4146,0
414,4133,0
412,4117,0
417,4089,0
427,4066,0
439,4052,0
456,4039,0
468,4048,0
480,4051,0
489,4063,0
492,4081,0
489,4104,0
482,4131,0
472,4147,0
463,4157,0
458,4157,0
460,4136,0
466,4117,0
476,4086,1
654,3860,0
655,3876,0
650,3899,0
641,3935,0
629,3974,0
615,4021,0
600,4056,0
591,4086,0
588,4098,0
593,4102,0
603,4092,0
623,4062,0
649,4036,0
676,4007,0
702,3994,0
723,3983,0
738,3989,0
746,3998,0
750,4022,0
743,4038,0
731,4065,0
714,4087,0
693,4105,0
671,4120,0
653,4122,0
644,4121,0
643,4113,0
649,4097,0
662,4082,1
815,3991,0
821,3995,0
826,4005,0
829,4020,0
830,4041,0
827,4064,0
827,4089,0
824,4109,0
822,4132,0
823,4136,0
826,4140,0
833,4133,0
846,4109,0
863,4082,0
880,4051,0
896,4017,0
912,3997,1
950,4031,0
955,4039,0
960,4034,0
966,4043,0
968,4051,0
969,4063,0
966,4067,0
964,4075,0
962,4075,1
971,3943,0
973,3931,0
978,3928,0
985,3919,0
994,3916,0
1003,3920,0
1015,3916,0
1029,3921,0
1044,3921,1
1097,4052,0
1088,4065,0
1083,4073,0
1083,4089,0
1084,4104,0
1090,4116,0
1100,4121,0
1115,4124,0
1132,4124,0
1150,4108,0
1169,4096,0
1186,4070,0
1199,4046,0
1204,4022,0
1201,4003,0
1192,3991,0
1175,3991,0
1153,3995,0
1131,4012,0
1115,4032,0
1104,4048,0
1098,4065,0
1105,4072,0
1118,4080,0
1135,4076,1
1256,4009,0
1253,4013,0
1249,4024,0
1245,4045,0
1245,4065,0
1246,4077,0
1254,4093,0
1264,4100,0
1276,4099,1
1457,3982,0
1430,3981,0
1488,4043,0
1503,4049,0
1508,4053,0
1505,4058,1
1575,4065,0
1577,4065,0
1579,4065,0
1580,4064,0
1582,4068,1
1773,3766,0
1775,3766,0
1778,3773,0
1782,3793,0
1781,3817,0
1776,3843,0
1768,3881,0
1753,3921,0
1738,3972,0
1718,4016,0
1700,4051,0
1687,4070,0
1686,4073,1
1789,3795,0
1787,3792,0
1792,3791,0
1807,3792,0
1831,3791,0
1863,3793,0
1895,3790,0
1923,3787,0
1949,3790,0
1962,3795,1
1766,3947,0
1773,3942,0
1794,3942,0
1817,3937,0
1845,3935,0
1870,3930,0
1896,3933,0
1919,3933,0
1941,3935,1
2025,4006,0
2025,4010,0
2024,4015,0
2021,4027,0
2016,4041,0
2011,4058,0
2007,4076,0
2002,4085,0
2003,4093,0
2005,4093,0
2008,4088,0
2010,4071,1
2089,4015,0
2088,4027,0
2087,4040,0
2084,4057,0
2084,4073,0
2079,4078,0
2079,4087,0
2076,4084,0
2079,4087,0
2079,4083,0
2078,4066,0
2084,4053,0
2091,4035,0
2101,4019,0
2113,4003,0
2125,3988,0
2140,3980,0
2154,3976,1
2276,3986,0
2274,3982,0
2265,3981,0
2263,4065,1
2379,4002,0
2381,4002,0
2390,4003,0
2398,3996,0
2417,3998,0
2434,4000,0
2458,4009,0
2472,4003,0
2492,4009,0
2502,4010,0
2509,4011,0
2507,4004,0
2504,4005,1
2438,3944,0
2438,3957,0
2434,3970,0
2432,3988,0
2429,4015,0
2425,4038,0
2421,4064,0
2423,4085,0
2425,4089,1
2531,4143,0
2523,4172,0
2504,4183,0
2490,4205,0
2471,4220,1
2772,3855,0
2767,3848,0
2769,3852,0
2765,3848,0
2766,3866,0
2762,3889,0
2759,3927,0
2753,3964,0
2746,3998,0
2742,4030,0
2736,4054,0
2735,4068,0
2733,4073,0
2734,4072,0
2738,4071,0
2741,4052,0
2752,4034,0
2762,4012,0
2778,3997,0
2796,3981,0
2813,3972,0
2828,3969,0
2840,3973,0
2847,3978,0
2854,3993,0
2852,4007,0
2849,4026,0
2850,4044,0
2851,4047,1
2956,4032,0
2952,4044,0
2948,4054,0
2941,4063,0
2932,4066,0
2924,4066,0
2917,4061,0
2916,4053,0
2919,4029,0
2933,4009,0
2950,3992,0
2967,3978,0
2982,3971,0
2994,3969,0
3001,3975,0
3003,3987,0
2997,4008,0
2986,4031,0
2970,4048,0
2958,4059,0
2956,4063,1
3092,3940,0
3099,3952,0
3094,3954,0
3091,3969,0
3088,3989,0
3086,4013,0
3078,4034,0
3077,4053,0
3079,4066,0
3080,4065,0
3091,4065,0
3105,4052,0
3118,4027,0
3136,4009,0
3153,3995,0
3156,3979,0
3157,3974,0
3164,3984,0
3162,3995,0
3156,4012,0
3153,4036,0
3148,4048,0
3154,4062,0
3157,4061,0
3170,4063,0
3185,4051,0
3200,4033,0
3221,4017,0
3234,3992,0
3252,3981,0
3261,3962,0
3267,3950,0
3278,3948,1
3295,4007,0
3305,4020,0
3319,4026,0
3331,4024,0
3349,4022,0
3360,4006,0
3379,4000,0
3388,3985,0
3396,3976,0
3392,3964,0
3390,3961,0
3376,3959,0
3357,3966,0
3331,3977,0
3312,3998,0
3295,4022,0
3287,4039,0
3286,4054,0
3293,4064,0
3311,4072,0
3329,4067,0
3346,4056,0
3370,4051,0
3395,4046,0
3407,4030,1
3460,3964,0
3464,3971,0
3464,3986,0
3460,4003,0
3458,4027,0
3457,4051,0
3455,4066,0
3457,4075,0
3462,4075,0
3473,4074,0
3481,4055,0
3498,4035,0
3508,4005,0
3530,3982,0
3544,3957,0
3563,3945,0
3568,3928,0
3578,3926,0
3583,3928,0
3587,3935,1
3569,4023,0
3574,4029,0
3584,4032,0
3595,4030,0
3609,4025,0
3625,4015,0
3644,4007,0
3653,3991,0
3661,3981,0
3659,3969,0
3653,3962,0
3639,3962,0
3618,3967,0
3600,3983,0
3580,4001,0
3573,4024,0
3573,4039,0
3580,4049,0
3590,4051,0
3612,4057,0
3631,4054,0
3648,4048,0
3665,4041,0
3679,4032,1
3711,4005,0
3701,4007,0
3698,4019,0
3697,4034,0
3696,4045,0
3697,4053,0
3694,4051,0
3699,4052,0
3694,4045,0
3701,4041,0
3699,4017,0
3711,4000,0
3725,3981,0
3735,3954,0
3753,3937,0
3769,3925,0
3785,3919,0
3796,3921,0
3805,3925,0
3810,3931,1
3766,4046,0
3753,4058,0
3747,4073,0
3729,4085,0
3721,4104,1
4078,3993,0
4072,3994,0
4059,3994,0
4043,3996,0
4039,4014,0
4032,4029,0
4026,4044,0
4025,4059,0
4036,4076,0
4047,4084,0
4063,4087,0
4079,4085,0
4092,4075,0
4104,4060,0
4114,4042,0
4121,4022,0
4130,4004,0
4131,3987,0
4131,3978,0
4121,3971,0
4110,3974,0
4097,3984,0
4082,3995,0
4073,4009,0
4070,4020,1
4150,3972,0
4148,3978,0
4139,3981,0
4133,3991,0
4133,4007,0
4128,4021,0
4125,4039,0
4121,4056,0
4119,4074,0
4117,4085,0
4111,4085,0
4121,4092,0
4130,4086,1
4450,3959,0
4451,3959,0
4451,3959,0
4449,3960,0
4449,3970,0
4446,3985,0
4447,4010,0
4437,4024,0
4437,4044,0
4439,4054,0
4442,4057,0
4449,4056,0
4458,4048,0
4468,4029,0
4484,4015,0
4495,4000,0
4507,3995,0
4502,3988,0
4507,3994,0
4505,4002,0
4509,4019,0
4509,4035,0
4515,4051,0
4513,4059,0
4528,4073,0
4537,4075,0
4550,4069,0
4567,4059,0
4582,4040,0
4593,4013,0
4613,3995,0
4627,3976,0
4639,3960,1
4697,3983,0
4693,3997,0
4679,4010,0
4668,4026,0
4668,4043,0
4671,4056,0
4678,4065,0
4690,4072,0
4698,4070,0
4709,4064,0
4729,4056,0
4740,4036,0
4749,4010,0
4753,3985,0
4758,3969,0
4753,3957,0
4743,3949,0
4724,3946,0
4708,3954,0
4696,3972,0
4688,3991,0
4679,4005,0
4687,4020,0
4697,4027,0
4716,4030,1
4806,3976,0
4813,3986,0
4805,3989,0
4807,4004,0
4803,4014,0
4798,4024,0
4794,4034,0
4792,4041,0
4784,4036,0
4789,4037,0
4786,4025,0
4796,4010,0
4809,3986,0
4829,3966,0
4846,3950,0
4860,3935,0
4874,3933,0
4878,3935,0
4879,3940,0
4891,3956,0
4897,3966,1
5068,3815,0
5062,3822,0
5057,3839,0
5050,3859,0
5046,3887,0
5032,3913,0
5020,3942,0
5018,3980,0
5013,4007,0
5013,4024,0
5017,4039,0
5026,4047,0
5030,4047,0
5032,4039,0
5030,4024,0
5027,4010,0
5011,3998,0
4998,3994,0
4976,3993,0
4953,4001,0
4924,4007,0
4918,4019,0
4920,4028,0
4925,4034,0
4938,4039,0
4962,4043,0
4982,4040,0
5005,4039,0
5028,4037,1
5336,4068,0
5332,4073,0
5323,4076,0
5312,4076,0
5300,4071,0
5286,4063,0
5276,4050,0
5270,4033,0
5274,4017,0
5281,3998,0
5295,3983,0
5313,3974,0
5329,3969,0
5345,3975,0
5350,3981,0
5354,4000,0
5347,4015,0
5332,4030,0
5322,4048,0
5306,4060,0
5294,4066,0
5288,4068,0
5289,4066,0
5294,4060,0
5310,4048,1
5505,3974,0
5506,3972,0
5500,3967,0
5491,3966,0
5480,3971,0
5466,3988,0
5450,4012,0
5435,4042,0
5419,4073,0
5406,4104,0
5400,4133,0
5399,4159,0
5401,4181,0
5405,4193,0
5408,4202,0
5408,4202,0
5404,4195,1
5363,4092,0
5364,4085,0
5376,4082,0
5396,4074,0
5423,4061,0
5453,4051,0
5487,4049,0
5510,4048,0
5528,4051,1
5923,4041,0
5924,4045,0
5921,4048,0
5913,4052,0
5899,4057,0
5885,4062,0
5867,4065,0
5849,4063,0
5844,4056,0
5839,4043,0
5842,4025,0
5853,4006,0
5869,3993,0
5887,3989,0
5899,3992,0
5906,3997,0
5913,4008,0
5914,4020,0
5916,4029,0
5914,4038,0
5915,4044,1
5947,3983,0
5947,3989,0
5946,3998,0
5948,4015,0
5945,4032,0
5944,4046,0
5938,4059,0
5940,4070,0
5942,4080,1
6046,4065,0
6040,4079,0
6030,4092,0
6013,4100,0
6003,4106,0
5991,4102,0
5990,4097,0
5990,4078,0
6000,4060,0
6010,4039,0
6024,4029,0
6034,4022,0
6046,4019,0
6049,4022,0
6053,4036,0
6049,4054,0
6051,4078,0
6044,4099,0
6037,4115,0
6039,4125,0
6041,4123,0
6043,4120,0
6044,4106,0
6054,4075,0
6056,4039,0
6079,4009,0
6088,3971,0
6095,3935,0
6100,3909,0
6110,3889,0
6113,3877,0
6114,3876,0
6116,3880,1
6173,3984,0
6169,3982,0
6170,3983,0
6176,3994,0
6179,4011,0
6177,4032,0
6178,4058,0
6177,4080,0
6174,4096,0
6184,4109,0
6188,4111,0
6195,4108,0
6205,4102,0
6223,4086,0
6235,4062,0
6252,4040,0
6267,4020,0
6287,4006,0
6300,3996,0
6309,3997,1
6313,4038,0
6315,4041,0
6312,4053,0
6312,4061,0
6312,4073,0
6305,4082,0
6300,4089,1
6333,3950,0
6342,3944,0
6354,3940,0
6365,3939,0
6377,3936,0
6395,3945,0
6405,3952,0
6418,3962,0
6424,3974,1
6470,4039,0
6465,4040,0
6458,4043,0
6442,4044,0
6423,4051,0
6414,4063,0
6405,4075,0
6397,4085,0
6400,4102,0
6409,4110,0
6430,4116,0
6454,4116,0
6482,4112,1
6577,4077,0
6576,4077,0
6580,4077,0
6595,4078,0
6620,4077,0
6642,4068,0
6667,4058,0
6683,4042,0
6692,4029,0
6697,4023,0
6691,4018,0
6674,4015,0
6651,4027,0
6625,4043,0
6594,4059,0
6577,4082,0
6570,4099,0
6575,4114,0
6589,4128,0
6606,4132,0
6635,4133,0
6664,4132,0
6693,4128,0
6717,4120,0
6728,4111,1
