Petrol, or any other inflammable liquid,
561
904,2811,0
904,2819,0
902,2831,0
903,2852,0
905,2879,0
905,2899,0
904,2919,0
903,2931,0
902,2931,0
901,2931,0
897,2914,0
892,2898,0
887,2870,0
886,2846,0
890,2818,0
902,2791,0
921,2776,0
940,2761,0
956,2750,0
972,2750,0
989,2759,0
1032,2813,0
1035,2832,0
1030,2848,0
1016,2860,0
994,2867,0
970,2871,0
953,2873,0
944,2873,1
1052,2897,0
1065,2900,0
1076,2900,0
1091,2897,0
1110,2896,0
1126,2888,0
1140,2881,0
1147,2872,0
1146,2860,0
1138,2852,0
1125,2844,0
1111,2844,0
1102,2849,0
1100,2861,0
1105,2873,0
1119,2892,0
1194,2914,0
1211,2910,1
1242,2752,0
1242,2751,0
1241,2751,0
1239,2756,0
1236,2776,0
1237,2800,0
1244,2828,0
1257,2863,0
1269,2890,0
1276,2905,0
1281,2905,0
1285,2901,0
1288,2885,0
1294,2872,0
1303,2859,0
1307,2851,0
1306,2847,0
1298,2840,0
1242,2840,0
1225,2844,0
1216,2853,0
1211,2854,0
1213,2853,1
1329,2845,0
1338,2852,0
1350,2867,0
1361,2878,0
1372,2888,0
1382,2896,0
1384,2895,0
1387,2891,0
1387,2871,0
1384,2847,0
1379,2824,0
1383,2815,0
1416,2803,1
1499,2852,0
1509,2847,0
1512,2838,0
1508,2826,0
1500,2820,0
1481,2806,0
1462,2801,0
1450,2807,0
1445,2820,0
1454,2847,0
1469,2853,0
1487,2854,0
1511,2854,0
1533,2847,0
1555,2835,1
1545,2723,0
1545,2727,0
1546,2739,0
1549,2759,0
1556,2782,0
1571,2811,0
1633,2877,0
1650,2881,0
1667,2886,0
1682,2878,1
1713,2851,0
1715,2866,0
1710,2884,0
1702,2907,0
1689,2922,0
1677,2936,0
1664,2943,0
1660,2953,1
2108,2854,0
2116,2847,0
2121,2837,0
2120,2824,0
2116,2813,0
2106,2804,0
2087,2794,0
2074,2795,0
2061,2799,0
2058,2814,0
2058,2826,0
2065,2837,0
2072,2842,0
2087,2849,0
2105,2852,0
2123,2849,0
2142,2845,1
2152,2794,0
2153,2794,0
2159,2800,0
2167,2813,0
2176,2828,0
2184,2842,0
2191,2852,0
2195,2854,0
2194,2846,0
2200,2840,0
2200,2821,0
2205,2811,0
2210,2800,0
2219,2792,0
2228,2784,0
2242,2782,1
2516,2807,0
2516,2802,0
2513,2796,0
2504,2791,0
2488,2786,0
2475,2789,0
2467,2798,0
2460,2805,0
2462,2818,0
2467,2829,0
2476,2832,0
2489,2831,0
2504,2827,0
2514,2813,0
2516,2798,0
2521,2791,0
2526,2788,0
2532,2794,0
2540,2808,0
2543,2820,0
2545,2832,0
2548,2840,0
2550,2843,1
2574,2784,0
2580,2781,0
2581,2776,0
2585,2777,0
2591,2784,0
2599,2793,0
2621,2812,0
2634,2819,0
2637,2813,0
2641,2801,0
2645,2789,0
2645,2779,0
2655,2778,0
2666,2781,1
2738,2778,0
2742,2776,0
2747,2778,0
2758,2785,0
2774,2794,0
2794,2804,0
2813,2806,0
2833,2808,0
2843,2801,0
2848,2793,0
2846,2785,0
2846,2795,0
2834,2807,0
2824,2828,0
2810,2851,0
2797,2873,0
2789,2893,0
