Finally, never, never pull a drill around by
931
988,1221,0
994,1245,0
998,1278,0
1003,1318,0
1008,1367,0
1009,1415,0
1006,1463,0
1006,1511,0
1006,1555,0
1006,1587,0
1006,1615,0
1003,1635,0
1002,1647,1
958,1234,0
959,1235,0
964,1235,0
972,1235,0
989,1237,0
1006,1230,0
1028,1228,0
1055,1229,0
1076,1221,0
1100,1217,0
1125,1216,0
1143,1211,0
1155,1206,1
994,1414,0
998,1418,0
1006,1423,0
1021,1427,0
1037,1424,0
1056,1421,0
1075,1417,0
1092,1413,0
1109,1409,1
1232,1396,0
1234,1419,0
1232,1440,0
1232,1464,0
1233,1492,0
1233,1517,0
1231,1537,0
1232,1553,0
1235,1564,1
1214,1281,0
1214,1281,0
1215,1281,0
1216,1281,0
1220,1284,1
1293,1394,0
1296,1398,0
1302,1405,0
1306,1416,0
1307,1429,1
1310,1529,0
1314,1553,0
1316,1565,0
1318,1568,0
1323,1568,0
1331,1563,0
1336,1541,0
1344,1512,0
1356,1484,0
1369,1457,0
1381,1433,0
1397,1418,0
1409,1406,0
1423,1402,0
1439,1406,0
1448,1416,0
1457,1438,0
1460,1466,0
1466,1503,0
1465,1532,0
1469,1559,0
1469,1580,0
1471,1596,0
1480,1610,1
1584,1424,0
1577,1427,0
1568,1435,0
1556,1452,0
1544,1477,0
1532,1511,0
1517,1537,0
1515,1566,0
1515,1583,0
1524,1597,0
1534,1603,0
1545,1599,0
1558,1582,0
1573,1556,0
1590,1529,0
1604,1502,0
1616,1480,0
1627,1471,0
1630,1470,0
1628,1470,0
1632,1482,0
1626,1502,0
1626,1528,0
1622,1551,0
1625,1575,0
1629,1591,0
1638,1600,0
1648,1597,0
1660,1582,1
1740,1293,0
1739,1327,0
1736,1370,0
1733,1416,0
1728,1459,0
1729,1504,0
1724,1541,0
1727,1584,0
1724,1616,0
1725,1638,0
1725,1638,0
1727,1638,0
1726,1620,1
1814,1257,0
1811,1283,0
1811,1316,0
1821,1357,0
1821,1394,0
1819,1433,0
1814,1473,0
1812,1515,0
1813,1556,0
1812,1588,0
1816,1617,0
1816,1631,0
1819,1638,1
1873,1480,0
1882,1494,0
1885,1510,0
1894,1533,0
1898,1554,0
1907,1576,0
1916,1594,0
1925,1603,0
1940,1608,0
1952,1600,0
1968,1586,0
1978,1561,0
1993,1537,0
2002,1507,0
2014,1483,0
2021,1458,0
2030,1442,0
2031,1430,0
2032,1430,0
2030,1432,0
2027,1449,0
2014,1473,0
2003,1505,0
1983,1543,0
1960,1587,0
1934,1630,0
1912,1674,0
1894,1716,0
1879,1747,1
2124,1640,0
2118,1660,0
2116,1680,0
2113,1697,0
2110,1708,1
2229,1422,0
2229,1433,0
2229,1450,0
2232,1473,0
2228,1498,0
2225,1527,0
2224,1558,0
2220,1582,0
2221,1603,0
2219,1609,0
2219,1609,0
2227,1608,0
2232,1593,0
2242,1565,0
2252,1531,0
2269,1500,0
2277,1470,0
2291,1452,0
2301,1442,0
2307,1436,0
2311,1438,0
2319,1447,0
2321,1462,0
2325,1486,0
2321,1511,0
2321,1538,0
2325,1563,0
2328,1581,0
2331,1594,0
2338,1604,0
2346,1608,0
2349,1599,0
2355,1583,1
2392,1549,0
2394,1553,0
2402,1556,0
2412,1557,0
2425,1551,0
2437,1539,0
2449,1522,0
2454,1498,0
2458,1478,0
2458,1460,0
2454,1446,0
2447,1436,0
2439,1433,0
2424,1433,0
2414,1442,0
2402,1462,0
2398,1488,0
2396,1512,0
2398,1537,0
2405,1559,0
2422,1581,0
2435,1591,0
2453,1595,0
2466,1590,0
2486,1581,1
2547,1434,0
2547,1434,0
2550,1437,0
2550,1442,0
2555,1459,0
2557,1482,0
2557,1506,0
2560,1533,0
2561,1556,0
2568,1577,0
2575,1592,0
2579,1599,0
2588,1602,0
2592,1598,0
2605,1590,0
2610,1567,0
2618,1539,0
2624,1508,0
2630,1483,0
2638,1462,0
2639,1442,1
2658,1537,0
2660,1547,0
2673,1557,0
2680,1561,0
2685,1560,0
2695,1556,0
2710,1549,0
2717,1535,0
2723,1515,0
2733,1496,0
2736,1474,0
2743,1459,0
2731,1442,0
2726,1434,0
2722,1434,0
2710,1436,0
2704,1449,0
2695,1469,0
2690,1493,0
2691,1523,0
2694,1550,0
2697,1570,0
2706,1586,0
2719,1596,0
2736,1600,0
2754,1597,0
2774,1586,0
2791,1566,0
2808,1545,0
2820,1522,0
2828,1500,0
2835,1482,0
2842,1467,0
2844,1458,0
2842,1454,0
2846,1456,0
2844,1458,0
2849,1471,0
2850,1490,0
2854,1511,0
2857,1534,0
2859,1551,0
2860,1562,0
2866,1568,0
2871,1568,0
2869,1565,0
2875,1557,0
2873,1532,0
2877,1507,0
2883,1485,0
2887,1466,0
2892,1452,0
2897,1445,1
2972,1568,0
2965,1575,0
2959,1585,0
2956,1594,0
2957,1608,0
2951,1621,0
2947,1639,0
2945,1655,0
2941,1667,1
3046,1447,0
3049,1449,0
3052,1452,0
3057,1459,0
3059,1470,1
3068,1508,0
3069,1529,0
3068,1549,0
3071,1568,0
3071,1582,0
3073,1591,0
3076,1594,0
3081,1594,0
3083,1585,0
3090,1568,0
3100,1546,0
3109,1518,0
