So, for a start, we
379
1585,1780,0
1579,1777,0
1564,1769,0
1544,1767,0
1503,1766,0
1444,1772,0
1380,1789,0
1321,1812,0
1280,1833,0
1261,1851,0
1254,1868,0
1261,1887,0
1290,1908,0
1333,1931,0
1379,1956,0
1424,1988,0
1462,2030,0
1491,2081,0
1506,2135,0
1501,2190,0
1469,2241,0
1419,2301,0
1355,2356,0
1288,2399,0
1223,2432,0
1169,2443,0
1129,2432,0
1098,2409,0
1076,2373,0
1066,2337,0
1071,2313,0
1092,2305,0
1124,2304,1
1678,2119,0
1653,2127,0
1639,2151,0
1621,2186,0
1606,2231,0
1593,2279,0
1593,2328,0
1606,2362,0
1633,2385,0
1666,2393,0
1705,2386,0
1744,2367,0
1783,2342,0
1814,2306,0
1841,2263,0
1862,2217,0
1865,2169,0
1854,2134,0
1825,2111,0
1780,2093,0
1740,2091,0
1709,2088,0
1701,2091,0
1703,2099,0
1715,2121,1
1931,2348,0
1940,2354,0
1956,2364,0
1963,2383,0
1955,2416,0
1925,2449,0
1888,2487,0
1853,2521,0
1824,2538,1
2211,2607,0
2215,2614,0
2218,2613,0
2218,2608,0
2218,2604,0
2217,2579,0
2217,2525,0
2221,2451,0
2241,2369,0
2273,2279,0
2322,2185,0
2388,2091,0
2457,1992,0
2541,1915,0
2611,1865,0
2651,1849,0
2680,1867,1
2241,2260,0
2239,2256,0
2248,2248,0
2273,2238,0
2314,2223,0
2365,2205,0
2420,2194,0
2465,2183,0
2500,2178,1
2651,2166,0
2650,2161,0
2647,2159,0
2640,2158,0
2624,2162,0
2606,2179,0
2586,2205,0
2575,2243,0
2569,2281,0
2581,2316,0
2606,2338,0
2634,2342,0
2668,2333,0
2703,2311,0
2728,2273,0
2750,2229,0
2760,2186,0
2755,2157,0
2736,2143,0
2707,2135,0
2675,2136,0
2645,2139,0
2630,2146,0
2627,2149,0
2634,2159,1
2787,2172,0
2814,2171,0
2835,2174,0
2846,2180,0
2854,2194,0
2854,2215,0
2855,2246,0
2854,2283,0
2850,2313,0
2848,2335,0
2852,2342,0
2852,2338,0
2856,2318,0
2864,2286,0
2872,2247,0
2887,2218,0
2914,2205,0
2949,2200,0
2992,2198,0
3041,2201,1
3583,2221,0
3580,2210,0
3588,2202,0
3586,2192,0
3575,2181,0
3554,2174,0
3527,2181,0
3493,2203,0
3452,2245,0
3411,2298,0
3382,2352,0
3374,2388,0
3381,2404,0
3399,2403,0
3426,2386,0
3457,2359,0
3482,2320,0
3508,2284,0
3527,2256,0
3537,2233,0
3543,2225,0
3541,2222,0
3543,2225,0
3549,2243,0
3556,2279,0
3568,2313,0
3600,2343,0
3633,2359,0
3679,2374,1
4335,2207,0
4340,2200,0
4337,2189,0
4332,2183,0
4302,2177,0
4260,2184,0
4207,2199,0
4164,2215,0
4138,2231,0
4128,2239,0
4138,2252,0
4163,2265,0
4203,2278,0
4246,2292,0
4281,2306,0
4299,2321,0
4304,2342,0
4286,2363,0
4243,2389,0
4191,2415,0
4133,2438,0
4078,2452,0
4036,2460,0
4005,2454,0
3989,2437,0
3995,2410,0
4013,2379,0
4046,2347,0
4090,2314,1
4493,1955,0
4501,1940,0
4517,1927,0
4526,1918,0
4523,1915,0
4523,1924,0
4511,1949,0
4505,1993,0
4494,2048,0
4488,2116,0
4474,2188,0
4464,2257,0
4464,2318,0
4463,2364,0
4471,2396,0
4475,2403,0
4475,2403,0
4469,2384,0
4456,2351,0
4443,2321,0
4422,2293,1
4389,2263,0
4380,2248,0
4380,2241,0
4394,2234,0
4433,2231,0
4480,2231,0
4533,2227,0
4587,2224,0
4637,2224,0
4683,2224,0
4716,2224,0
4729,2226,0
4719,2227,0
4695,2236,0
4655,2248,0
4615,2272,0
4573,2308,0
4538,2350,0
4524,2393,0
4526,2434,0
4543,2460,0
4573,2472,0
4611,2466,0
4649,2444,0
4683,2405,0
4708,2357,0
4714,2305,0
4712,2280,0
4700,2267,0
4691,2268,0
4685,2270,0
4688,2288,0
4702,2326,0
4724,2362,0
4748,2390,0
4775,2407,0
4805,2412,0
4840,2402,0
4871,2381,0
4898,2347,0
4920,2317,0
4936,2307,0
4934,2309,0
4938,2319,0
4937,2335,0
4944,2359,0
4941,2386,0
4936,2410,0
4932,2417,0
4934,2415,0
4932,2402,0
4935,2373,0
4942,2336,0
4961,2304,0
4984,2277,0
5012,2258,0
5053,2248,0
5096,2244,0
5122,2246,0
5131,2255,0
5130,2274,0
5120,2294,0
5108,2307,0
5109,2306,1
5166,2055,0
5185,2034,0
5203,2012,0
5217,2002,0
5213,2000,0
5211,2015,0
5199,2051,0
5197,2104,0
5184,2176,0
5172,2262,0
5168,2340,0
5177,2400,0
5195,2441,0
5206,2463,0
5212,2466,0
5215,2455,0
5216,2427,0
5204,2398,0
5183,2373,0
5151,2353,0
5115,2344,0
5096,2338,0
5100,2340,0
5110,2338,0
5149,2340,0
5200,2338,0
5252,2335,0
5303,2332,0
5349,2329,0
5392,2325,0
5429,2323,0
5459,2324,1
5401,2464,0
5401,2464,0
5402,2470,0
5404,2484,0
5397,2511,0
5383,2549,0
5356,2596,0
5320,2632,0
5296,2651,1
5828,2242,0
5824,2241,0
5826,2247,0
5822,2273,0
5814,2321,0
5802,2377,0
5805,2426,0
5810,2452,0
5833,2461,0
5859,2453,0
5891,2431,0
5924,2398,0
5958,2352,0
5982,2318,0
6002,2304,0
5996,2306,0
6001,2326,0
5997,2364,0
5987,2405,0
5991,2444,0
6003,2475,0
6022,2492,0
6045,2490,0
6075,2473,0
6102,2442,0
6125,2400,0
6150,2355,0
6177,2311,0
6194,2271,0
6201,2242,0
6208,2224,0
6203,2224,0
6191,2234,1
6194,2331,0
6205,2359,0
6213,2379,0
6232,2396,0
6263,2405,0
6300,2410,0
6336,2405,0
6372,2392,0
6400,2379,0
6417,2359,0
6414,2333,0
6399,2316,0
6362,2302,0
6314,2304,0
6257,2315,0
6213,2347,0
6177,2391,0
6169,2438,0
6186,2478,0
6225,2511,0
6280,2526,0
6350,2524,0
6425,2515,0
6495,2503,1
