as the edge of the seat, feeding tray,
783
1075,2677,0
1069,2677,0
1059,2673,0
1047,2673,0
1030,2668,0
1011,2668,0
991,2675,0
970,2678,0
952,2685,0
936,2700,0
921,2716,0
910,2731,0
905,2755,0
906,2775,0
911,2791,0
922,2804,0
973,2818,0
991,2815,0
1008,2803,0
1022,2788,0
1032,2768,0
1039,2753,0
1042,2736,0
1042,2716,0
1037,2753,0
1040,2777,0
1044,2796,0
1050,2816,0
1056,2833,0
1059,2837,0
1066,2840,0
1086,2841,1
1175,2675,0
1173,2675,0
1169,2675,0
1164,2680,0
1160,2688,0
1158,2695,0
1158,2700,0
1161,2708,0
1165,2711,0
1173,2714,0
1184,2719,0
1198,2722,0
1213,2729,0
1259,2750,0
1266,2758,0
1271,2765,0
1272,2774,0
1271,2782,0
1262,2782,0
1254,2791,0
1165,2811,0
1146,2808,0
1129,2804,0
1117,2805,0
1107,2804,0
1100,2801,1
1473,2569,0
1473,2564,0
1474,2564,0
1473,2564,0
1473,2569,0
1472,2585,0
1471,2610,0
1480,2652,0
1490,2696,0
1496,2731,0
1503,2767,0
1506,2794,0
1509,2818,0
1511,2835,0
1510,2839,0
1510,2842,0
1511,2842,1
1578,2696,0
1579,2700,0
1576,2700,0
1564,2702,0
1544,2702,0
1521,2703,0
1500,2706,0
1481,2714,0
1462,2717,0
1450,2722,0
1437,2724,0
1427,2721,0
1420,2718,1
1551,2567,0
1553,2566,0
1556,2574,0
1560,2589,0
1566,2617,0
1572,2648,0
1578,2680,0
1587,2715,0
1596,2750,0
1603,2781,0
1607,2801,0
1613,2819,0
1612,2820,0
1610,2816,0
1611,2820,0
1608,2813,0
1599,2753,0
1602,2732,0
1607,2714,0
1616,2700,0
1626,2690,0
1637,2683,0
1648,2681,0
1660,2687,0
1722,2820,0
1730,2827,0
1737,2829,0
1747,2830,0
1759,2819,0
1771,2812,0
1783,2800,0
1792,2785,0
1778,2673,0
1770,2675,0
1763,2685,0
1756,2696,0
1755,2717,0
1754,2733,0
1760,2753,0
1774,2774,0
1880,2815,0
1886,2813,0
1889,2812,0
1889,2812,0
1887,2812,1
2066,2767,0
2077,2772,0
2089,2777,0
2100,2776,0
2115,2775,0
2130,2768,0
2149,2760,0
2166,2750,0
2181,2739,0
2187,2723,0
2194,2712,0
2195,2698,0
2188,2688,0
2178,2680,0
2152,2682,0
2135,2688,0
2120,2700,0
2106,2718,0
2092,2736,0
2079,2754,0
2074,2774,0
2072,2791,0
2179,2844,0
2187,2836,0
2195,2828,0
2201,2822,0
2209,2818,0
2218,2815,0
2231,2813,1
2350,2781,0
2352,2770,0
2354,2761,0
2343,2743,0
2333,2731,0
2314,2717,0
2299,2712,0
2283,2710,0
2270,2716,0
2259,2726,0
2251,2738,0
2244,2755,0
2318,2835,0
2329,2825,0
2341,2811,0
2349,2790,0
