ordered his armchair, HCI, for its
840
884,5129,0
875,5136,0
868,5144,0
854,5151,0
839,5167,0
819,5185,0
793,5208,0
772,5243,0
756,5278,0
744,5301,0
738,5325,0
736,5349,0
741,5361,0
752,5366,0
767,5363,0
785,5352,0
804,5329,0
824,5306,0
842,5271,0
859,5239,0
872,5212,0
880,5192,0
880,5180,0
879,5180,0
875,5180,0
870,5188,0
866,5196,0
866,5212,0
868,5224,0
871,5240,0
879,5248,0
890,5249,0
904,5245,0
919,5233,0
938,5214,0
953,5199,0
968,5192,0
978,5183,0
985,5187,0
985,5203,0
979,5224,0
969,5259,0
955,5294,0
940,5326,0
931,5354,0
928,5362,0
931,5359,0
939,5347,0
956,5323,0
976,5287,0
996,5260,0
1011,5236,0
1021,5228,0
1023,5224,0
1023,5224,0
1022,5220,0
1023,5224,0
1023,5232,0
1023,5240,0
1025,5248,0
1032,5253,0
1044,5256,0
1059,5248,0
1076,5245,0
1096,5236,0
1116,5232,0
1135,5224,0
1149,5224,0
1157,5228,0
1158,5232,0
1155,5236,0
1144,5252,0
1128,5268,0
1108,5292,0
1088,5320,0
1072,5348,0
1064,5372,0
1060,5388,0
1063,5404,0
1067,5408,0
1077,5412,0
1088,5409,0
1105,5388,0
1126,5364,0
1151,5332,0
1175,5288,0
1203,5243,0
1230,5190,0
1255,5145,0
1275,5108,0
1289,5084,0
1295,5072,0
1295,5072,0
1294,5068,0
1288,5079,0
1276,5100,0
1264,5129,0
1249,5169,0
1233,5214,0
1216,5258,0
1203,5299,0
1192,5335,0
1187,5363,0
1187,5392,0
1189,5403,0
1199,5411,0
1211,5407,0
1227,5398,0
1246,5382,0
1265,5361,0
1286,5340,0
1301,5315,0
1314,5303,0
1318,5291,0
1317,5279,0
1312,5274,0
1307,5267,0
1297,5267,0
1288,5268,0
1281,5280,0
1273,5297,0
1264,5320,0
1257,5345,0
1253,5369,0
1254,5389,0
1258,5409,0
1263,5417,0
1272,5425,0
1286,5424,0
1301,5407,0
1322,5383,0
1342,5358,0
1363,5337,0
1380,5324,0
1391,5323,0
1393,5323,0
1394,5335,0
1389,5355,0
1380,5388,0
1369,5424,0
1361,5445,0
1359,5441,0
1364,5441,0
1370,5424,0
1382,5404,0
1398,5378,0
1414,5358,0
1426,5340,0
1435,5336,0
1436,5336,0
1439,5340,0
1439,5347,0
1440,5356,0
1440,5360,0
1444,5364,0
1447,5367,0
1457,5371,0
1468,5366,0
1482,5356,0
1498,5343,0
1514,5330,0
1528,5313,0
1540,5296,0
1546,5283,0
1546,5271,0
1546,5272,0
1543,5267,0
1538,5268,0
1531,5272,0
1521,5281,0
1510,5298,0
1500,5327,0
1492,5352,0
1490,5368,0
1494,5380,0
1503,5387,0
1515,5398,0
1527,5397,0
1543,5392,0
1560,5386,0
1579,5368,0
