school, is catered for, both in the supply
1067
730,5813,0
738,5802,0
749,5779,0
757,5751,0
766,5728,0
774,5699,0
782,5680,0
787,5657,0
792,5641,0
795,5625,0
796,5613,0
793,5609,0
796,5609,0
793,5612,0
793,5621,0
793,5633,0
796,5649,0
799,5673,0
808,5689,0
819,5710,0
835,5715,0
849,5732,0
864,5744,0
872,5756,0
876,5769,0
874,5776,0
866,5788,0
851,5795,0
837,5803,0
822,5806,0
812,5810,0
805,5810,0
804,5810,0
803,5805,0
806,5802,0
812,5791,0
826,5782,1
973,5672,0
960,5687,0
943,5699,0
932,5718,0
926,5742,0
928,5762,0
938,5779,0
955,5795,0
978,5804,0
1000,5803,0
1023,5796,0
1046,5780,0
1069,5761,1
1068,5557,0
1061,5548,0
1057,5544,0
1056,5545,0
1057,5548,0
1061,5572,0
1068,5609,0
1074,5644,0
1077,5688,0
1081,5721,0
1085,5756,0
1091,5780,0
1093,5804,0
1090,5812,0
1090,5812,0
1093,5808,0
1096,5796,0
1103,5772,0
1114,5760,0
1124,5744,0
1134,5736,0
1143,5732,0
1151,5735,0
1161,5748,0
1169,5763,0
1179,5775,0
1192,5786,0
1206,5791,0
1220,5790,0
1233,5786,0
1245,5778,0
1256,5765,0
1264,5740,0
1270,5717,0
1271,5704,0
1272,5705,0
1271,5709,0
1271,5717,0
1274,5729,0
1281,5740,0
1294,5752,0
1313,5763,0
1329,5771,0
1346,5774,0
1361,5777,0
1374,5769,0
1382,5764,0
1385,5747,0
1381,5732,0
1371,5716,0
1354,5701,0
1334,5690,0
1307,5683,0
1284,5680,0
1269,5681,0
1262,5681,0
1260,5682,0
1262,5681,0
1270,5680,0
1286,5684,0
1303,5680,0
1323,5687,0
1340,5689,0
1356,5698,0
1365,5701,0
1380,5708,0
1394,5716,0
1414,5723,0
1433,5725,0
1450,5720,0
1463,5719,0
1472,5710,0
1476,5706,0
1481,5701,0
1481,5698,0
1481,5698,0
1480,5698,0
1480,5698,0
1479,5702,0
1481,5706,0
1478,5706,0
1474,5710,0
1468,5723,0
1462,5731,0
1459,5744,0
1460,5763,0
1462,5775,0
1467,5787,0
1476,5806,0
1488,5813,0
1502,5820,0
1515,5820,0
1529,5822,0
1539,5817,0
1548,5817,0
1553,5808,0
1555,5793,0
1559,5776,0
1558,5756,0
1549,5736,0
1538,5729,0
1518,5715,0
1498,5709,0
1479,5701,0
1462,5703,0
1452,5699,0
1448,5700,0
1452,5704,0
1458,5707,0
1475,5714,0
1498,5713,0
1524,5706,0
1549,5692,0
1578,5677,0
1607,5656,0
1632,5632,0
1648,5610,0
1660,5581,0
1665,5557,0
1664,5532,0
1653,5513,0
1644,5503,0
1632,5488,0
1621,5477,0
1611,5470,0
1603,5475,0
1597,5475,0
1590,5484,0
1584,5496,0
1580,5513,0
1580,5537,0
1579,5565,0
1582,5593,0
1585,5621,0
1590,5648,0
1594,5676,0
1600,5699,0
1607,5719,0
1615,5738,0
1621,5754,0
1624,5762,0
1629,5774,0
1631,5777,0
1638,5781,0
1640,5781,0
1646,5783,0
1648,5779,0
1654,5783,0
1657,5779,0
1658,5779,0
1659,5778,0
1657,5779,0
1658,5779,0
1658,5779,0
1655,5779,0
1654,5783,0
1655,5783,0
1656,5782,0
1654,5779,0
1654,5783,0
1654,5783,0
1652,5783,0
1654,5787,0
1652,5787,0
1652,5787,0
1651,5783,0
1652,5783,0
1651,5783,0
1652,5787,0
1651,5787,0
1652,5783,0
1651,5783,0
1654,5787,0
1651,5787,0
1651,5787,0
1649,5783,0
1651,5783,0
1650,5783,0
1652,5788,0
1652,5787,1
1791,5787,0
1791,5791,0
1791,5791,0
1791,5804,0
1788,5816,0
1778,5833,0
1766,5846,0
1752,5864,0
1739,5874,1
1954,5744,0
1957,5744,0
1965,5742,0
1981,5732,0
1988,5718,0
1997,5704,0
2002,5684,0
2007,5667,0
2014,5649,0
2018,5632,0
2021,5619,0
2022,5611,0
2022,5607,0
2022,5607,0
2024,5619,0
2025,5631,0
2026,5655,0
2027,5675,0
2031,5699,0
2034,5715,0
2038,5726,0
2042,5734,0
2046,5741,0
2053,5732,0
2066,5689,0
2079,5666,0
2097,5655,0
2114,5639,0
2136,5627,0
2156,5619,0
2176,5619,0
2194,5627,0
2205,5642,0
2206,5653,0
2201,5671,0
2189,5682,0
2174,5697,0
2154,5709,0
2136,5721,0
2118,5724,0
2108,5722,0
2107,5718,1
2439,5601,0
2434,5593,0
2425,5588,0
2412,5590,0
2398,5603,0
2381,5614,0
2369,5634,0
2362,5656,0
2362,5681,0
2370,5700,0
2386,5713,0
2405,5721,0
2425,5723,0
2443,5719,0
2461,5711,0
2480,5694,0
2497,5677,0
2509,5662,0
2515,5651,0
2516,5647,0
2516,5647,0
2520,5655,0
2525,5670,0
2533,5684,0
2543,5694,0
2559,5702,0
2575,5714,0
2589,5711,0
2601,5703,0
2615,5695,0
2620,5681,0
2623,5668,0
2616,5649,0
2606,5636,0
