addition to the ,,Prestige&quot;
515
494,2393,0
477,2381,0
470,2379,0
461,2367,0
453,2353,0
441,2350,0
424,2349,0
403,2359,0
376,2392,0
345,2445,0
322,2501,0
311,2548,0
318,2567,0
340,2578,0
369,2562,0
401,2529,0
428,2495,0
451,2448,0
470,2408,0
482,2377,0
487,2371,0
487,2371,0
492,2380,0
499,2420,0
505,2462,0
509,2504,0
512,2530,0
513,2555,0
513,2567,1
712,2375,0
700,2369,0
691,2362,0
682,2357,0
673,2351,0
658,2349,0
637,2357,0
610,2379,0
587,2428,0
571,2485,0
571,2535,0
586,2563,0
614,2572,0
648,2558,0
678,2531,0
705,2491,0
732,2439,0
757,2377,0
774,2311,0
781,2248,0
777,2194,0
767,2172,0
753,2159,0
747,2161,0
742,2177,0
745,2234,0
755,2296,0
768,2363,0
781,2422,0
794,2467,0
803,2500,0
811,2514,0
819,2514,1
948,2373,0
937,2372,0
930,2368,0
923,2364,0
914,2362,0
900,2374,0
878,2396,0
848,2437,0
830,2495,0
828,2548,0
839,2564,0
863,2571,0
897,2566,0
926,2528,0
950,2485,0
973,2438,0
991,2379,0
1001,2316,0
1001,2247,0
998,2200,0
989,2167,0
979,2154,0
977,2158,0
979,2166,0
984,2203,0
1002,2263,0
1023,2328,0
1041,2393,0
1054,2441,0
1063,2473,0
1071,2492,0
1078,2492,0
1091,2481,1
1153,2347,0
1153,2396,0
1158,2447,0
1169,2491,0
1179,2519,0
1182,2526,0
1172,2523,0
1160,2503,1
1081,2268,0
1075,2268,0
1076,2269,0
1093,2285,1
1247,2158,0
1239,2166,0
1240,2195,0
1259,2241,0
1278,2295,0
1296,2354,0
1312,2408,0
1314,2441,0
1313,2473,0
1309,2490,0
1301,2490,0
1281,2480,0
1257,2462,1
1278,2312,0
1327,2294,0
1381,2292,0
1429,2309,0
1473,2345,0
1504,2385,0
1522,2422,0
1529,2457,0
1529,2482,0
1524,2491,0
1522,2491,0
1515,2475,1
1429,2203,0
1429,2203,0
1435,2206,0
1461,2226,0
1497,2244,1
1703,2328,0
1684,2321,0
1664,2314,0
1648,2314,0
1633,2323,0
1616,2343,0
1602,2380,0
1593,2419,0
1597,2455,0
1609,2477,0
1630,2488,0
1657,2490,0
1686,2479,0
1713,2463,0
1737,2440,0
1756,2413,0
1763,2386,0
1759,2366,0
1744,2350,0
1724,2343,0
1703,2341,0
1687,2342,0
1680,2343,0
1680,2347,0
1691,2353,1
1846,2451,0
1826,2458,0
1809,2456,0
1802,2449,0
1794,2426,0
1794,2398,0
1801,2365,0
1821,2338,0
1850,2315,0
1883,2307,0
1918,2310,0
1956,2334,0
1980,2355,0
1995,2379,0
2002,2406,0
2003,2432,0
2002,2454,1
2373,2114,0
2369,2117,0
2373,2148,0
2385,2207,0
2405,2270,0
2416,2320,0
2431,2371,0
2437,2411,0
2441,2441,0
2437,2447,0
2437,2448,0
2423,2427,0
2404,2388,1
2270,2303,0
2270,2304,0
2276,2300,0
2314,2297,0
2372,2286,0
2437,2273,0
2507,2260,0
2563,2251,0
2601,2244,0
2626,2244,0
2632,2246,0
2630,2247,0
2620,2258,0
2597,2280,0
2570,2304,0
2549,2334,0
2535,2362,0
2538,2385,0
2551,2400,0
2579,2410,0
2613,2411,0
2652,2403,0
2690,2387,0
2724,2367,0
2745,2340,0
2753,2314,0
2743,2281,0
2721,2258,0
2685,2244,0
2640,2239,0
2609,2247,0
2586,2255,1
2934,2088,0
2936,2092,0
2934,2093,0
2948,2113,0
2965,2152,0
2979,2200,0
2994,2256,0
2995,2304,0
2995,2347,0
2989,2379,0
2986,2398,0
2979,2398,0
2972,2388,1
2839,2296,0
2841,2299,0
2857,2301,0
2900,2308,0
2965,2309,0
3030,2306,0
3085,2297,0
3129,2289,0
3151,2279,1
3060,2104,0
3054,2104,0
3061,2115,0
3076,2156,0
3096,2210,0
3106,2260,0
3116,2307,0
3115,2347,0
3115,2379,0
3113,2392,0
3114,2391,0
3122,2383,0
