It is not, in general, wise to move
577
1488,1848,0
1493,1850,0
1492,1851,0
1492,1851,0
1491,1851,0
1490,1852,0
1489,1851,0
1488,1852,0
1488,1852,0
1488,1852,0
1492,1855,0
1488,1852,0
1488,1852,0
1491,1855,0
1488,1852,0
1488,1852,0
1491,1855,0
1488,1852,0
1490,1860,0
1484,1862,0
1483,1870,0
1483,1882,0
1479,1891,0
1479,1903,0
1474,1913,0
1475,1929,0
1474,1946,0
1471,1959,0
1469,1976,0
1469,1992,0
1468,2008,0
1468,2025,0
1466,2037,0
1464,2046,0
1464,2050,0
1467,2053,0
1467,2049,1
1590,1849,0
1588,1862,0
1583,1884,0
1578,1915,0
1575,1957,0
1571,1991,0
1570,2017,0
1568,2030,0
1570,2038,0
1568,2034,0
1570,2033,0
1572,2020,0
1571,2004,1
1548,1961,0
1546,1961,0
1546,1961,0
1546,1961,0
1544,1958,0
1547,1957,0
1557,1954,0
1567,1947,0
1582,1944,0
1600,1942,0
1613,1938,0
1625,1939,0
1633,1940,1
1768,1944,0
1764,1941,0
1764,1945,0
1759,1964,0
1751,1998,0
1749,2029,0
1745,2042,0
1744,2047,0
1746,2046,1
1786,1855,0
1780,1853,0
1775,1851,0
1771,1852,0
1770,1853,0
1770,1853,0
1780,1862,0
1795,1869,0
1810,1879,1
1886,1959,0
1870,1954,0
1866,1955,0
1853,1953,0
1843,1953,0
1838,1954,0
1838,1954,0
1839,1954,0
1844,1956,0
1853,1956,0
1872,1962,0
1889,1971,0
1906,1986,0
1919,2007,0
1923,2022,0
1923,2040,0
1911,2054,0
1890,2063,0
1867,2069,0
1842,2065,0
1818,2054,0
1808,2044,0
1810,2031,0
1822,2013,0
1845,2004,1
2111,1952,0
2108,1954,0
2104,1966,0
2097,1988,0
2095,2022,0
2089,2047,0
2087,2066,0
2088,2075,0
2090,2079,0
2088,2075,0
2092,2077,0
2091,2074,0
2091,2055,0
2096,2025,0
2103,1998,0
2111,1976,0
2122,1955,0
2139,1941,0
2153,1932,0
2169,1932,0
2183,1942,0
2194,1968,0
2199,1998,0
2197,2023,0
2196,2046,0
2188,2056,0
2181,2060,0
2182,2059,0
2185,2053,1
2305,1977,0
2306,1967,0
2310,1959,0
2309,1955,0
2302,1950,0
2294,1951,0
2276,1954,0
2259,1969,0
2245,1993,0
2235,2019,0
2239,2039,0
2251,2051,0
2264,2052,0
2287,2051,0
2304,2036,0
2316,2013,0
2323,1984,0
2326,1964,0
2325,1949,0
2321,1937,0
2323,1931,1
2420,1802,0
2415,1810,0
2411,1840,0
2398,1886,0
2395,1954,0
2392,2005,0
2391,2035,0
2380,2042,0
2376,2045,0
2379,2043,0
2374,2022,0
2368,1988,0
2362,1957,1
2337,1935,0
2333,1933,0
2337,1931,0
2354,1924,0
2375,1913,0
2403,1911,0
2427,1908,0
