River, please ....&quot; &quot;Jump in,
504
962,3435,0
962,3459,0
961,3491,0
959,3531,0
955,3578,0
949,3619,0
945,3654,0
940,3694,0
936,3730,1
967,3370,0
996,3375,0
1018,3384,0
1036,3404,0
1047,3433,0
1052,3469,0
1049,3501,0
1041,3532,0
1029,3564,0
1013,3592,0
994,3612,0
975,3635,0
960,3643,0
953,3642,0
951,3646,0
951,3646,0
957,3647,0
969,3647,0
984,3652,0
998,3655,0
1015,3672,0
1032,3684,0
1049,3704,0
1065,3725,0
1080,3741,0
1090,3749,0
1098,3761,0
1102,3764,0
1104,3768,1
1142,3628,0
1140,3668,0
1136,3700,0
1136,3732,0
1138,3756,0
1142,3772,0
1143,3776,0
1146,3776,0
1146,3760,1
1142,3460,0
1138,3456,0
1138,3456,0
1138,3456,0
1141,3465,1
1220,3633,0
1224,3662,0
1228,3686,0
1235,3709,0
1245,3733,0
1254,3748,0
1262,3759,0
1268,3764,0
1271,3764,0
1271,3755,0
1271,3731,0
1273,3703,0
1277,3671,0
1280,3643,0
1281,3623,0
1281,3607,0
1281,3599,0
1284,3590,0
1288,3586,0
1295,3582,0
1305,3590,0
1317,3596,0
1331,3599,0
1351,3606,0
1374,3608,0
1392,3602,0
1409,3601,0
1425,3591,0
1440,3578,0
1452,3564,0
1457,3548,0
1455,3540,0
1449,3540,0
1439,3537,0
1428,3542,0
1414,3552,0
1401,3578,0
1394,3606,0
1389,3635,0
1387,3671,0
1389,3708,0
1397,3730,0
1414,3745,0
1431,3752,0
1448,3746,0
1467,3740,0
1486,3721,0
1503,3696,0
1522,3669,0
1539,3642,0
1553,3632,0
1559,3628,0
1563,3635,0
1564,3647,0
1566,3674,0
1564,3699,0
1562,3728,0
1559,3748,0
1559,3761,0
1560,3764,0
1560,3764,0
1556,3749,0
1554,3729,0
1552,3697,0
1556,3668,0
1561,3631,0
1570,3597,0
1580,3571,0
1595,3558,0
1610,3539,0
1629,3532,0
1646,3525,0
1664,3530,1
1953,3616,0
1945,3633,0
1743,3699,0
1735,3716,0
1731,3733,0
1733,3745,0
1740,3752,1
2064,3602,0
2065,3640,0
2067,3684,0
2068,3725,0
2071,3771,0
2075,3811,0
2078,3847,0
2084,3875,0
2089,3894,0
2093,3901,0
2096,3904,0
2093,3897,0
2090,3882,0
2090,3856,0
2090,3824,0
2089,3786,0
2089,3744,0
2089,3707,0
2090,3665,0
2095,3626,0
2104,3590,0
2115,3563,0
2127,3538,0
2143,3525,0
2160,3515,0
2179,3513,0
2199,3522,0
2216,3538,0
2231,3562,0
2240,3585,0
2244,3614,0
2241,3639,0
2229,3665,0
2213,3687,0
2193,3701,0
2174,3711,0
2156,3713,0
2143,3708,0
2133,3699,0
2126,3680,0
2128,3655,1
2312,3521,0
2306,3549,0
2305,3583,0
2311,3624,0
2318,3655,0
2330,3681,0
2348,3700,0
2369,3708,0
2391,3706,0
2410,3694,0
2432,3682,0
2446,3658,0
2461,3631,0
2471,3605,0
2476,3586,0
2472,3571,0
2470,3571,0
2463,3579,0
2454,3591,0
2448,3610,0
2448,3637,0
2453,3665,0
2462,3691,0
2473,3704,0
2491,3718,1
2595,3579,0
2595,3566,0
2604,3557,0
2608,3547,0
2617,3547,0
2628,3547,0
2644,3553,0
2652,3557,0
2663,3574,0
2673,3596,0
2680,3624,0
2679,3646,0
2682,3672,0
2684,3688,0
2685,3697,0
2683,3698,0
2683,3698,0
2678,3691,0
2671,3681,0
2661,3672,0
2647,3661,0
2635,3653,0
2625,3653,0
2615,3658,0
2609,3670,0
