whale, the camel etc, were not
584
360,2112,0
342,2106,0
338,2113,0
337,2121,0
340,2142,0
341,2178,0
343,2212,0
346,2248,0
349,2273,0
352,2284,0
357,2285,0
362,2278,0
369,2263,0
376,2229,0
383,2201,0
387,2173,0
389,2161,0
389,2157,0
389,2157,0
390,2165,0
393,2200,0
397,2235,0
405,2275,0
415,2304,0
427,2325,0
441,2333,0
455,2324,0
469,2299,0
484,2265,0
498,2220,0
509,2178,0
520,2147,0
549,2114,1
547,1956,0
545,1968,0
552,1998,0
562,2030,0
574,2067,0
583,2111,0
593,2154,0
605,2203,0
616,2234,0
628,2257,0
636,2262,0
640,2259,0
642,2251,0
644,2223,0
647,2187,0
654,2147,0
661,2108,0
668,2082,0
674,2063,0
679,2059,0
682,2064,0
687,2069,0
695,2099,0
702,2129,0
714,2159,0
729,2183,0
749,2194,0
767,2185,0
787,2171,1
870,2049,0
862,2048,0
856,2043,0
852,2038,0
848,2034,0
843,2034,0
837,2038,0
830,2044,0
824,2064,0
820,2092,0
819,2120,0
820,2144,0
825,2169,0
833,2182,0
841,2187,0
851,2183,0
863,2165,0
875,2138,0
886,2104,0
895,2076,0
902,2053,0
902,2032,0
902,2029,0
900,2028,0
898,2036,0
893,2055,0
890,2083,0
891,2116,0
899,2149,0
912,2174,0
928,2188,0
947,2188,0
966,2174,0
989,2151,0
1011,2112,0
1030,2068,0
1044,2024,0
1052,1989,0
1054,1964,0
1048,1949,0
1041,1944,0
1032,1949,0
1025,1972,0
1015,2004,0
1009,2040,0
1011,2084,0
1015,2116,0
1030,2148,0
1049,2169,0
1073,2181,0
1100,2181,0
1126,2160,0
1153,2131,0
1174,2094,0
1189,2062,0
1194,2029,0
1194,2017,0
1183,2006,0
1168,2011,0
1150,2027,0
1138,2060,0
1134,2100,0
1141,2136,0
1160,2167,0
1197,2190,1
1411,2162,0
1409,2166,0
1408,2166,0
1404,2183,0
1397,2212,0
1387,2242,0
1377,2272,0
1372,2305,0
1372,2325,1
1655,1984,0
1655,1988,0
1655,1988,0
1655,2001,0
1652,2018,0
1648,2044,0
1642,2076,0
1635,2115,0
1628,2151,0
1630,2191,0
1638,2226,0
1650,2252,0
1671,2276,0
1693,2285,0
1720,2294,0
1745,2291,0
1767,2285,0
1784,2275,0
1792,2258,0
1787,2239,0
1771,2219,1
1607,2169,0
1608,2164,0
1617,2162,0
1644,2159,0
1675,2149,0
1707,2148,0
1730,2140,0
1754,2136,0
1775,2129,1
1832,1996,0
1831,1997,0
1837,2015,0
1842,2040,0
1852,2074,0
1857,2111,0
1858,2145,0
1862,2178,0
1869,2197,0
1879,2205,0
1889,2206,0
1897,2190,0
1912,2166,0
1925,2135,0
1937,2108,0
1947,2087,0
1955,2074,0
1956,2069,0
1956,2069,0
1959,2080,0
1960,2106,0
1966,2139,0
1978,2168,0
1998,2195,0
2025,2213,1
2090,2145,0
2093,2144,0
2100,2137,0
2115,2119,0
2133,2105,0
2144,2090,0
2151,2082,0
2149,2074,0
2146,2071,0
2139,2070,0
2126,2072,0
2114,2089,0
2100,2108,0
2091,2136,0
2088,2160,0
2096,2183,0
2116,2200,0
2149,2210,0
2193,2210,0
2236,2199,0
2283,2190,1
2579,2099,0
2565,2100,0
2557,2101,0
2554,2108,0
2552,2130,0
2550,2152,0
2549,2173,0
2554,2199,0
2564,2220,0
2587,2244,0
2610,2256,0
2639,2259,0
2668,2248,1
2820,2113,0
2806,2108,0
2796,2107,0
2787,2108,0
2771,2112,0
2758,2124,0
2745,2140,0
2734,2160,0
2734,2186,0
2736,2205,0
2745,2223,0
2756,2230,0
2770,2229,0
2792,2221,0
2810,2200,0
2824,2172,0
2840,2148,0
2851,2127,0
2856,2111,0
2856,2106,0
2855,2107,0
2852,2111,0
2852,2132,0
2852,2158,0
2854,2178,0
2866,2194,0
2882,2202,0
2904,2198,0
2931,2183,0
2955,2157,0
2982,2130,0
3003,2111,0
3016,2098,0
3015,2093,0
3017,2096,0
3016,2109,0
3011,2136,0
3006,2162,0
3006,2185,0
3008,2195,0
3017,2197,0
3037,2194,0
3052,2169,0
3077,2144,0
3095,2113,0
3115,2093,0
3129,2078,0
3136,2071,0
3141,2072,0
3145,2079,0
3148,2098,0
3152,2123,0
3154,2145,0
3162,2165,0
3169,2175,0
3185,2181,0
3199,2173,0
3213,2152,0
3231,2127,0
3248,2101,0
3259,2078,0
3265,2063,0
3269,2060,0
3269,2060,0
3270,2064,0
3268,2079,0
3269,2101,0
3275,2125,0
3287,2147,0
3305,2164,0
3325,2171,0
3345,2167,0
3370,2157,0
3394,2135,0
3416,2109,0
3428,2081,0
3436,2059,0
3434,2043,0
3426,2032,0
3420,2027,0
3414,2029,0
3406,2033,0
3402,2051,0
3398,2075,0
3397,2101,0
3404,2130,0
3415,2154,0
3428,2169,0
3450,2179,0
3471,2174,0
3501,2163,0
3530,2139,0
3553,2105,0
3576,2070,0
3591,2034,0
3604,2004,0
3609,1977,0
3607,1959,0
3599,1949,0
3595,1947,0
3587,1952,0
3573,1971,0
3559,2004,0
3549,2044,0
3549,2090,0
3556,2133,0
3584,2169,0
3619,2194,0
3674,2210,1
4104,2115,0
4102,2112,0
4106,2106,0
4113,2095,0
4121,2081,0
4129,2062,0
4131,2043,0
4134,2030,0
4131,2020,0
4121,2013,0
4116,2014,0
4103,2020,0
4089,2036,0
4074,2059,0
4063,2091,0
4055,2125,0
4051,2160,0
4054,2192,0
4065,2218,0
4082,2236,0
4106,2243,0
4140,2235,0
4179,2213,0
4218,2182,0
4255,2147,1
4326,1911,0
4320,1906,0
4316,1904,0
4320,1906,0
4322,1911,0
4321,1922,0
4319,1941,0
4318,1969,0
4314,2001,0
4311,2038,0
4305,2071,0
4307,2108,0
4311,2139,0
4316,2162,0
4329,2178,0
4342,2188,0
4362,2193,0
4383,2190,0
4403,2181,0
4421,2166,0
4431,2149,1
4295,2058,0
4299,2057,0
4323,2058,0
4352,2055,0
4381,2051,1
4562,2015,0
4552,2015,0
4546,2019,0
4537,2026,0
4529,2042,0
4515,2059,0
4506,2082,0
4497,2108,0
4492,2133,0
4500,2159,0
4509,2176,0
4525,2188,0
4552,2196,0
4579,2197,0
4609,2193,0
4637,2185,0
4660,2177,1
4797,2133,0
4797,2135,0
4796,2135,0
4801,2144,0
4802,2158,0
4800,2180,0
4789,2207,0
4778,2243,0
4764,2277,1
4970,2029,0
4969,2032,0
4969,2041,0
4973,2060,0
4976,2082,0
4987,2105,0
4994,2127,0
5007,2145,0
5015,2157,0
5022,2162,0
5022,2160,0
5025,2156,0
5028,2138,0
5034,2110,0
5038,2084,0
5044,2062,0
5052,2044,0
5053,2034,0
5057,2034,0
5059,2038,0
5073,2057,0
5086,2084,0
5097,2108,0
5110,2128,0
5118,2139,0
5134,2141,0
5151,2135,0
5163,2118,0
5183,2096,0
5195,2071,0
5203,2053,0
5207,2035,0
5208,2021,1
5314,2099,0
5313,2098,0
5318,2097,0
5330,2093,0
5347,2084,0
5357,2070,0
5371,2057,0
5377,2044,0
5385,2038,0
5383,2033,0
5376,2027,0
5373,2026,0
5363,2027,0
5356,2034,0
5344,2051,0
5335,2071,0
5325,2092,0
5327,2108,0
5337,2123,0
5354,2135,0
5375,2137,0
5405,2130,0
5431,2112,0
5461,2093,0
5479,2070,1
5520,2026,0
5508,2031,0
5506,2049,0
5505,2072,0
5500,2092,0
5503,2114,0
5503,2128,0
5508,2134,0
5513,2133,0
5519,2118,0
5537,2096,0
5550,2069,0
5567,2049,0
5573,2035,0
5575,2029,0
5575,2030,0
5578,2031,0
5580,2039,0
5583,2053,0
5588,2069,0
5597,2082,0
5614,2089,0
5631,2092,0
5656,2087,0
5673,2075,0
5693,2058,0
5709,2041,0
5716,2022,0
5712,2010,0
5705,2006,0
5692,2006,0
5677,2013,0
5665,2031,0
5653,2051,0
5656,2073,0
5665,2094,0
5694,2108,0
5731,2111,0
5777,2106,0
5818,2091,1
5899,2004,0
5899,2002,0
5902,2008,0
5914,2022,0
5914,2043,0
5919,2065,0
5923,2086,0
5922,2099,0
5931,2109,0
5935,2110,0
5940,2107,0
5947,2092,0
5954,2072,0
5962,2052,0
5973,2035,0
5979,2021,0
5984,2017,0
5984,2017,0
5984,2019,0
5992,2030,0
5993,2047,0
6003,2068,0
6011,2090,0
6027,2106,0
6049,2114,1
6174,2009,0
6161,2011,0
6144,2012,0
6137,2018,0
6126,2026,0
6113,2038,0
6107,2053,0
6101,2071,0
6106,2092,0
6112,2110,0
6125,2121,0
6132,2123,0
6147,2118,0
6157,2101,0
6171,2076,0
6179,2053,0
6179,2032,0
6176,2016,0
6172,2006,0
6166,1999,0
6162,1995,1
6269,1884,0
6268,1887,0
6262,1891,0
6263,1902,0
6261,1919,0
6259,1937,0
6259,1961,0
6266,1989,0
6268,2022,0
6273,2053,0
6280,2079,0
6290,2101,0
6301,2117,0
6316,2125,0
6331,2128,0
6346,2123,0
6357,2115,0
6358,2099,0
6353,2082,0
6334,2063,0
6310,2047,1
6228,2002,0
6225,1999,0
6230,1995,0
6254,1990,0
6276,1985,0
6303,1982,0
6333,1981,0
6358,1981,1
