(1) as a cloud, (2) as a whale,
543
393,4838,0
389,4838,0
376,4840,0
362,4842,0
340,4859,0
307,4890,0
272,4932,0
245,4985,0
224,5046,0
212,5113,0
212,5182,0
219,5256,0
226,5318,0
234,5364,0
243,5382,0
250,5391,0
258,5388,1
381,5208,0
375,5215,0
374,5215,0
375,5215,0
383,5216,0
398,5211,0
412,5197,0
426,5178,0
441,5156,0
456,5133,0
469,5103,0
482,5072,0
495,5045,0
506,5031,0
513,5031,0
523,5040,0
530,5066,0
535,5103,0
540,5151,0
545,5204,0
550,5257,0
554,5298,0
561,5330,0
565,5339,0
570,5335,1
535,4865,0
535,4865,0
537,4865,0
547,4866,0
565,4872,0
588,4887,0
618,4903,0
649,4933,0
678,4964,0
706,5006,0
731,5052,0
752,5101,0
764,5162,0
767,5227,0
757,5282,0
746,5337,0
733,5380,0
717,5420,0
702,5439,0
695,5450,0
699,5435,1
1329,5070,0
1327,5070,0
1322,5066,0
1311,5062,0
1295,5059,0
1277,5057,0
1252,5057,0
1220,5071,0
1188,5095,0
1160,5132,0
1142,5172,0
1136,5204,0
1144,5236,0
1159,5255,0
1181,5259,0
1203,5251,0
1233,5226,0
1262,5189,0
1287,5140,0
1309,5096,0
1323,5059,0
1329,5038,0
1331,5042,0
1329,5046,0
1324,5066,0
1318,5106,0
1317,5170,0
1318,5231,0
1328,5279,1
1517,5028,0
1531,5008,0
1531,5004,0
1524,5004,0
1503,5010,0
1476,5028,0
1449,5046,0
1422,5069,0
1404,5086,0
1400,5102,0
1409,5114,0
1431,5125,0
1463,5138,0
1491,5151,0
1511,5166,0
1520,5173,0
1522,5180,0
1515,5194,0
1501,5214,0
1480,5233,0
1450,5251,0
1423,5265,0
1408,5269,0
1409,5274,0
1421,5265,1
2024,5038,0
2028,5033,0
2029,5024,0
2032,5024,0
2031,5024,0
2026,5021,0
2012,5011,0
1995,5002,0
1975,4998,0
1953,5002,0
1927,5018,0
1904,5039,0
1886,5066,0
1878,5096,0
1877,5128,0
1884,5160,0
1894,5170,0
1915,5163,0
1933,5147,0
1952,5116,0
1967,5081,0
1978,5038,0
1984,5009,0
1993,4978,0
1995,4977,0
1995,4978,0
1995,4994,0
1990,5023,0
1993,5064,0
1993,5105,0
1995,5149,0
2002,5189,0
2004,5212,1
2348,5005,0
2354,5008,0
2353,5007,0
2349,5009,0
2333,5014,0
2315,5030,0
2293,5043,0
2267,5062,0
2251,5091,0
2248,5125,0
2260,5163,0
2282,5190,0
2321,5214,0
2364,5228,0
2407,5233,0
2445,5224,0
2475,5190,1
2541,4778,0
2538,4771,0
2530,4765,0
2521,4772,0
2512,4800,0
2505,4840,0
2502,4891,0
2499,4954,0
2501,5029,0
2509,5114,0
2521,5173,0
2539,5209,0
2567,5231,0
2685,5182,0
2703,5146,0
2714,5109,0
2712,5080,0
2706,5066,0
2691,5058,0
2660,5055,0
2629,5065,0
2607,5084,0
2596,5109,0
2599,5133,0
2613,5162,0
2671,5199,0
2707,5204,0
2742,5197,0
2765,5181,0
2781,5162,0
2784,5136,0
2786,5115,0
2777,5092,1
2867,5039,0
2876,5045,0
2874,5045,0
2874,5053,0
2872,5079,0
2872,5109,0
2876,5146,0
2885,5176,0
2902,5205,0
2921,5214,0
2942,5207,0
2958,5188,0
2968,5150,0
2970,5111,0
2970,5073,0
2969,5043,0
2965,5023,1
3105,5101,0
3128,5105,0
3148,5104,0
3163,5098,0
3170,5091,0
3165,5084,0
3153,5072,0
3130,5069,0
3098,5074,0
3074,5083,0
3059,5102,0
3056,5125,0
3068,5151,0
3086,5169,0
3111,5175,0
3139,5168,0
3165,5149,0
3189,5117,0
3209,5070,0
3222,5008,0
3230,4943,0
3235,4883,0
3233,4832,0
3226,4782,0
3219,4745,0
3217,4733,0
3216,4738,0
3216,4747,0
3218,4776,0
3222,4818,0
3230,4873,0
3241,4942,0
3252,5021,0
3259,5091,0
3267,5149,0
3275,5198,0
3281,5226,1
3380,5081,0
3381,5085,0
3382,5080,0
3386,5073,0
3389,5072,0
3390,5072,0
3388,5072,0
3385,5079,0
3375,5105,0
3368,5165,0
3354,5216,0
3350,5270,0
3344,5307,1
3682,4727,0
3682,4727,0
3680,4727,0
3672,4736,0
3657,4758,0
3643,4789,0
3629,4825,0
3617,4881,0
3608,4944,0
3605,5009,0
3614,5076,0
3624,5139,0
3633,5188,0
3643,5211,0
3658,5207,0
3671,5178,0
3688,5133,1
3726,4894,0
3718,4893,0
3712,4888,0
3709,4876,0
3713,4860,0
3722,4842,0
3738,4827,0
3754,4818,0
3771,4818,0
3785,4832,0
3798,4862,0
3799,4899,0
3793,4944,0
3779,4997,0
3764,5052,0
3754,5098,0
3747,5129,0
3746,5143,0
3756,5151,0
3784,5158,0
3814,5165,0
3841,5159,0
3875,5154,0
3911,5147,0
3936,5124,1
3843,4729,0
3843,4729,0
3847,4731,0
3860,4737,0
3880,4757,0
3900,4782,0
3926,4809,0
3960,4840,0
3992,4881,0
4008,4937,0
4019,4992,0
4022,5051,0
4020,5108,0
4018,5165,0
4015,5207,0
4004,5243,0
3988,5260,1
4405,4901,0
4408,4903,0
4410,4907,0
4416,4912,0
4418,4916,0
4416,4912,0
4418,4917,0
4414,4915,0
4407,4915,0
4389,4912,0
4368,4922,0
4336,4939,0
4316,4972,0
4303,5004,0
4301,5031,0
4306,5051,0
4318,5057,0
4335,5056,0
4357,5045,0
4382,5018,0
4407,4982,0
4422,4937,0
4440,4905,0
4448,4875,0
4450,4859,0
4452,4862,0
4450,4874,0
4444,4903,0
4444,4943,0
4442,4987,0
4447,5033,0
4453,5068,0
4463,5084,1
4628,4822,0
4629,4817,0
4625,4819,0
4608,4823,0
4583,4842,0
4555,4862,0
4525,4884,0
4506,4913,0
4495,4936,0
4493,4951,0
4505,4962,0
4528,4976,0
4553,4987,0
4581,5002,0
4598,5019,0
4600,5033,0
4595,5046,0
4585,5063,0
4568,5074,0
4546,5081,0
4519,5086,0
4499,5084,0
4500,5084,0
4516,5077,1
5101,4940,0
5116,4938,0
5120,4924,0
5123,4917,0
5120,4914,0
5110,4911,0
5086,4900,0
5053,4902,0
5014,4914,0
4974,4932,0
4953,4958,0
4939,4985,0
4937,5006,0
4946,5026,0
4963,5038,0
4986,5040,0
5011,5024,0
5035,5001,0
5061,4973,0
5078,4949,0
5091,4927,0
5102,4918,0
5108,4913,0
5108,4914,0
5104,4917,0
5108,4935,0
5106,4962,0
5108,4997,0
5107,5029,0
5109,5054,0
5115,5075,0
5115,5079,0
5125,5067,1
5456,4823,0
5459,4825,0
5460,4824,0
5458,4821,0
5457,4822,0
5460,4824,0
5460,4824,0
5465,4831,0
5475,4849,0
5486,4876,0
5499,4909,0
5508,4937,0
5522,4969,0
5535,4990,0
5539,4992,0
5548,4982,0
5562,4964,0
5572,4927,0
5588,4891,0
5599,4858,0
5608,4843,0
5616,4847,0
5623,4862,0
5636,4895,0
5643,4937,0
5658,4984,0
5668,5002,0
5678,5004,0
5687,4989,0
5703,4963,0
5718,4925,0
5729,4882,0
5742,4852,1
5812,4538,0
5813,4559,0
5810,4592,0
5817,4637,0
5805,4685,0
5802,4763,0
5799,4846,0
5796,4922,0
5802,4977,0
5803,4999,0
5805,4997,0
5812,4973,0
5827,4936,0
5845,4891,0
5861,4850,0
5880,4832,0
5886,4837,0
5895,4862,0
5900,4902,0
5906,4949,0
5912,4987,0
5916,5011,0
5926,5019,0
5938,5012,0
5958,4992,0
5980,4969,0
5996,4947,0
6008,4924,0
6016,4909,0
6015,4893,0
6011,4891,0
6001,4895,0
5981,4911,0
5960,4927,0
5940,4947,0
5933,4973,0
5933,4989,0
5940,4994,0
5947,4987,0
5960,4972,0
5979,4953,0
5988,4927,0
6001,4909,0
6005,4897,0
6009,4899,0
6009,4899,0
6010,4904,0
6014,4917,0
6022,4933,0
6031,4958,0
6036,4970,0
6038,4968,0
6044,4956,1
6101,4605,0
6105,4575,0
6105,4575,0
6099,4588,0
6088,4625,0
6074,4677,0
6061,4739,0
6051,4809,0
6049,4881,0
6052,4946,0
6068,4989,0
6089,5007,0
6121,5002,0
6160,4985,0
6186,4951,0
6207,4905,0
6223,4865,0
6225,4845,0
6221,4842,0
6208,4851,0
6188,4873,0
6170,4898,0
6168,4935,0
6176,4968,0
6203,4998,0
6242,5014,0
6276,5019,0
6307,5009,1
6541,4982,0
6540,4983,0
6539,4985,0
6542,4988,0
6539,4992,0
6531,5006,0
6507,5028,0
6481,5062,0
6461,5102,0
6442,5133,0
6425,5164,0
6411,5179,0
6399,5173,1
