conversation wilts under it. Try, instead,
832
526,3839,0
524,3834,0
519,3822,0
513,3821,0
509,3820,0
499,3823,0
485,3833,0
468,3846,0
456,3865,0
448,3884,0
441,3903,0
441,3918,0
448,3932,0
458,3950,0
474,3961,0
495,3972,0
520,3976,0
546,3975,0
571,3971,0
595,3966,0
616,3960,1
656,3945,0
648,3944,0
636,3939,0
621,3928,0
608,3923,0
596,3909,0
593,3893,0
596,3877,0
603,3863,0
617,3843,0
634,3826,0
652,3824,0
666,3825,0
680,3839,0
692,3852,0
702,3874,0
711,3890,0
716,3911,0
716,3927,0
711,3935,0
705,3946,1
795,3921,0
793,3921,0
789,3917,0
784,3913,0
778,3904,0
774,3892,0
769,3875,0
767,3860,0
770,3851,0
778,3828,0
791,3813,0
809,3802,0
830,3800,0
844,3801,0
856,3814,0
863,3822,0
870,3846,0
873,3867,0
875,3887,0
873,3907,0
870,3923,0
866,3939,0
865,3950,0
866,3954,0
871,3955,1
933,3834,0
933,3838,0
934,3841,0
935,3849,0
938,3870,0
941,3886,0
943,3906,0
949,3923,0
957,3942,0
967,3951,0
977,3955,0
986,3951,0
993,3944,0
1001,3931,0
1006,3904,0
1010,3892,0
1008,3872,0
1004,3856,0
998,3840,0
994,3827,0
989,3815,0
986,3811,0
986,3807,0
989,3803,0
998,3807,1
1066,3901,0
1074,3892,0
1083,3884,0
1091,3872,0
1098,3861,0
1105,3853,0
1109,3841,0
1110,3832,0
1107,3820,0
1105,3824,0
1099,3821,0
1093,3829,0
1086,3845,0
1081,3856,0
1077,3872,0
1073,3884,0
1076,3896,0
1083,3909,0
1094,3916,0
1109,3924,0
1124,3928,0
1140,3924,0
1158,3923,0
1175,3928,0
1189,3927,0
1203,3926,0
1213,3930,0
1222,3930,0
1230,3933,0
1234,3929,0
1238,3929,0
1240,3930,0
1241,3925,0
1242,3921,0
1241,3909,0
1240,3897,0
1237,3884,0
1233,3873,0
1227,3854,0
1220,3834,0
1215,3818,0
1211,3806,0
1208,3794,0
1206,3786,0
1207,3786,0
1207,3786,0
1212,3790,0
1222,3790,0
1235,3790,0
1252,3793,0
1271,3791,0
1289,3790,0
1307,3790,1
1411,3817,0
1409,3814,0
1407,3810,0
1404,3810,0
1397,3807,0
1386,3808,0
1374,3813,0
1359,3814,0
1344,3819,0
1334,3827,0
1330,3836,0
1329,3836,0
1335,3843,0
1348,3851,0
1368,3858,0
1389,3860,0
1413,3873,0
1433,3887,0
1445,3899,0
1459,3918,0
1462,3929,0
1457,3937,0
1445,3951,0
1426,3953,0
1406,3958,0
1387,3956,0
1369,3941,0
1358,3934,0
1352,3923,1
1573,3807,0
1572,3799,0
1570,3791,0
1566,3783,0
1562,3785,0
1556,3789,0
1545,3795,0
1536,3808,0
1527,3822,0
1523,3842,0
1520,3862,0
1523,3875,0
1530,3877,0
1543,3880,0
1556,3878,0
1568,3872,0
1578,3863,0
1584,3862,0
1585,3862,0
1588,3866,0
1590,3874,0
1592,3882,0
1594,3889,0
1599,3896,0
1605,3904,1
1677,3670,0
1675,3666,0
1677,3670,0
1677,3679,0
1674,3687,0
1675,3703,0
1679,3726,0
1681,3750,0
1686,3782,0
1691,3805,0
1696,3829,0
1700,3849,0
1701,3865,0
1702,3877,0
1701,3881,0
1698,3882,0
1691,3875,1
1661,3823,0
1662,3819,0
1668,3813,0
1680,3811,0
1693,3809,0
1711,3814,0
1729,3812,0
1750,3816,1
1785,3797,0
1783,3797,0
1783,3801,0
1782,3810,0
1785,3825,0
1788,3841,0
1795,3868,0
1802,3883,0
1804,3891,0
1808,3898,0
