job - to open the bazaar. But, oh, dear!
857
1264,3074,0
1266,3083,0
1266,3091,0
1268,3110,0
1271,3138,0
1272,3163,0
1274,3191,0
1276,3226,0
1279,3262,0
1283,3298,0
1284,3322,0
1286,3350,0
1283,3366,0
1280,3374,0
1276,3378,0
1267,3375,0
1253,3364,0
1238,3345,0
1230,3321,0
1226,3298,0
1226,3281,0
1228,3265,0
1231,3249,0
1234,3221,0
1236,3185,1
1275,2934,0
1278,2934,0
1278,2925,0
1277,2926,0
1278,2929,1
1402,3127,0
1403,3111,0
1402,3095,0
1401,3083,0
1395,3072,0
1386,3064,0
1375,3062,0
1360,3063,0
1348,3068,0
1339,3081,0
1333,3098,0
1329,3114,0
1334,3138,0
1342,3153,0
1354,3160,0
1369,3159,0
1386,3153,0
1401,3144,0
1411,3127,0
1418,3113,0
1418,3101,0
1418,3098,0
1411,3090,0
1405,3091,0
1401,3095,0
1397,3095,0
1399,3103,0
1403,3107,0
1411,3110,0
1422,3105,0
1436,3099,0
1449,3085,0
1462,3064,0
1472,3042,0
1483,3025,0
1488,3003,0
1492,2987,0
1489,2971,0
1483,2964,0
1479,2964,0
1475,2972,0
1465,2978,0
1459,2999,0
1451,3021,0
1448,3053,0
1448,3086,0
1460,3133,0
1473,3139,0
1504,3139,0
1517,3129,0
1529,3115,0
1537,3097,0
1539,3081,0
1537,3073,0
1532,3070,0
1525,3071,0
1522,3071,0
1522,3071,0
1529,3074,0
1544,3076,0
1559,3069,0
1576,3062,0
1594,3059,1
1665,3123,0
1665,3123,0
1665,3123,0
1667,3127,0
1670,3127,0
1674,3125,0
1681,3128,0
1689,3127,0
1692,3122,0
1697,3121,0
1701,3119,0
1703,3119,0
1703,3119,0
1703,3119,0
1703,3123,0
1701,3119,0
1703,3123,1
1956,2984,0
1956,2987,0
1956,2992,0
1954,2997,0
1952,3014,0
1953,3043,0
1949,3069,0
1953,3105,0
1956,3138,0
1956,3163,0
1959,3183,0
1959,3191,0
1959,3191,0
1959,3192,0
1957,3187,0
1949,3177,0
1935,3165,0
1920,3153,0
1908,3147,0
1899,3142,0
1896,3142,0
1898,3142,0
1903,3141,0
1921,3140,0
1944,3134,0
1972,3133,0
1997,3125,0
2023,3126,0
2043,3124,1
2095,3132,0
2096,3132,0
2093,3119,0
2093,3111,0
2091,3103,0
2087,3096,0
2080,3094,0
2070,3093,0
2057,3098,0
2043,3107,0
2030,3119,0
2021,3135,0
2019,3156,0
2028,3179,0
2041,3187,0
2104,3183,0
2134,3139,0
2128,3124,1
2426,3124,0
2429,3119,0
2429,3110,0
2429,3105,0
2423,3095,0
2420,3093,0
2405,3086,0
2390,3084,0
2376,3094,0
2362,3105,0
2350,3119,0
2342,3136,0
2345,3156,0
2356,3173,0
2371,3179,0
2393,3182,0
2415,3177,0
2429,3163,0
2444,3156,0
2449,3146,0
2447,3137,0
2438,3128,0
2424,3121,0
2413,3122,0
2401,3118,1
2488,3105,0
2485,3119,0
2481,3139,0
2475,3159,0
2473,3187,0
2468,3211,0
2467,3238,0
2466,3255,0
2463,3257,0
2466,3260,0
2465,3257,0
2461,3241,0
2456,3216,0
2454,3191,0
2457,3163,0
2460,3136,0
2470,3117,0
2479,3095,0
2492,3085,0
2502,3080,0
2511,3084,0
2520,3094,0
2525,3105,0
2528,3120,0
2528,3139,0
2521,3155,0
2513,3172,0
2498,3184,0
2485,3194,0
2472,3192,0
2464,3187,0
2456,3168,0
2462,3152,1
2564,3121,0
2569,3122,0
2583,3124,0
2594,3119,0
2607,3112,0
2615,3103,0
2618,3093,0
2619,3088,0
2612,3083,0
2600,3079,0
2586,3083,0
2570,3086,0
2560,3100,0
2552,3112,0
2552,3127,0
2559,3141,0
2569,3150,0
2588,3153,0
2613,3150,0
2638,3141,0
2658,3126,1
2695,3061,0
2688,3059,0
2681,3063,0
2674,3071,0
2668,3084,0
2666,3100,0
2667,3117,0
2675,3131,0
2684,3135,0
2691,3131,0
2702,3124,0
2711,3115,0
2718,3107,0
2724,3099,0
2726,3093,0
2727,3093,0
2727,3098,0
2727,3102,0
2732,3112,0
2738,3124,0
2750,3134,0
2762,3133,0
2785,3129,0
2815,3116,1
2987,2979,0
2989,2992,0
2989,3011,0
2989,3031,0
2990,3054,0
2992,3076,0
2996,3098,0
3000,3115,0
3001,3123,0
3001,3124,0
3002,3122,0
2999,3115,0
2990,3102,0
2982,3088,0
2972,3075,0
2966,3069,0
2966,3069,0
2966,3069,0
2967,3069,0
2976,3072,0
2992,3076,0
3003,3074,0
3021,3071,0
3035,3062,0
3047,3045,0
3061,3030,0
3076,3015,0
3083,3000,0
3082,2986,0
3083,2981,0
3079,2983,0
3074,2987,0
3070,3005,0
3067,3026,0
3062,3049,0
3061,3074,0
3062,3093,0
3065,3105,0
3068,3107,0
3074,3108,0
3083,3106,0
3093,3100,0
3099,3096,0
3105,3097,0
3112,3101,0
3119,3107,0
3123,3113,0
3131,3122,0
3141,3125,0
3154,3126,0
3172,3124,0
3187,3113,0
3202,3102,0
3217,3091,0
3226,3080,0
3228,3073,0
3226,3069,0
3222,3072,0
3214,3078,0
3202,3087,0
3196,3101,0
3201,3117,0
3214,3132,0
3233,3139,0
3255,3132,1
3484,2993,0
3483,2998,0
3482,3010,0
3483,3025,0
3480,3037,0
3482,3057,0
3484,3076,0
3484,3092,0
3482,3098,0
3484,3101,0
3486,3100,0
3491,3096,0
3496,3086,0
3503,3076,0
3514,3066,0
3525,3057,0
3530,3052,0
3539,3056,0
3545,3062,0
3549,3068,0
3553,3081,0
3550,3088,0
3548,3101,0
3540,3112,0
3532,3124,0
